포트 COM6 · 175분 · 재부팅 흔적만 찍는다
★ 지금 이 포트를 열면서 그 노드가 한 번 재부팅된다(우리가 낸 것). t<5s 는 EXPECTED.
     0.01 EXPECTED(우리가 낸 DTR 리셋)       rst:0x1 (POWERON_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
     0.79 EXPECTED(우리가 낸 DTR 리셋)       E BOD: Brownout detector was triggered
     0.79 EXPECTED(우리가 낸 DTR 리셋)       rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
     1.80 EXPECTED(우리가 낸 DTR 리셋) / MESHID(부팅 배너) {"type":"MESHID","id":10,"mid":3179094101,"is_root":0,"bridge_index":99,"role":"NODE","death_threshold_c":80.0
   823.41 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   824.18 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   824.18 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   824.95 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   824.95 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   825.72 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   825.72 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   826.49 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   826.49 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   827.26 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   827.27 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   828.03 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   828.04 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   828.80 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   828.81 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   829.58 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   829.59 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   830.35 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   830.36 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   831.12 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   831.13 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   831.89 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   831.90 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   832.66 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   832.67 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   833.43 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   833.44 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   834.20 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   834.21 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   834.97 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   834.98 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   835.74 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   835.75 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   836.51 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   836.52 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   837.28 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   837.29 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   838.05 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   838.06 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   838.84 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   838.84 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   839.61 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   839.62 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   840.38 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   840.39 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   841.15 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   841.16 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   841.93 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   841.94 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   842.70 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   842.71 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   843.47 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   843.48 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   844.24 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
   844.25 ★ 자발 재부팅                     rst:0x3 (SW_RESET),boot:0x17 (SPI_FAST_FLASH_BOOT)
   845.01 ★ 자발 재부팅                     E BOD: Brownout detector was triggered
