label,node_id,mac,port,mid,thr,warn,result,ts
1,0,20:50:0d:d0:80:6c,COM3,231768173,80.0,60.0,REPLACED_BOARD_FAULT,2026-08-31T03:12:22
2,1,30:76:f5:30:13:bc,COM3,4113568701,80.0,60.0,PASS,2026-08-31T03:24:51
3,2,58:2a:bd:7d:00:c4,COM3,3179086021,80.0,60.0,PASS,2026-08-31T03:42:34
4,3,58:2a:bd:7d:43:68,COM3,-,-,-,FAIL,2026-08-31T03:46:38
4,3,58:2a:bd:7d:43:68,COM3,3179103081,80.0,60.0,PASS,2026-08-31T04:00:30
5,4,30:76:f5:30:13:68,COM3,4113568617,80.0,60.0,PASS,2026-08-31T04:04:34
6,5,20:50:0d:1b:90:d0,COM3,219910353,80.0,60.0,PASS,2026-08-31T04:08:36
7,6,20:50:0d:d0:86:54,COM3,231769685,80.0,60.0,PASS,2026-08-31T04:12:42
8,7,58:2a:bd:7e:3b:1c,COM3,3179166493,80.0,60.0,PASS,2026-08-31T04:16:37
9,8,58:2a:bd:7d:44:d0,COM3,3179103441,80.0,60.0,PASS,2026-08-31T04:20:29
10,9,58:2a:bd:7d:31:ec,COM3,3179098605,80.0,60.0,PASS,2026-08-31T04:25:11
11,10,58:2a:bd:7d:20:54,COM3,3179094101,80.0,60.0,PASS,2026-08-31T04:29:38
12,11,20:50:0d:1b:bf:98,COM3,219922329,80.0,60.0,PASS,2026-08-31T04:33:11
13,12,70:4b:ca:48:19:8c,COM3,3393722765,80.0,60.0,PASS,2026-08-31T04:37:03
14,13,68:09:47:5e:cb:80,COM3,1197394817,80.0,60.0,PASS,2026-08-31T04:41:02
15,14,20:50:0d:1b:c1:08,COM3,219922697,80.0,60.0,PASS,2026-08-31T04:50:11
16,15,58:2a:bd:7d:4a:04,COM3,3179104773,80.0,60.0,PASS,2026-08-31T04:54:26
bridge,99,30:76:f5:30:06:fc,COM3,-,-,-,PASS,2026-08-31T05:20:43
1,0,58:2a:bd:7d:46:a4,COM3,3179103909,80.0,60.0,PASS,2026-08-31T22:58:26
