t_s,t_hms,event,label,node_id,detail
1.8,0:00:01,JOIN,브리지,99,
4.08,0:00:04,JOIN,n14,13,
4.85,0:00:04,JOIN,n12,11,
5.6,0:00:05,JOIN,n13,12,
6.37,0:00:06,JOIN,n10,9,
7.12,0:00:07,JOIN,n11,10,
7.88,0:00:07,JOIN,n03,2,
8.64,0:00:08,JOIN,n15,14,
9.42,0:00:09,JOIN,n16,15,
10.18,0:00:10,JOIN,n04,3,
10.94,0:00:10,JOIN,n06,5,
11.7,0:00:11,JOIN,n07,6,
12.46,0:00:12,JOIN,n01,0,
13.98,0:00:13,JOIN,n08,7,
14.75,0:00:14,JOIN,n09,8,
18.55,0:00:18,JOIN,n02,1,
27.66,0:00:27,NT_WRAP,n11,10,nt 2934.5 -> 16.0 (감소 2918.5)
39.96,0:00:39,JOIN,n05,4,
180.07,0:03:00,BASELINE,,,노드 16대: n01|n02|n03|n04|n05|n06|n07|n08|n09|n10|n11|n12|n13|n14|n15|n16
139.75,0:02:19,DROP,n01,0,마지막 HB 이후 40.3s 침묵
163.31,0:02:43,DROP,n03,2,마지막 HB 이후 16.8s 침묵
145.84,0:02:25,DROP,n04,3,마지막 HB 이후 34.2s 침묵
135.92,0:02:15,DROP,n09,8,마지막 HB 이후 44.2s 침묵
169.42,0:02:49,DROP,n10,9,마지막 HB 이후 10.7s 침묵
138.99,0:02:18,DROP,n11,10,마지막 HB 이후 41.1s 침묵
144.32,0:02:24,DROP,n15,14,마지막 HB 이후 35.8s 침묵
145.08,0:02:25,DROP,n16,15,마지막 HB 이후 35.0s 침묵
138.22,0:02:18,DROP,n05,4,마지막 HB 이후 41.9s 침묵
170.19,0:02:50,DROP,n02,1,마지막 HB 이후 10.7s 침묵
180.84,0:03:00,REJOIN,n10,9,이탈 지속 11.4s
181.6,0:03:01,REJOIN,n04,3,이탈 지속 35.8s
171.71,0:02:51,DROP,n07,6,마지막 HB 이후 10.7s 침묵
182.36,0:03:02,REJOIN,n07,6,이탈 지속 10.7s
172.47,0:02:52,DROP,n08,7,마지막 HB 이후 10.6s 침묵
183.12,0:03:03,REJOIN,n09,8,이탈 지속 47.2s
173.22,0:02:53,DROP,n14,13,마지막 HB 이후 10.7s 침묵
183.88,0:03:03,REJOIN,n08,7,이탈 지속 11.4s
184.64,0:03:04,REJOIN,n11,10,이탈 지속 45.6s
186.93,0:03:06,REJOIN,n14,13,이탈 지속 13.7s
188.45,0:03:08,REJOIN,n05,4,이탈 지속 50.2s
189.98,0:03:09,REJOIN,n03,2,이탈 지속 26.7s
190.76,0:03:10,REJOIN,n16,15,이탈 지속 45.7s
191.52,0:03:11,REJOIN,n15,14,이탈 지속 47.2s
181.6,0:03:01,DROP,n04,3,마지막 HB 이후 10.7s 침묵
182.36,0:03:02,DROP,n07,6,마지막 HB 이후 10.7s 침묵
193.04,0:03:13,REJOIN,n02,1,이탈 지속 22.9s
183.12,0:03:03,DROP,n09,8,마지막 HB 이후 10.7s 침묵
193.8,0:03:13,REJOIN,n04,3,이탈 지속 12.2s
183.88,0:03:03,DROP,n08,7,마지막 HB 이후 10.7s 침묵
184.64,0:03:04,DROP,n11,10,마지막 HB 이후 10.7s 침묵
185.41,0:03:05,DROP,n12,11,마지막 HB 이후 10.7s 침묵
196.1,0:03:16,REJOIN,n11,10,이탈 지속 11.5s
186.18,0:03:06,DROP,n10,9,마지막 HB 이후 10.7s 침묵
187.7,0:03:07,DROP,n13,12,마지막 HB 이후 10.2s 침묵
186.93,0:03:06,DROP,n14,13,마지막 HB 이후 10.9s 침묵
189.22,0:03:09,DROP,n06,5,마지막 HB 이후 10.1s 침묵
188.45,0:03:08,DROP,n05,4,마지막 HB 이후 10.9s 침묵
