t_s,t_hms,event,label,node_id,detail
0.01,0:00:00,EXPECTED_DTR_RESET,,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
1.09,0:00:01,ST,브리지,99,"{""type"":""ST"",""id"":99,""st"":""ALIVE"",""temp"":25,""ms"":775,""fake"":0,""nt"":0.775872}"
2.61,0:00:02,JOIN,브리지,99,
56.69,0:00:56,JOIN,n14,13,
57.46,0:00:57,JOIN,n10,9,
58.22,0:00:58,JOIN,n08,7,
58.22,0:00:58,JOIN,n11,10,
58.99,0:00:58,JOIN,n06,5,
59.0,0:00:59,JOIN,n07,6,
59.75,0:00:59,JOIN,n12,11,
60.56,0:01:00,JOIN,n16,15,
61.33,0:01:01,JOIN,n15,14,
62.1,0:01:02,JOIN,n04,3,
62.87,0:01:02,JOIN,n03,2,
120.33,0:02:00,BASELINE,,,노드 11대: n03|n04|n06|n07|n08|n10|n11|n12|n14|n15|n16
108.86,0:01:48,DROP,n03,2,마지막 HB 이후 11.5s 침묵
98.92,0:01:38,DROP,n07,6,마지막 HB 이후 21.4s 침묵
121.86,0:02:01,REJOIN,n07,6,이탈 지속 22.9s
127.22,0:02:07,REJOIN,n03,2,이탈 지속 18.4s
117.26,0:01:57,DROP,n04,3,마지막 HB 이후 10.7s 침묵
131.05,0:02:11,REJOIN,n04,3,이탈 지속 13.8s
121.86,0:02:01,DROP,n07,6,마지막 HB 이후 10.7s 침묵
132.58,0:02:12,REJOIN,n07,6,이탈 지속 10.7s
127.22,0:02:07,DROP,n03,2,마지막 HB 이후 10.7s 침묵
131.05,0:02:11,DROP,n04,3,마지막 HB 이후 10.7s 침묵
145.57,0:02:25,REJOIN,n03,2,이탈 지속 18.4s
138.69,0:02:18,DROP,n07,6,마지막 HB 이후 10.0s 침묵
148.91,0:02:28,RESET_MARKER,,,"rst:0xc (SW_CPU_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
139.45,0:02:19,DROP,n16,15,마지막 HB 이후 10.1s 침묵
149.99,0:02:29,ST,브리지,99,"{""type"":""ST"",""id"":99,""st"":""ALIVE"",""temp"":25,""ms"":773,""fake"":0,""nt"":0.773143}"
140.21,0:02:20,DROP,n12,11,마지막 HB 이후 10.8s 침묵
141.01,0:02:21,DROP,n15,14,마지막 HB 이후 10.0s 침묵
151.51,0:02:31,NT_WRAP,브리지,99,nt 147.6 -> 2.3 (감소 145.3)
141.77,0:02:21,DROP,n14,13,마지막 HB 이후 10.7s 침묵
142.53,0:02:22,DROP,n10,9,마지막 HB 이후 10.5s 침묵
143.29,0:02:23,DROP,n11,10,마지막 HB 이후 10.7s 침묵
144.05,0:02:24,DROP,n08,7,마지막 HB 이후 10.5s 침묵
144.81,0:02:24,DROP,n06,5,마지막 HB 이후 10.5s 침묵
145.57,0:02:25,DROP,n03,2,마지막 HB 이후 10.5s 침묵
171.89,0:02:51,REJOIN,n04,3,이탈 지속 40.8s
172.65,0:02:52,REJOIN,n10,9,이탈 지속 30.1s
173.41,0:02:53,REJOIN,n06,5,이탈 지속 28.6s
174.17,0:02:54,REJOIN,n08,7,이탈 지속 30.1s
174.92,0:02:54,REJOIN,n03,2,이탈 지속 29.4s
175.69,0:02:55,REJOIN,n16,15,이탈 지속 36.2s
177.24,0:02:57,REJOIN,n12,11,이탈 지속 37.0s
178.0,0:02:57,REJOIN,n15,14,이탈 지속 37.0s
