t_s,t_hms,event,label,node_id,detail
0.01,0:00:00,EXPECTED_DTR_RESET,,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
1.11,0:00:01,ST,브리지,99,"{""type"":""ST"",""id"":99,""st"":""ALIVE"",""temp"":25,""ms"":786,""fake"":0,""nt"":0.786681}"
2.62,0:00:02,JOIN,브리지,99,
18.48,0:00:18,JOIN,n03,2,
19.24,0:00:19,JOIN,n08,7,
20.0,0:00:19,JOIN,n06,5,
20.76,0:00:20,JOIN,n07,6,
21.52,0:00:21,JOIN,n15,14,
22.28,0:00:22,JOIN,n12,11,
23.05,0:00:23,JOIN,n16,15,
23.81,0:00:23,JOIN,n14,13,
24.57,0:00:24,JOIN,n11,10,
25.33,0:00:25,JOIN,n10,9,
32.94,0:00:32,JOIN,n04,3,
120.37,0:02:00,BASELINE,,,노드 11대: n03|n04|n06|n07|n08|n10|n11|n12|n14|n15|n16
105.89,0:01:45,DROP,n03,2,마지막 HB 이후 14.5s 침묵
115.04,0:01:55,DROP,n04,3,마지막 HB 이후 10.7s 침묵
125.71,0:02:05,REJOIN,n03,2,이탈 지속 19.8s
125.71,0:02:05,DROP,n03,2,마지막 HB 이후 10.7s 침묵
136.37,0:02:16,REJOIN,n03,2,이탈 지속 10.7s
136.37,0:02:16,DROP,n03,2,마지막 HB 이후 10.7s 침묵
138.65,0:02:18,DROP,n08,7,마지막 HB 이후 10.4s 침묵
139.41,0:02:19,DROP,n06,5,마지막 HB 이후 10.7s 침묵
140.19,0:02:20,DROP,n07,6,마지막 HB 이후 10.9s 침묵
140.95,0:02:20,DROP,n16,15,마지막 HB 이후 10.2s 침묵
141.71,0:02:21,DROP,n15,14,마지막 HB 이후 10.4s 침묵
142.47,0:02:22,DROP,n12,11,마지막 HB 이후 10.1s 침묵
152.62,0:02:32,RESET_MARKER,,,"rst:0xc (SW_CPU_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
143.23,0:02:23,DROP,n14,13,마지막 HB 이후 10.0s 침묵
153.7,0:02:33,ST,브리지,99,"{""type"":""ST"",""id"":99,""st"":""ALIVE"",""temp"":25,""ms"":776,""fake"":0,""nt"":0.776054}"
143.99,0:02:23,DROP,n11,10,마지막 HB 이후 10.7s 침묵
144.75,0:02:24,DROP,n10,9,마지막 HB 이후 10.5s 침묵
155.22,0:02:35,NT_WRAP,브리지,99,nt 146.7 -> 2.3 (감소 144.5)
212.57,0:03:32,REJOIN,n10,9,이탈 지속 67.8s
213.33,0:03:33,REJOIN,n08,7,이탈 지속 74.7s
214.09,0:03:34,REJOIN,n16,15,이탈 지속 73.1s
214.84,0:03:34,REJOIN,n12,11,이탈 지속 72.4s
215.61,0:03:35,REJOIN,n07,6,이탈 지속 75.4s
216.36,0:03:36,REJOIN,n06,5,이탈 지속 76.9s
217.12,0:03:37,REJOIN,n15,14,이탈 지속 75.4s
217.9,0:03:37,REJOIN,n14,13,이탈 지속 74.7s
218.66,0:03:38,REJOIN,n11,10,이탈 지속 74.7s
220.18,0:03:40,REJOIN,n04,3,이탈 지속 105.1s
220.18,0:03:40,NT_WRAP,n04,3,nt 3227.5 -> 10.4 (감소 3217.0)
221.69,0:03:41,REJOIN,n03,2,이탈 지속 85.3s
222.45,0:03:42,DROP,n16,15,마지막 HB 이후 10.6s 침묵
223.24,0:03:43,DROP,n06,5,마지막 HB 이후 10.6s 침묵
223.99,0:03:43,DROP,n07,6,마지막 HB 이후 10.6s 침묵
224.76,0:03:44,DROP,n12,11,마지막 HB 이후 10.6s 침묵
235.39,0:03:55,REJOIN,n06,5,이탈 지속 12.2s
225.51,0:03:45,DROP,n15,14,마지막 HB 이후 10.6s 침묵
236.14,0:03:56,REJOIN,n12,11,이탈 지속 11.4s
226.28,0:03:46,DROP,n14,13,마지막 HB 이후 10.6s 침묵
236.9,0:03:56,REJOIN,n07,6,이탈 지속 12.9s
227.03,0:03:47,DROP,n11,10,마지막 HB 이후 10.6s 침묵
237.66,0:03:57,REJOIN,n16,15,이탈 지속 15.2s
227.79,0:03:47,DROP,n03,2,마지막 HB 이후 10.6s 침묵
238.42,0:03:58,REJOIN,n15,14,이탈 지속 12.9s
228.57,0:03:48,DROP,n04,3,마지막 HB 이후 10.6s 침묵
239.19,0:03:59,REJOIN,n14,13,이탈 지속 12.9s
229.33,0:03:49,DROP,n10,9,마지막 HB 이후 10.6s 침묵
239.96,0:03:59,REJOIN,n11,10,이탈 지속 12.9s
240.71,0:04:00,REJOIN,n03,2,이탈 지속 12.9s
241.47,0:04:01,REJOIN,n10,9,이탈 지속 12.1s
242.99,0:04:02,REJOIN,n04,3,이탈 지속 14.4s
242.99,0:04:02,DROP,n04,3,마지막 HB 이후 10.2s 침묵
243.75,0:04:03,DROP,n03,2,마지막 HB 이후 10.7s 침묵
246.05,0:04:06,DROP,n12,11,마지막 HB 이후 10.1s 침묵
256.69,0:04:16,REJOIN,n04,3,이탈 지속 13.7s
246.81,0:04:06,DROP,n07,6,마지막 HB 이후 10.7s 침묵
247.57,0:04:07,DROP,n15,14,마지막 HB 이후 10.6s 침묵
249.09,0:04:09,DROP,n11,10,마지막 HB 이후 10.1s 침묵
248.33,0:04:08,DROP,n14,13,마지막 HB 이후 10.9s 침묵
259.73,0:04:19,REJOIN,n07,6,이탈 지속 12.9s
