t_table,t_actual,kind,node,detail
0.0,0.0,STOP,n01,체류종료
147.4,147.5,HEAT,n02,사망 2:48
168.4,168.5,STOP,n02,체류종료
322.7,322.8,HEAT,n05,사망 5:44
343.7,343.7,STOP,n05,체류종료
406.9,406.9,HEAT,n06,사망 7:08
427.9,427.9,STOP,n06,체류종료
477.9,477.9,HEAT,n03,사망 8:19
498.9,498.9,STOP,n03,체류종료
643.4,643.5,HEAT,n07,사망 11:04
664.4,664.4,STOP,n07,체류종료
671.5,671.5,HEAT,n09,사망 11:32
692.5,692.5,STOP,n09,체류종료
726.1,726.1,HEAT,n10,사망 12:27
747.1,747.1,STOP,n10,체류종료
747.1,747.2,MOVE,n10,오른쪽
813.0,813.0,HEAT,n04,사망 13:54
834.0,834.0,STOP,n04,체류종료
894.5,894.5,HEAT,n11,사망 15:15
915.5,915.5,STOP,n11,체류종료
932.5,932.5,HEAT,n08,사망 15:54
953.5,953.5,STOP,n08,체류종료
953.5,953.6,MOVE,n08,왼쪽
1018.7,1018.8,HEAT,n13,사망 17:20
1039.7,1039.8,STOP,n13,체류종료
1055.7,1055.7,HEAT,n14,사망 17:57
1076.7,1076.7,STOP,n14,체류종료
1076.7,1076.7,MOVE,n14,오른쪽
1129.4,1129.4,HEAT,n12,사망 19:10
1150.4,1150.4,STOP,n12,체류종료
1183.4,1183.4,HEAT,n15,사망 20:04
1204.4,1204.4,STOP,n15,체류종료
1378.7,1378.7,HEAT,n16,사망 23:20
1399.7,1399.7,STOP,n16,체류종료
