t_s,t_hms,event,label,node_id,detail
0.01,0:00:00,EXPECTED_DTR_RESET,,,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
1.1,0:00:01,ST,브리지,99,"{""type"":""ST"",""id"":99,""st"":""ALIVE"",""temp"":25,""ms"":786,""fake"":0,""nt"":0.786285}"
2.62,0:00:02,JOIN,브리지,99,
6.38,0:00:06,JOIN,n14,13,
7.17,0:00:07,JOIN,n10,9,
7.93,0:00:07,JOIN,n09,8,
8.69,0:00:08,JOIN,n16,15,
9.45,0:00:09,JOIN,n11,10,
10.21,0:00:10,JOIN,n15,14,
150.06,0:02:30,BASELINE,,,노드 6대: n09|n10|n11|n14|n15|n16
132.72,0:02:12,DROP,n09,8,마지막 HB 이후 17.3s 침묵
131.96,0:02:11,DROP,n10,9,마지막 HB 이후 18.1s 침묵
133.48,0:02:13,DROP,n11,10,마지막 HB 이후 16.6s 침묵
131.2,0:02:11,DROP,n14,13,마지막 HB 이후 18.9s 침묵
130.45,0:02:10,DROP,n15,14,마지막 HB 이후 19.6s 침묵
134.24,0:02:14,DROP,n16,15,마지막 HB 이후 15.8s 침묵
154.6,0:02:34,REJOIN,n10,9,이탈 지속 22.6s
155.37,0:02:35,REJOIN,n09,8,이탈 지속 22.6s
156.15,0:02:36,REJOIN,n16,15,이탈 지속 21.9s
156.91,0:02:36,REJOIN,n15,14,이탈 지속 26.5s
169.91,0:02:49,DROP,n15,14,마지막 HB 이후 10.1s 침묵
171.43,0:02:51,DROP,n09,8,마지막 HB 이후 10.1s 침묵
170.67,0:02:50,DROP,n10,9,마지막 HB 이후 10.8s 침묵
172.21,0:02:52,DROP,n16,15,마지막 HB 이후 10.8s 침묵
189.52,0:03:09,REJOIN,n14,13,이탈 지속 58.3s
190.28,0:03:10,REJOIN,n11,10,이탈 지속 56.8s
191.04,0:03:11,REJOIN,n10,9,이탈 지속 20.4s
191.8,0:03:11,REJOIN,n09,8,이탈 지속 20.4s
192.56,0:03:12,REJOIN,n16,15,이탈 지속 20.4s
193.34,0:03:13,REJOIN,n15,14,이탈 지속 23.4s
