trial,t_s,board_ms,temp_c,state
warmup,0.001,1324,26.0,ALIVE
warmup,0.003,1824,26.0,ALIVE
warmup,0.006,2324,26.0,ALIVE
warmup,0.007,2824,26.0,ALIVE
warmup,0.011,3324,26.0,ALIVE
warmup,0.016,3824,26.0,ALIVE
warmup,0.021,4324,26.0,ALIVE
warmup,0.025,4824,26.0,ALIVE
warmup,0.026,5324,26.0,ALIVE
warmup,0.027,5824,26.0,ALIVE
warmup,0.028,6324,26.0,ALIVE
warmup,0.029,6824,26.0,ALIVE
warmup,0.031,7325,26.0,ALIVE
warmup,0.032,7824,26.0,ALIVE
warmup,0.033,8324,26.0,ALIVE
warmup,0.034,8824,26.0,ALIVE
warmup,0.343,9324,26.0,ALIVE
warmup,0.843,9824,26.0,ALIVE
warmup,1.344,10324,26.0,ALIVE
warmup,1.844,10824,26.0,ALIVE
warmup,2.344,11324,26.0,ALIVE
warmup,2.844,11824,26.0,ALIVE
warmup,3.343,12324,26.0,ALIVE
warmup,3.844,12824,26.0,ALIVE
warmup,4.343,13324,26.0,ALIVE
warmup,4.843,13824,26.0,ALIVE
warmup,5.343,14324,26.0,ALIVE
warmup,5.844,14824,26.0,ALIVE
warmup,6.343,15324,26.0,ALIVE
warmup,6.844,15824,26.0,ALIVE
warmup,7.343,16324,26.0,ALIVE
warmup,7.843,16824,26.0,ALIVE
warmup,8.343,17324,26.0,ALIVE
warmup,8.843,17824,26.0,ALIVE
warmup,9.343,18324,26.0,ALIVE
warmup,9.844,18824,26.0,ALIVE
warmup,10.344,19324,26.0,ALIVE
warmup,10.843,19824,26.0,ALIVE
warmup,11.344,20324,26.0,ALIVE
warmup,11.844,20824,26.0,ALIVE
warmup,12.344,21324,26.0,ALIVE
warmup,12.844,21824,26.0,ALIVE
warmup,13.343,22324,26.0,ALIVE
warmup,13.843,22824,26.0,ALIVE
warmup,14.343,23324,26.0,ALIVE
warmup,14.844,23824,26.0,ALIVE
warmup,15.344,24324,26.0,ALIVE
warmup,15.844,24824,26.0,ALIVE
warmup,16.344,25324,26.0,ALIVE
warmup,16.844,25824,26.0,ALIVE
warmup,17.344,26324,26.0,ALIVE
warmup,17.843,26824,26.0,ALIVE
warmup,18.344,27324,26.0,ALIVE
warmup,18.844,27824,26.0,ALIVE
warmup,19.344,28324,26.0,ALIVE
warmup,19.844,28824,26.0,ALIVE
warmup,20.344,29324,26.0,ALIVE
warmup,20.844,29824,26.0,ALIVE
warmup,21.344,30324,26.0,ALIVE
warmup,21.844,30824,26.0,ALIVE
warmup,22.344,31324,26.0,ALIVE
warmup,22.844,31824,26.0,ALIVE
warmup,23.344,32324,26.0,ALIVE
warmup,23.844,32824,26.0,ALIVE
warmup,24.344,33324,26.0,ALIVE
warmup,24.844,33824,26.0,ALIVE
warmup,25.344,34324,26.0,ALIVE
warmup,25.844,34824,26.0,ALIVE
warmup,26.344,35324,26.0,ALIVE
warmup,26.844,35824,26.0,ALIVE
warmup,27.344,36324,26.0,ALIVE
warmup,27.844,36824,26.0,ALIVE
warmup,28.344,37324,26.0,ALIVE
warmup,28.844,37824,26.0,ALIVE
warmup,29.344,38324,26.0,ALIVE
warmup,29.844,38824,26.0,ALIVE
warmup,30.344,39324,26.0,ALIVE
warmup,30.844,39824,26.0,ALIVE
warmup,31.344,40324,26.0,ALIVE
warmup,31.844,40824,26.0,ALIVE
warmup,32.344,41324,26.0,ALIVE
warmup,32.844,41824,26.0,ALIVE
warmup,33.344,42324,26.0,ALIVE
warmup,33.844,42824,26.0,ALIVE
warmup,34.344,43324,26.0,ALIVE
warmup,34.844,43824,26.0,ALIVE
warmup,35.344,44324,26.0,ALIVE
warmup,35.844,44824,26.0,ALIVE
warmup,36.344,45324,26.0,ALIVE
warmup,36.844,45824,26.0,ALIVE
warmup,37.344,46324,26.0,ALIVE
warmup,37.844,46824,26.0,ALIVE
warmup,38.344,47324,26.0,ALIVE
warmup,38.844,47824,26.0,ALIVE
