pair,true_gap_s,adjacent,err_deg,dir_global_deg,fake
n01|n02,162.5,1,2.7258,58.3955,1
n01|n03,465.2,0,9.0589,64.7287,1
n01|n04,784.5,0,17.6834,73.3532,1
n01|n05,326.0,1,4.125,51.5448,1
n01|n06,404.4,1,9.9453,65.6151,1
n01|n07,620.7,0,3.4082,59.078,1
n01|n08,894.8,0,9.3113,64.9811,1
n01|n09,653.4,0,0.4048,56.0745,1
n01|n10,703.3,0,10.7446,66.4144,1
n01|n11,859.3,0,14.632,70.3018,1
n01|n12,1082.8,0,2.5337,58.2035,1
n01|n13,981.1,0,0.9957,56.6655,1
n01|n14,1017.5,0,90.8751,146.5449,1
n01|n15,1136.9,0,1.4224,57.0922,1
n01|n16,1319.6,0,13.6188,69.2885,1
n02|n03,302.7,1,0.0099,55.6599,1
n02|n04,621.9,0,0.1889,55.8587,1
n02|n05,163.4,1,3.8009,51.8689,1
n02|n06,241.8,1,2.7414,52.9284,1
n02|n07,458.1,1,7.9013,47.7685,1
n02|n08,732.3,0,18.8518,36.818,1
n02|n09,490.9,0,10.5105,45.1593,1
n02|n10,540.8,0,6.7384,48.9314,1
n02|n11,696.8,0,10.0804,45.5893,1
n02|n12,920.3,0,13.7637,41.9061,1
n02|n13,818.6,0,18.4361,37.2337,1
n02|n14,854.9,0,8.7387,46.9311,1
n02|n15,974.3,0,24.9866,30.6832,1
n02|n16,1157.1,0,2.4453,53.2245,1
n03|n04,319.2,1,0.4117,56.0814,1
n03|n05,139.3,0,3.3594,59.0292,1
n03|n06,60.9,1,0.7681,56.4379,1
n03|n07,155.4,1,2.0469,53.6229,1
n03|n08,429.6,1,11.1722,44.4976,1
n03|n09,188.2,0,4.0957,51.574,1
n03|n10,238.1,0,2.3192,53.3506,1
n03|n11,394.1,0,5.9234,49.7464,1
n03|n12,617.6,0,13.8646,41.8051,1
n03|n13,515.9,0,12.2079,43.4618,1
n03|n14,552.2,0,5.9825,49.6873,1
n03|n15,671.6,0,13.6251,42.0447,1
n03|n16,854.4,0,4.5287,60.1985,1
n04|n05,458.5,0,9.7097,65.3795,1
n04|n06,380.1,0,3.543,59.2128,1
n04|n07,163.8,1,2.2811,57.9509,1
n04|n08,110.3,1,0.6917,54.9781,1
n04|n09,131.1,0,2.875,58.5448,1
n04|n10,81.2,0,0.6445,56.3143,1
n04|n11,74.9,0,0.2734,55.3964,1
n04|n12,298.4,0,0.0011,55.6709,1
n04|n13,196.6,0,2.4275,53.2423,1
n04|n14,233.0,0,0.3268,55.343,1
n04|n15,352.4,0,3.1889,52.4808,1
n04|n16,535.2,0,0.4049,55.2648,1
n05|n06,78.4,1,1.4339,57.1036,1
n05|n07,294.7,0,3.8133,59.4831,1
n05|n08,568.9,0,2.993,58.6628,1
n05|n09,327.5,1,0.4272,56.097,1
n05|n10,377.4,1,6.3537,62.0235,1
n05|n11,533.4,0,7.3695,63.0393,1
n05|n12,756.9,0,11.3333,67.0031,1
n05|n13,655.1,0,0.2679,55.4018,1
n05|n14,691.5,0,11.2948,66.9646,1
n05|n15,810.9,0,9.5589,65.2287,1
n05|n16,993.7,0,35.3292,90.999,1
n06|n07,216.3,1,0.2917,55.3781,1
n06|n08,490.5,0,1.0162,54.6535,1
n06|n09,249.1,1,2.8888,52.781,1
n06|n10,299.0,1,0.2938,55.9636,1
n06|n11,455.0,1,0.5512,56.221,1
n06|n12,678.5,0,2.9102,58.58,1
n06|n13,576.7,0,6.4263,49.2435,1
n06|n14,613.1,0,1.8949,57.5647,1
n06|n15,732.5,0,2.1633,53.5065,1
n06|n16,915.3,0,23.0388,78.7086,1
n07|n08,274.2,1,1.6237,57.2934,1
n07|n09,32.8,0,0.0475,55.6223,1
n07|n10,82.7,1,0.6719,56.3416,1
n07|n11,238.7,1,0.7335,56.4033,1
n07|n12,462.2,1,4.6222,60.292,1
n07|n13,360.4,0,1.8438,53.826,1
n07|n14,396.8,0,2.7835,58.4533,1
n07|n15,516.2,0,1.1019,54.5679,1
n07|n16,699.0,0,13.2331,68.9029,1
n08|n09,241.4,0,2.7062,58.376,1
n08|n10,191.5,0,0.6521,55.0177,1
n08|n11,35.5,1,0.2311,55.9009,1
n08|n12,188.0,1,1.2633,56.9331,1
n08|n13,86.3,0,0.2863,55.3835,1
n08|n14,122.6,0,0.6249,56.2947,1
n08|n15,242.0,0,0.8659,54.8039,1
n08|n16,424.8,0,0.3764,55.2934,1
n09|n10,49.9,1,0.9566,56.6264,1
n09|n11,205.9,0,2.9413,58.611,1
n09|n12,429.4,0,8.0291,63.6989,1
n09|n13,327.7,1,1.6082,57.278,1
n09|n14,364.0,1,7.3684,63.0382,1
n09|n15,483.4,0,7.5449,63.2146,1
n09|n16,666.2,0,11.1383,66.8081,1
n10|n11,156.0,1,0.183,55.4868,1
n10|n12,379.5,0,1.1593,56.8291,1
n10|n13,277.8,1,3.9016,51.7682,1
n10|n14,314.1,1,0.3342,55.3356,1
n10|n15,433.5,1,2.1266,53.5432,1
n10|n16,616.3,0,4.2623,59.9321,1
n11|n12,223.5,1,2.4182,58.088,1
n11|n13,121.8,0,0.5869,55.0829,1
n11|n14,158.1,1,0.6085,56.2783,1
n11|n15,277.5,1,2.3257,53.3441,1
n11|n16,460.3,1,25.3587,81.0285,1
n12|n13,101.7,0,1.392,57.0618,1
n12|n14,65.4,0,0.5157,56.1855,1
n12|n15,54.0,1,0.3837,55.2861,1
n12|n16,236.8,1,2.0336,53.6362,1
n13|n14,36.4,1,0.5369,56.2067,1
n13|n15,155.8,0,0.2046,55.8744,1
n13|n16,338.5,0,1.9031,57.5729,1
n14|n15,119.4,1,0.5678,55.102,1
n14|n16,302.2,0,0.5397,56.2095,1
n15|n16,182.8,1,1.8295,57.4993,1
