sigma_s,rep,node_label,lead_time_s,eta_err_s,fake
0.0,0,n03,147.15,-189.74,1
0.0,0,n04,464.96,-58.84,1
0.0,0,n06,79.82,83.17,1
0.0,0,n07,300.39,88.43,1
0.0,0,n09,329.37,-43.29,1
0.0,0,n08,498.49,-0.76,1
0.0,0,n10,302.72,28.4,1
0.0,0,n11,322.18,8.46,1
0.0,0,n13,414.47,-14.33,1
0.0,0,n14,427.16,1.62,1
0.0,0,n15,445.88,2.57,1
0.0,0,n12,252.25,3.41,1
0.0,0,n16,306.55,6.62,1
12.13,0,n03,144.68,-219.17,1
12.13,0,n04,456.6,-31.47,1
12.13,0,n06,51.68,100.15,1
12.13,0,n07,311.54,61.68,1
12.13,0,n09,344.17,-66.62,1
12.13,0,n08,533.86,5.98,1
12.13,0,n10,343.87,2.37,1
12.13,0,n11,441.56,22.79,1
12.13,0,n13,398.61,60.99,1
12.13,0,n14,491.67,0.08,1
12.13,0,n15,448.76,9.98,1
12.13,0,n12,201.48,43.92,1
12.13,0,n16,256.91,-21.76,1
12.13,1,n03,151.91,-167.04,1
12.13,1,n04,472.38,-60.26,1
12.13,1,n06,72.3,98.83,1
12.13,1,n07,301.5,40.95,1
12.13,1,n09,339.85,-79.41,1
12.13,1,n08,507.73,14.95,1
12.13,1,n10,322.63,17.58,1
12.13,1,n11,434.24,3.01,1
12.13,1,n13,493.16,-15.58,1
12.13,1,n14,477.66,32.6,1
12.13,1,n15,460.0,12.61,1
12.13,1,n12,251.18,17.91,1
12.13,1,n16,251.8,6.6,1
12.13,2,n03,168.02,-194.18,1
12.13,2,n04,475.26,-39.78,1
12.13,2,n06,79.74,85.06,1
12.13,2,n07,308.77,81.56,1
12.13,2,n09,359.58,-86.82,1
12.13,2,n08,494.33,16.61,1
12.13,2,n10,306.58,53.39,1
12.13,2,n11,399.69,8.6,1
12.13,2,n13,433.46,41.12,1
12.13,2,n14,458.56,1.46,1
12.13,2,n15,477.14,-8.77,1
12.13,2,n12,263.9,-10.03,1
12.13,2,n16,251.09,45.84,1
12.13,3,n03,146.24,-187.66,1
12.13,3,n04,462.82,-70.86,1
12.13,3,n06,93.89,58.91,1
12.13,3,n07,290.58,116.3,1
12.13,3,n09,325.13,-34.65,1
12.13,3,n08,474.16,-7.77,1
12.13,3,n10,292.97,32.62,1
12.13,3,n11,315.01,-15.37,1
12.13,3,n13,401.47,-20.67,1
12.13,3,n14,393.08,16.3,1
12.13,3,n15,455.42,10.6,1
12.13,3,n12,322.19,8.02,1
12.13,3,n16,276.2,6.43,1
12.13,4,n03,157.83,-225.91,1
12.13,4,n04,459.3,-24.86,1
12.13,4,n06,86.9,46.31,1
12.13,4,n07,323.2,101.09,1
12.13,4,n08,497.66,24.55,1
12.13,4,n09,346.84,-56.46,1
12.13,4,n10,310.43,36.83,1
12.13,4,n11,300.95,55.78,1
12.13,4,n13,400.29,21.93,1
12.13,4,n14,417.09,12.88,1
12.13,4,n15,317.32,-27.68,1
12.13,4,n12,248.2,-33.71,1
12.13,4,n16,325.3,36.6,1
12.13,5,n03,134.55,-204.14,1
12.13,5,n04,474.36,-70.19,1
12.13,5,n06,77.66,64.98,1
12.13,5,n07,321.49,71.89,1
12.13,5,n09,343.25,-51.38,1
12.13,5,n08,491.17,33.36,1
12.13,5,n10,312.51,31.12,1
12.13,5,n11,320.81,48.62,1
12.13,5,n13,422.67,-7.74,1
12.13,5,n14,434.3,1.69,1
12.13,5,n15,321.08,-3.1,1
12.13,5,n12,245.84,-25.44,1
12.13,5,n16,316.91,28.68,1
12.13,6,n03,159.45,-165.14,1
12.13,6,n04,456.42,-61.04,1
12.13,6,n06,104.18,70.5,1
12.13,6,n07,258.98,124.83,1
12.13,6,n09,352.72,-65.52,1
12.13,6,n08,457.93,-18.19,1
12.13,6,n10,274.23,79.0,1
12.13,6,n11,280.4,-17.25,1
12.13,6,n13,421.71,-2.32,1
12.13,6,n14,422.44,-18.2,1
12.13,6,n15,506.31,-20.16,1
12.13,6,n12,357.79,-24.37,1
12.13,6,n16,341.89,28.61,1
12.13,7,n03,169.03,-133.46,1
12.13,7,n04,488.43,-79.37,1
12.13,7,n06,110.02,81.13,1
12.13,7,n07,260.35,75.85,1
12.13,7,n09,352.64,-84.23,1
12.13,7,n08,494.19,-21.99,1
12.13,7,n10,272.36,80.82,1
12.13,7,n11,288.24,13.86,1
12.13,7,n13,480.84,-25.03,1
12.13,7,n14,438.96,-18.13,1
12.13,7,n15,452.57,-18.33,1
12.13,7,n12,316.37,-7.04,1
12.13,7,n16,357.5,-15.5,1
12.13,8,n03,142.78,-202.9,1
12.13,8,n04,458.27,-57.19,1
12.13,8,n06,80.79,64.26,1
12.13,8,n07,299.23,98.89,1
12.13,8,n09,334.82,-46.79,1
12.13,8,n08,474.7,16.86,1
12.13,8,n10,294.38,40.83,1
12.13,8,n11,322.28,8.61,1
12.13,8,n13,403.4,-2.45,1
12.13,8,n14,439.81,-22.73,1
12.13,8,n15,454.69,-8.44,1
12.13,8,n12,252.61,-5.59,1
12.13,8,n16,307.33,27.05,1
12.13,9,n03,137.07,-205.42,1
12.13,9,n04,458.07,-64.78,1
12.13,9,n06,81.12,52.79,1
12.13,9,n07,298.29,97.23,1
12.13,9,n08,504.36,-3.63,1
12.13,9,n09,329.81,-44.39,1
12.13,9,n10,290.85,39.36,1
12.13,9,n11,347.4,-8.9,1
12.13,9,n13,405.52,-8.63,1
12.13,9,n14,409.24,11.22,1
12.13,9,n15,353.32,20.75,1
12.13,9,n12,271.8,5.17,1
12.13,9,n16,270.57,10.95,1
12.13,10,n03,126.12,-145.44,1
12.13,10,n04,458.94,-87.84,1
12.13,10,n06,67.78,119.71,1
12.13,10,n07,247.9,41.27,1
12.13,10,n09,318.11,-50.39,1
12.13,10,n08,503.8,-6.0,1
12.13,10,n10,320.68,6.44,1
12.13,10,n11,332.36,21.31,1
12.13,10,n13,424.59,0.61,1
12.13,10,n14,466.43,-10.63,1
12.13,10,n15,457.26,-2.6,1
12.13,10,n12,323.58,-21.21,1
12.13,10,n16,321.95,18.03,1
12.13,11,n03,134.83,-190.93,1
12.13,11,n04,470.75,-75.78,1
