seed,n_inject,node_id,x,y,death_t,local_temp_c,rep_peak_c,group,self_hot,confirmed,confirmed_orgate,gate_blocked,dist_to_front_m,n_acc_nbrs_at_death,resid_final_s,loo_dir_harm_deg,loo_speed_harm_pct,loo_disp_harm_m
2,1,7,30.0,10.0,14.6,51.31,47.65,WARM,0,1,1,0,14.081,2,3.65,-0.1943,25.2272,0.7953
3,1,14,20.0,30.0,13.5,40.99,39.11,COOL,0,1,1,0,17.071,2,5.5,6.0761,25.8605,0.7505
5,1,11,30.0,20.0,20.8,78.87,69.11,HOT,1,0,0,0,9.781,3,0.2,,,
6,1,7,30.0,10.0,7.4,29.35,28.94,COOL,0,1,1,0,24.881,0,10.65,28.7977,36.4715,2.6573
7,1,14,20.0,30.0,8.8,29.94,29.04,COOL,0,1,1,0,24.121,0,10.5,30.999,26.6808,1.4323
12,1,10,20.0,20.0,12.2,51.58,50.28,WARM,0,0,1,1,14.021,3,2.943,,,
13,1,6,20.0,10.0,8.8,51.14,46.4,WARM,0,1,1,0,14.121,2,3.846,2.2414,2.6572,0.141
14,1,7,30.0,10.0,7.8,29.81,28.94,COOL,0,1,1,0,24.281,0,10.65,28.7977,36.4715,2.6573
23,1,6,20.0,10.0,3.0,31.13,29.77,COOL,0,1,1,0,22.821,0,9.846,2.8796,3.1483,0.895
24,1,11,30.0,20.0,7.7,27.04,26.71,COOL,0,1,1,0,29.431,0,,7.7404,-0.0048,0.4327
28,1,14,20.0,30.0,9.2,30.46,30.19,COOL,0,1,1,0,23.521,0,9.5,27.1384,26.6808,1.2959
29,1,1,10.0,0.0,2.7,80.43,71.53,HOT,1,1,1,0,9.61,2,2.25,-3.1733,0.0465,0.38
1,2,7,30.0,10.0,9.3,31.99,31.49,COOL,0,1,1,0,22.031,1,8.65,-0.4261,42.7299,1.8953
2,2,3,30.0,0.0,7.0,34.05,32.05,COOL,0,1,1,0,20.481,0,8.3,6.6268,3.4723,0.825
3,2,13,10.0,30.0,2.9,29.78,28.82,COOL,0,1,1,0,24.31,0,10.7,30.793,36.4657,2.685
5,2,10,20.0,20.0,2.9,27.6,27.08,COOL,0,1,1,0,27.971,0,13.143,-1.9806,-0.0067,5.2664
6,2,7,30.0,10.0,10.4,34.21,33.33,COOL,0,1,1,0,20.381,1,7.65,0.5545,42.7299,1.6753
6,2,9,10.0,20.0,9.6,83.76,80.89,HOT,1,1,1,0,9.26,4,0.015,-13.6535,-0.5214,-0.0
8,2,3,30.0,0.0,14.0,77.11,65.58,HOT,1,1,1,0,9.981,2,1.3,-1.3975,1.1267,0.125
10,2,6,20.0,10.0,4.0,32.87,31.13,COOL,0,1,1,0,21.321,1,8.846,-1.7316,3.4104,0.795
12,2,7,30.0,10.0,7.9,29.93,28.94,COOL,0,1,1,0,24.131,0,10.65,19.273,94.631,2.667
12,2,9,10.0,20.0,3.9,39.13,36.28,COOL,0,1,1,0,17.81,1,6.385,-11.3258,73.2426,0.64
14,2,7,30.0,10.0,6.4,28.39,28.06,COOL,0,1,1,0,26.381,0,11.65,-1.9237,4.1721,2.3273
14,2,13,10.0,30.0,4.9,32.89,31.3,COOL,0,1,1,0,21.31,1,8.7,22.2474,35.3254,2.185
15,2,14,20.0,30.0,15.2,49.45,48.26,COOL,0,1,1,0,14.521,2,3.5,2.3631,18.3176,0.4778
16,2,6,20.0,10.0,4.7,34.38,32.87,COOL,0,1,1,0,20.271,1,7.846,0.1291,3.5353,0.695
18,2,11,30.0,20.0,15.1,37.96,37.64,COOL,0,1,1,0,18.331,1,,2.2125,16.9736,0.7846
19,2,2,20.0,0.0,7.4,67.38,63.35,HOT,1,1,1,0,11.221,2,1.5,-1.2389,0.0465,-0.005
20,2,2,20.0,0.0,5.3,50.07,48.26,WARM,0,1,1,0,14.371,1,3.5,-0.2797,0.0465,0.195
21,2,2,20.0,0.0,3.9,42.67,39.11,COOL,0,1,1,0,16.471,1,5.5,5.8693,-0.0465,0.395
23,2,6,20.0,10.0,5.6,36.74,35.11,COOL,0,1,1,0,18.921,1,6.846,1.224,3.5214,0.595
24,2,10,20.0,20.0,15.5,85.64,81.26,HOT,1,1,1,0,9.071,4,0.057,-0.1923,-0.0067,-0.0123
25,2,2,20.0,0.0,5.8,53.41,48.26,WARM,0,1,1,0,13.621,1,3.5,-0.2797,0.0465,0.195
26,2,9,10.0,20.0,8.6,70.76,64.39,HOT,1,1,1,0,10.76,4,1.385,-1.0159,0.9346,-0.011
30,2,14,20.0,30.0,7.7,28.75,28.15,COOL,0,1,1,0,25.771,0,11.5,8.1418,0.558,1.15
1,4,5,10.0,10.0,5.7,76.0,67.81,HOT,1,1,1,0,10.11,5,0.463,-2.7048,-12.8815,-0.049
1,4,6,20.0,10.0,4.1,33.07,32.87,COOL,0,1,1,0,21.171,1,7.752,-2.8103,44.0822,1.8254
1,4,11,30.0,20.0,20.0,69.11,59.35,HOT,0,0,0,0,10.981,3,8.407,,,
1,4,14,20.0,30.0,7.9,28.94,28.15,COOL,0,1,1,0,25.471,0,11.5,3.7382,29.3292,1.15
2,4,3,30.0,0.0,2.4,27.87,27.59,COOL,0,0,0,0,27.381,0,11.9,,,
2,4,10,20.0,20.0,7.8,33.85,32.24,COOL,0,1,1,0,20.621,1,8.143,3.3025,43.4971,3.232
4,4,2,20.0,0.0,5.5,51.36,48.26,WARM,0,1,1,0,14.071,1,2.85,1.1282,0.0,0.195
4,4,3,30.0,0.0,14.0,77.11,65.58,HOT,1,1,1,0,9.981,2,2.2,-0.1865,0.0465,-0.4
6,4,6,20.0,10.0,5.9,37.66,35.11,COOL,0,1,1,0,18.471,1,6.846,-2.6029,42.5626,0.603
6,4,8,0.0,20.0,3.2,75.24,72.79,HOT,1,1,1,0,10.2,1,0.6,2.7109,-0.0451,-0.085
6,4,14,20.0,30.0,7.5,28.57,28.15,COOL,0,1,1,0,26.071,0,11.5,3.9601,42.5626,1.15
7,4,7,30.0,10.0,17.4,77.98,72.94,HOT,1,0,0,0,9.881,4,0.25,,,
7,4,11,30.0,20.0,19.9,68.02,59.35,HOT,0,0,0,0,11.131,2,,,,
8,4,10,20.0,20.0,11.8,49.05,44.69,COOL,0,1,1,0,14.621,2,4.143,0.9857,22.8305,1.4164
9,4,1,10.0,0.0,2.8,81.83,80.43,HOT,1,1,1,0,9.46,2,1.55,-2.0152,0.0417,0.31
