seed,v_true_std_pct,T_bar,T_bar_dev_pct,obs_local_vs_nom,obs_local_vs_bar,floor_global_vs_nom,floor_global_vs_bar,floor_local_vs_nom,floor_local_vs_bar,F_globalchoice,floor_quad_vs_bar,err_const_vs_inst,err_ramp_vs_inst,cadence_s,w_cut_at_vbar,unobservable_var_share_SIGNAL,F_sampling_pct,F_sampling_pct_timevar,scenario,w_cut_lo,w_cut_hi,cadence_lo_s,cadence_hi_s
1,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.9042546438477854,0.0,0.0,S1,,,,
2,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.23498227768963598,0.0,0.0,S1,,,,
3,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.05000134746426456,0.0,0.0,S1,,,,
4,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.28887504016248505,0.0,0.0,S1,,,,
5,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.05696869061735493,0.0,0.0,S1,,,,
6,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.3231349276403354,0.0,0.0,S1,,,,
7,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.12362885990344115,0.0,0.0,S1,,,,
8,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.21392068363436773,0.0,0.0,S1,,,,
9,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.05416009332762204,0.0,0.0,S1,,,,
10,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.009188630982056639,0.0,0.0,S1,,,,
11,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.004412214914215342,0.0,0.0,S1,,,,
12,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.8005094259273481,0.0,0.0,S1,,,,
13,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.5934738387303213,0.0,0.0,S1,,,,
14,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.06592671912698876,0.0,0.0,S1,,,,
15,0.0,1.5,0.0,0.09611126160412967,0.09611126160412967,4.440892098500626e-13,4.440892098500626e-13,5.921189464667502e-13,5.921189464667502e-13,-1.480297366166876e-13,1.3766765505351941e-12,4.736951571734e-13,4.070817756958907e-13,6.666666666666667,0.47123889803846897,0.43736397365504126,0.0,0.0,S1,,,,
