t_max,front,mode,tau_s,seed,med,v_true_bar,speed_err_nominal_pct,speed_err_realized_pct
120.0,straight_S1,uniform,0.0,1,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,2,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,3,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,4,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,5,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,6,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,7,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,8,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,9,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,10,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,11,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,12,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,13,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,14,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,15,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,16,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,17,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,18,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,19,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,20,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,21,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,22,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,23,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,24,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,25,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,26,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,27,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,28,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,29,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,0.0,30,1.498558331075938,1.5,-0.09611126160412967,-0.09611126160412967
120.0,straight_S1,uniform,2.0,1,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,2,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,3,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,4,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,5,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,6,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,7,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,8,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,9,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,10,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,11,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,12,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,13,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,14,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,15,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,16,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,17,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,18,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,19,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,20,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,21,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,22,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,23,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,24,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,25,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,26,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,27,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,28,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,29,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,2.0,30,1.5150742253044898,1.5,1.004948353632651,1.004948353632651
120.0,straight_S1,uniform,5.0,1,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,2,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,3,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,4,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,5,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,6,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,7,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,8,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,9,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,10,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,11,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,12,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,13,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,14,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,15,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,16,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,17,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,18,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,19,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,20,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,21,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,22,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,23,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,24,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
