scenario,wind_u,c_spread,peak_C,seed,tau_s,v_spread,exposed,miss,miss_rate,dir_err,speed_err,n_confirmed,t_max,dt
S1,0.1,0.05,150.0,1,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,2,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,3,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,4,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,5,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,6,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,7,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,8,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,9,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,10,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,11,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,12,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,13,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,14,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,150.0,15,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,1,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,2,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,3,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,4,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,5,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,6,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,7,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,8,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,9,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,10,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,11,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,12,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,13,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,14,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
S1,0.1,0.05,300.0,15,77.792,0.005,15,0,0.0,,,14,10819.0,0.2705
