label,set,geom,wind_kmh,ignition_d_m,tau_s,seed,dir_err,estimable,grade,count_grade,dphi_hat,dphi_stat,dphi_disp,n_local,n_ok,per_node_frac,s2_med,front,jitter,wind_u,v_spread
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,1,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,2,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,3,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,4,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,5,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,6,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,7,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,8,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,9,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ0,ellipse,head,10.0,30.0,0.0,10,1.9930041270958196,1,OK,OK,4.6686,1.3656,4.6686,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,1,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,2,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,3,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,4,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,5,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,6,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,7,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,8,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,9,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ11,ellipse,head,10.0,30.0,11.0,10,1.3044079854758217,1,DEGRADED,OK,5.0427,1.4645,5.0427,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,1,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,2,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,3,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,4,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,5,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,6,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,7,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,8,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,9,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d30 τ78,ellipse,head,10.0,30.0,78.5,10,1.2230201535475556,1,DEGRADED,OK,5.0834,1.488,5.0834,13,6,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,1,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,2,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,3,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,4,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,5,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,6,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,7,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,8,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,9,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ0,ellipse,head,10.0,60.0,0.0,10,0.9399099499133822,1,OK,OK,3.2151,0.9087,3.2151,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,1,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,2,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,3,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,4,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,5,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,6,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,7,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,8,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,9,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ11,ellipse,head,10.0,60.0,11.0,10,0.5197698967644669,1,OK,OK,3.3634,0.9463,3.3634,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,1,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,2,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,3,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,4,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,5,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,6,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,7,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,8,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,9,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d60 τ78,ellipse,head,10.0,60.0,78.5,10,0.5676269144513162,1,OK,OK,3.4023,0.9716,3.4023,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,1,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,2,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,3,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,4,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,5,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,6,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,7,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,8,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,9,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ0,ellipse,head,10.0,120.0,0.0,10,0.3522298056145573,1,OK,OK,1.9375,0.5615,1.9375,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,1,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,2,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,3,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,4,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,5,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,6,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,7,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,8,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,9,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ11,ellipse,head,10.0,120.0,11.0,10,0.23900535864050837,1,OK,OK,2.041,0.5836,2.041,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,1,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,2,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,3,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,4,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,5,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,6,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,7,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,8,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,9,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W10 d120 τ78,ellipse,head,10.0,120.0,78.5,10,0.16778318198926168,1,OK,OK,1.989,0.58,1.989,13,8,86.7,0.4472,,,,
타원[head] W20 d30 τ0,ellipse,head,20.0,30.0,0.0,1,18.04911124839855,1,OK,OK,3.7695,2.0155,3.7695,11,2,73.3,0.4472,,,,
타원[head] W20 d30 τ0,ellipse,head,20.0,30.0,0.0,2,18.04911124839855,1,OK,OK,3.7695,2.0155,3.7695,11,2,73.3,0.4472,,,,
