label,group,kappa_h_med,kappa_h_p95,gap_s,dtw_scaled,window_mode,dt_window,seed,dir_err,estimable,grade,n_local,per_node_frac,n_obs_mean,sigma_t_mean,s2_med
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,1,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,2,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,3,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,4,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,5,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,6,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,7,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,8,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,9,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,10,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,11,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,12,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,13,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,14,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,15,1.9930041270958196,1,OK,13,86.7,5.0,0.9108,0.4472
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,1,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,2,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,3,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,4,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,5,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,6,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,7,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,8,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,9,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,10,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,11,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,12,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,13,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,14,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,15,2.351460974179166,1,OK,13,86.7,5.92,0.7866,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,1,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,2,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,3,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,4,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,5,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,6,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,7,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,8,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,9,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,10,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,11,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,12,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
