scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S1,0,baseline,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S1,0,baseline,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S1,0,baseline,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S1,0,baseline,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S1,0,baseline,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S1,0,baseline,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S1,0,baseline,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S1,0,baseline,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S1,0,baseline,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S1,0,baseline,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S1,0,baseline,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S1,0,baseline,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S1,0,baseline,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S1,0,baseline,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S1,0,baseline,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S1,0,baseline,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S1,0,baseline,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S1,0,baseline,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S1,0,baseline,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S1,0,baseline,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S1,0,baseline,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S1,0,baseline,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S1,0,baseline,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S1,0,baseline,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S1,0,baseline,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S1,0,baseline,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S1,0,baseline,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S1,0,baseline,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S1,0,baseline,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S1,0,baseline,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
