scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S2b,0,gust_0pct,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2b,0,gust_0pct,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,1,1.246,5.285,5.621,0.982,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,2,1.674,26.688,9.861,0.9779,0.0,2.767,1.0,100.0,12
S2b,20,gust_20pct,3,2.675,2.785,4.201,1.0,0.0,2.785,1.0,100.0,13
S2b,20,gust_20pct,4,2.22,19.45,1.221,0.933,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,5,1.705,11.17,8.147,0.9778,0.0,2.792,1.0,100.0,13
S2b,20,gust_20pct,6,2.588,2.057,4.757,0.9682,0.0,2.779,1.0,100.0,14
S2b,20,gust_20pct,7,4.229,1.561,4.067,0.9476,0.0,2.762,1.0,100.0,13
S2b,20,gust_20pct,8,1.101,23.844,9.121,0.9034,0.0,2.777,1.0,100.0,13
S2b,20,gust_20pct,9,2.428,9.8,7.881,0.9926,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,10,1.57,18.473,9.267,0.9853,0.0,2.762,1.0,100.0,13
S2b,20,gust_20pct,11,2.16,9.8,8.114,0.9792,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,12,1.568,15.105,8.021,0.9351,0.0,2.785,1.0,100.0,13
S2b,20,gust_20pct,13,2.059,24.095,9.101,0.9635,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,14,2.674,2.098,6.327,0.9653,0.0,2.792,1.0,100.0,13
S2b,20,gust_20pct,15,1.971,14.005,2.621,0.9701,0.0,2.762,1.0,100.0,13
S2b,20,gust_20pct,16,1.956,7.573,7.194,0.9935,0.0,2.764,1.0,100.0,14
S2b,20,gust_20pct,17,2.239,21.858,9.187,0.9643,0.0,2.746,1.0,100.0,13
S2b,20,gust_20pct,18,2.018,19.844,7.941,0.9556,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,19,2.464,15.854,3.221,0.9773,0.0,2.75,1.0,100.0,12
S2b,20,gust_20pct,20,1.711,8.745,6.721,0.9337,0.0,2.783,1.0,100.0,12
S2b,20,gust_20pct,21,4.328,12.082,2.421,0.9381,0.0,2.783,1.0,100.0,12
S2b,20,gust_20pct,22,2.021,18.51,8.821,0.9858,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,23,3.097,6.616,4.967,0.9934,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,24,1.908,19.162,7.961,0.964,0.0,2.762,1.0,100.0,13
S2b,20,gust_20pct,25,1.154,21.419,10.481,0.9528,0.0,2.771,1.0,100.0,14
S2b,20,gust_20pct,26,1.884,17.482,9.401,0.9853,0.0,2.785,1.0,100.0,13
S2b,20,gust_20pct,27,2.648,1.041,6.066,0.9363,0.0,2.771,1.0,100.0,14
S2b,20,gust_20pct,28,2.407,0.138,6.007,0.9745,0.0,2.769,1.0,100.0,13
S2b,20,gust_20pct,29,2.767,5.343,7.447,0.9655,0.0,2.785,1.0,100.0,13
S2b,20,gust_20pct,30,1.932,3.667,7.121,0.9796,0.0,2.771,1.0,100.0,14
S2b,40,gust_40pct,1,4.109,4.332,4.021,0.9884,0.0,2.783,1.0,100.0,12
S2b,40,gust_40pct,2,1.495,53.024,12.361,0.9837,0.0,2.792,1.0,100.0,12
S2b,40,gust_40pct,3,1.436,9.795,1.337,0.9806,0.0,2.777,1.0,100.0,13
S2b,40,gust_40pct,4,0.597,14.269,0.199,0.94,0.0,2.792,1.0,100.0,13
S2b,40,gust_40pct,5,1.868,30.015,10.494,0.9832,0.0,2.767,1.0,100.0,12
S2b,40,gust_40pct,6,3.027,18.101,0.621,0.9623,0.0,2.779,0.9286,100.0,14
S2b,40,gust_40pct,7,2.437,24.35,2.401,0.9474,0.0,2.769,1.0,100.0,13
S2b,40,gust_40pct,8,0.696,38.829,11.141,0.9071,0.0,2.777,1.0,100.0,13
S2b,40,gust_40pct,9,2.228,26.505,9.121,1.0,0.0,2.775,1.0,100.0,12
S2b,40,gust_40pct,10,1.599,39.099,11.707,1.0,0.0,2.775,1.0,100.0,12
S2b,40,gust_40pct,11,1.482,17.112,9.361,0.9848,0.0,2.777,1.0,100.0,13
S2b,40,gust_40pct,12,0.302,23.165,9.316,0.94,0.0,2.75,1.0,100.0,14
S2b,40,gust_40pct,13,2.612,61.798,12.547,0.9667,0.0,2.767,1.0,100.0,12
S2b,40,gust_40pct,14,2.533,1.063,5.847,0.9704,0.0,2.777,1.0,100.0,13
S2b,40,gust_40pct,15,2.633,3.512,4.521,0.9718,0.0,2.767,0.9167,100.0,12
S2b,40,gust_40pct,16,1.961,14.538,7.802,0.9735,0.0,2.757,1.0,100.0,14
S2b,40,gust_40pct,17,2.388,16.13,9.787,0.9766,0.0,2.775,1.0,100.0,12
S2b,40,gust_40pct,18,2.248,52.832,11.461,0.9576,0.0,2.777,1.0,100.0,13
S2b,40,gust_40pct,19,1.557,12.653,2.221,0.9645,0.0,2.792,1.0,100.0,12
S2b,40,gust_40pct,20,2.848,12.531,6.574,0.9322,0.0,2.775,1.0,100.0,12
S2b,40,gust_40pct,21,4.818,6.002,1.194,0.9202,0.0,2.775,1.0,100.0,12
S2b,40,gust_40pct,22,1.329,21.932,10.141,0.9847,0.0,2.775,1.0,100.0,12
S2b,40,gust_40pct,23,2.684,2.016,2.821,0.9863,0.0,2.777,1.0,100.0,13
S2b,40,gust_40pct,24,2.173,45.669,10.961,0.952,0.0,2.769,1.0,100.0,13
S2b,40,gust_40pct,25,1.292,49.502,13.641,0.9619,0.0,2.762,1.0,100.0,13
S2b,40,gust_40pct,26,1.479,25.22,10.907,0.9835,0.0,2.783,1.0,100.0,12
S2b,40,gust_40pct,27,2.495,15.743,6.03,0.9321,0.0,2.757,1.0,100.0,14
S2b,40,gust_40pct,28,1.994,1.255,4.721,0.9811,0.0,2.769,1.0,100.0,13
S2b,40,gust_40pct,29,3.073,0.362,7.021,0.9638,0.0,2.767,1.0,100.0,12
S2b,40,gust_40pct,30,1.384,12.301,8.121,0.9856,0.0,2.779,1.0,100.0,14
