scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths,local_dir_median_deg,local_dir_p90_deg,local_speed_median_pct,local_speed_p90_pct
S3,0,radial,1,11.321,0.865,6.084,0.9676,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,2,11.321,0.865,6.084,0.973,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,3,11.321,0.865,6.084,0.9676,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,4,11.321,0.865,6.084,0.9135,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,5,11.321,0.865,6.084,0.973,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,6,11.321,0.865,6.084,0.9514,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,7,11.321,0.865,6.084,0.9189,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,8,11.321,0.865,6.084,0.9027,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,9,11.321,0.865,6.084,0.9838,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,10,11.321,0.865,6.084,0.9784,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,11,11.321,0.865,6.084,0.9514,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,12,11.321,0.865,6.084,0.9081,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,13,11.321,0.865,6.084,0.9622,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,14,11.321,0.865,6.084,0.9243,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,15,11.321,0.865,6.084,0.9568,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,16,11.321,0.865,6.084,0.9784,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,17,11.321,0.865,6.084,0.9676,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,18,11.321,0.865,6.084,0.9514,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,19,11.321,0.865,6.084,0.9622,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,20,11.321,0.865,6.084,0.9351,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,21,11.321,0.865,6.084,0.9297,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,22,11.321,0.865,6.084,0.9784,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,23,11.321,0.865,6.084,0.9838,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,24,11.321,0.865,6.084,0.9297,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,25,11.321,0.865,6.084,0.9297,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,26,11.321,0.865,6.084,0.9514,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,27,11.321,0.865,6.084,0.9243,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,28,11.321,0.865,6.084,0.9622,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,29,11.321,0.865,6.084,0.9351,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,0,radial,30,11.321,0.865,6.084,0.973,0.0,2.746,1.0,100.0,13,6.87,15.958,3.519,27.908
S3,1,radial_wind,1,12.386,49.22,5.039,0.9459,0.0,2.755,1.0,100.0,11,7.875,16.183,10.199,16.778
S3,1,radial_wind,2,11.876,77.998,7.389,0.9754,0.0,2.789,1.0,100.0,9,7.405,16.638,27.944,46.637
S3,1,radial_wind,3,13.091,30.954,6.196,0.9925,0.0,2.762,1.0,100.0,13,5.851,14.277,15.561,50.975
S3,1,radial_wind,4,10.375,6.352,2.789,0.9375,0.0,2.758,1.0,100.0,12,6.209,11.09,23.752,29.43
S3,1,radial_wind,5,9.457,62.288,7.072,0.9664,0.0,2.79,1.0,100.0,10,8.38,14.099,24.212,63.125
S3,1,radial_wind,6,10.081,42.683,6.762,0.9403,0.0,2.758,1.0,100.0,12,6.665,15.219,7.522,50.631
S3,1,radial_wind,7,12.434,15.891,1.689,0.9322,0.0,2.778,1.0,100.0,9,8.454,15.069,14.458,23.119
S3,1,radial_wind,8,12.357,66.522,6.389,0.8636,0.0,2.789,1.0,100.0,9,8.157,16.4,20.849,29.034
S3,1,radial_wind,9,12.444,53.555,7.039,0.9664,0.0,2.782,1.0,100.0,11,6.995,13.836,12.491,60.593
S3,1,radial_wind,10,12.074,72.266,7.272,0.9917,0.0,2.778,1.0,100.0,9,7.875,15.259,26.911,55.858
S3,1,radial_wind,11,12.195,54.069,6.139,0.9767,0.0,2.789,1.0,100.0,9,8.047,15.431,16.276,47.437
S3,1,radial_wind,12,11.963,40.718,5.239,0.9343,0.0,2.767,1.0,100.0,9,7.405,12.868,6.399,28.64
S3,1,radial_wind,13,8.972,85.97,8.039,0.975,0.0,2.79,1.0,100.0,10,8.599,17.45,38.547,55.71
S3,1,radial_wind,14,12.334,31.963,5.739,0.9841,0.0,2.782,1.0,100.0,11,6.019,13.574,16.961,62.586
S3,1,radial_wind,15,12.155,20.873,3.389,0.96,0.0,2.773,1.0,100.0,11,5.989,15.805,19.533,31.176
S3,1,radial_wind,16,12.42,38.533,4.839,0.9855,0.0,2.789,1.0,100.0,9,8.367,14.735,4.476,35.244
S3,1,radial_wind,17,12.335,46.54,5.822,0.9524,0.0,2.756,1.0,100.0,9,8.991,14.461,10.234,49.211
S3,1,radial_wind,18,12.101,70.009,7.939,0.9661,0.0,2.782,1.0,100.0,11,7.504,15.608,24.545,65.008
S3,1,radial_wind,19,9.851,20.385,2.589,0.9812,0.0,2.77,1.0,100.0,10,9.629,13.841,14.883,25.8
S3,1,radial_wind,20,12.091,29.558,3.339,0.9481,0.0,2.778,1.0,100.0,9,7.747,15.237,8.782,12.503
S3,1,radial_wind,21,12.035,17.248,1.089,0.9396,0.0,2.778,1.0,100.0,9,7.117,15.882,13.456,22.982
S3,1,radial_wind,22,12.26,55.563,6.239,0.9922,0.0,2.767,1.0,100.0,9,8.047,14.621,13.98,46.106
S3,1,radial_wind,23,10.127,28.72,5.439,0.9692,0.0,2.792,1.0,100.0,12,6.168,13.405,14.878,54.058
S3,1,radial_wind,24,12.264,69.17,7.472,0.9268,0.0,2.773,1.0,100.0,11,8.047,16.054,23.93,57.919
S3,1,radial_wind,25,12.263,80.045,8.022,0.9545,0.0,2.767,1.0,100.0,9,8.29,14.885,34.107,73.769
S3,1,radial_wind,26,11.766,60.745,6.722,0.9833,0.0,2.767,1.0,100.0,9,7.504,14.636,20.447,56.083
S3,1,radial_wind,27,11.838,41.333,3.389,0.9301,0.0,2.778,1.0,100.0,9,7.504,15.622,16.798,46.293
S3,1,radial_wind,28,12.399,58.148,4.139,0.965,0.0,2.8,1.0,100.0,9,8.797,17.059,15.856,39.165
S3,1,radial_wind,29,12.31,43.295,4.439,0.9773,0.0,2.756,1.0,100.0,9,8.29,15.27,15.229,56.647
S3,1,radial_wind,30,9.244,50.89,6.289,0.9612,0.0,2.77,1.0,100.0,10,8.55,14.335,15.482,52.796
