scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S4,0,jitter_0pct,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S4,0,jitter_0pct,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S4,10,jitter_10pct,1,2.132,0.037,6.361,0.9756,0.0,2.8,1.0,100.0,13
S4,10,jitter_10pct,2,2.263,0.104,6.382,0.9806,0.0,2.792,1.0,100.0,13
S4,10,jitter_10pct,3,1.607,0.077,6.444,0.9753,0.0,2.793,1.0,100.0,14
S4,10,jitter_10pct,4,1.546,0.486,6.4,0.94,0.0,2.767,1.0,100.0,12
S4,10,jitter_10pct,5,1.723,0.371,6.448,0.9812,0.0,2.764,1.0,100.0,14
S4,10,jitter_10pct,6,1.965,0.241,6.382,0.9625,0.0,2.786,1.0,100.0,14
S4,10,jitter_10pct,7,1.614,0.015,6.315,0.9329,0.0,2.767,1.0,100.0,12
S4,10,jitter_10pct,8,1.357,0.69,6.337,0.9091,0.0,2.769,1.0,100.0,13
S4,10,jitter_10pct,9,2.052,0.91,6.45,1.0,0.0,2.777,1.0,100.0,13
S4,10,jitter_10pct,10,2.523,0.434,6.435,0.9935,0.0,2.758,1.0,100.0,12
S4,10,jitter_10pct,11,2.357,0.533,6.41,0.9744,0.0,2.779,1.0,100.0,14
S4,10,jitter_10pct,12,2.445,0.548,6.402,0.9477,0.0,2.769,1.0,100.0,13
S4,10,jitter_10pct,13,1.85,0.094,6.302,0.974,0.0,2.779,1.0,100.0,14
S4,10,jitter_10pct,14,1.963,0.327,6.358,0.956,0.0,2.762,1.0,100.0,13
S4,10,jitter_10pct,15,2.359,0.238,6.342,0.9536,0.0,2.771,1.0,100.0,14
S4,10,jitter_10pct,16,2.078,0.14,6.263,0.9937,0.0,2.792,1.0,100.0,12
S4,10,jitter_10pct,17,0.724,0.663,6.431,0.9722,0.0,2.762,1.0,100.0,13
S4,10,jitter_10pct,18,1.251,0.452,6.443,0.9392,0.0,2.764,1.0,100.0,14
S4,10,jitter_10pct,19,1.765,0.053,6.373,0.9939,0.0,2.769,1.0,100.0,13
S4,10,jitter_10pct,20,1.836,0.325,6.349,0.9506,0.0,2.754,1.0,100.0,13
S4,10,jitter_10pct,21,2.066,0.086,6.286,0.9333,0.0,2.758,1.0,100.0,12
S4,10,jitter_10pct,22,2.118,0.19,6.319,0.9935,0.0,2.762,1.0,100.0,13
S4,10,jitter_10pct,23,1.387,0.513,6.45,0.9938,0.0,2.764,1.0,100.0,14
S4,10,jitter_10pct,24,2.423,0.176,6.284,0.949,0.0,2.769,1.0,100.0,13
S4,10,jitter_10pct,25,1.805,0.632,6.401,0.9557,0.0,2.758,1.0,100.0,12
