scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S5,2,drop_0.02,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S5,2,drop_0.02,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
