scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S6,9,n9,1,4.324,34.549,7.554,0.8511,0.0,2.8,1.0,100.0,6
S6,9,n9,2,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,3,4.324,34.549,7.554,0.9574,0.0,2.8,1.0,100.0,6
S6,9,n9,4,4.324,34.549,7.554,0.9149,0.0,2.8,1.0,100.0,6
S6,9,n9,5,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,9,n9,6,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,7,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,8,4.324,34.549,7.554,0.8511,0.0,2.8,1.0,100.0,6
S6,9,n9,9,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,10,4.324,34.549,7.554,0.9149,0.0,2.8,1.0,100.0,6
S6,9,n9,11,4.324,34.549,7.554,0.8936,0.0,2.8,1.0,100.0,6
S6,9,n9,12,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,13,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,14,4.324,34.549,7.554,0.9574,0.0,2.8,1.0,100.0,6
S6,9,n9,15,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,16,4.324,34.549,7.554,0.9149,0.0,2.8,1.0,100.0,6
S6,9,n9,17,4.324,34.549,7.554,0.9574,0.0,2.8,1.0,100.0,6
S6,9,n9,18,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,19,4.324,34.549,7.554,0.9149,0.0,2.8,1.0,100.0,6
S6,9,n9,20,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,9,n9,21,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,9,n9,22,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,9,n9,23,4.324,34.549,7.554,1.0,0.0,2.8,1.0,100.0,6
S6,9,n9,24,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,9,n9,25,4.324,34.549,7.554,0.9574,0.0,2.8,1.0,100.0,6
S6,9,n9,26,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,9,n9,27,4.324,34.549,7.554,0.8298,0.0,2.8,1.0,100.0,6
S6,9,n9,28,4.324,34.549,7.554,0.8723,0.0,2.8,1.0,100.0,6
S6,9,n9,29,4.324,34.549,7.554,0.9787,0.0,2.8,1.0,100.0,6
S6,9,n9,30,4.324,34.549,7.554,0.9362,0.0,2.8,1.0,100.0,6
S6,12,n12,1,2.868,0.558,6.434,0.8125,0.0,2.767,1.0,100.0,9
S6,12,n12,2,2.868,0.558,6.434,0.9688,0.0,2.767,1.0,100.0,9
S6,12,n12,3,2.868,0.558,6.434,0.8333,0.0,2.767,1.0,100.0,9
S6,12,n12,4,2.868,0.558,6.434,0.8958,0.0,2.767,1.0,100.0,9
S6,12,n12,5,2.868,0.558,6.434,0.8958,0.0,2.767,1.0,100.0,9
S6,12,n12,6,2.868,0.558,6.434,0.9271,0.0,2.767,1.0,100.0,9
S6,12,n12,7,2.868,0.558,6.434,0.9167,0.0,2.767,1.0,100.0,9
S6,12,n12,8,2.868,0.558,6.434,0.9479,0.0,2.767,1.0,100.0,9
S6,12,n12,9,2.868,0.558,6.434,0.9062,0.0,2.767,1.0,100.0,9
S6,12,n12,10,2.868,0.558,6.434,0.9167,0.0,2.767,1.0,100.0,9
