scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S7,1,worst,1,1.89,6.673,4.07,0.8588,0.0,2.758,1.0,100.0,12
S7,1,worst,2,0.974,39.245,9.936,0.8261,0.0,2.692,1.0,100.0,12
S7,1,worst,3,3.946,7.228,5.038,0.8079,0.0,2.743,1.0,100.0,14
S7,1,worst,4,0.153,7.762,1.615,0.8199,0.0,2.783,1.0,100.0,12
S7,1,worst,5,6.02,11.053,7.417,0.8366,0.0,2.754,1.0,100.0,13
S7,1,worst,6,0.966,45.593,1.227,0.8545,0.0,2.785,0.9231,100.0,13
S7,1,worst,7,12.027,21.399,4.834,0.7897,0.0,2.762,0.9231,100.0,13
S7,1,worst,8,4.389,30.702,10.061,0.7786,0.0,2.769,1.0,100.0,13
S7,1,worst,9,6.56,43.14,11.207,0.8874,0.0,2.717,1.0,100.0,12
S7,1,worst,10,9.174,35.927,8.909,0.752,0.0,2.777,1.0,100.0,13
S7,1,worst,11,0.405,19.549,8.634,0.911,0.0,2.746,1.0,100.0,13
S7,1,worst,12,1.523,14.788,8.962,0.8944,0.0,2.769,0.9231,100.0,13
S7,1,worst,13,5.044,33.556,8.9,0.6449,0.0,2.742,1.0,100.0,12
S7,1,worst,14,10.927,30.312,6.784,0.8797,0.0,2.785,1.0,100.0,13
S7,1,worst,15,7.873,25.856,1.01,0.8025,0.0,2.7,1.0,100.0,14
S7,1,worst,16,3.486,5.952,7.211,0.8616,0.0,2.75,1.0,100.0,12
S7,1,worst,17,5.262,42.291,9.613,0.8739,0.0,2.783,1.0,100.0,12
S7,1,worst,18,2.347,40.144,9.48,0.7016,0.0,2.792,1.0,100.0,13
S7,1,worst,19,0.143,12.759,5.189,0.7912,0.0,2.625,1.0,100.0,12
S7,1,worst,20,5.754,26.795,7.554,0.7857,0.0,2.762,1.0,100.0,13
S7,1,worst,21,3.291,14.768,2.489,0.7784,0.0,2.775,1.0,100.0,12
S7,1,worst,22,0.221,26.954,7.307,0.7803,0.0,2.792,0.9231,100.0,13
S7,1,worst,23,8.067,24.051,6.548,0.8667,0.0,2.769,0.9231,100.0,13
S7,1,worst,24,13.026,27.125,11.151,0.8538,0.0,2.777,1.0,100.0,13
S7,1,worst,25,0.928,51.771,13.08,0.7704,0.0,2.764,1.0,100.0,14
S7,1,worst,26,0.013,60.842,8.358,0.9161,0.0,2.783,1.0,100.0,12
S7,1,worst,27,4.196,2.784,8.82,0.7888,0.0,2.777,0.9231,100.0,13
S7,1,worst,28,1.928,32.311,7.307,0.7848,0.0,2.764,1.0,100.0,14
S7,1,worst,29,0.466,3.32,7.488,0.9419,0.0,2.767,1.0,100.0,12
S7,1,worst,30,11.769,34.591,2.652,0.9097,0.0,2.717,1.0,100.0,12
