n_inject,group,n_nodes,n_passed,pass_rate,self_hot_share,orgate_pass_rate,gate_blocked_n,dist_to_front_m_mean,dist_to_front_m_std,loo_dir_harm_deg_mean,loo_dir_harm_deg_std,loo_speed_harm_pct_mean,loo_speed_harm_pct_std,loo_disp_harm_m_mean,loo_disp_harm_m_std
1,COOL,7,7,1.0,0.0,1.0,0,23.7324,3.3699,18.9184,11.6853,22.1869,13.7161,1.4459,0.8256
1,WARM,3,2,0.6667,0.0,1.0,1,14.0743,0.0411,1.0235,1.2178,13.9422,11.285,0.4682,0.3272
1,HOT,2,1,0.5,1.0,0.5,0,9.6955,0.0855,-3.1733,0.0,0.0465,0.0,0.38,0.0
2,COOL,16,16,1.0,0.0,1.0,0,21.2758,3.5918,5.1279,10.2771,23.6895,27.6809,1.5662,1.2319
2,WARM,2,2,1.0,0.0,1.0,0,13.996,0.375,-0.2797,0.0,0.0465,0.0,0.195,0.0
2,HOT,5,5,1.0,1.0,1.0,0,10.0586,0.8321,-3.4996,5.0939,0.3159,0.6193,0.0193,0.053
4,COOL,26,23,0.8846,0.0,0.8846,0,21.8104,5.0816,4.544,6.9222,25.275,17.3095,1.3552,0.9518
4,WARM,4,2,0.5,0.0,1.0,2,13.3232,0.8826,0.0918,1.0364,1.2236,1.2236,0.26,0.065
4,HOT,14,10,0.7143,0.8571,0.7143,0,10.3371,0.7509,-0.3165,1.4476,-1.3643,3.9091,-0.0013,0.1822
8,COOL,54,43,0.7963,0.0,0.8519,3,21.7835,5.8591,7.7579,11.4728,16.3808,31.4467,1.1787,0.9984
8,WARM,9,5,0.5556,0.0,0.7778,2,13.533,0.5782,-2.7337,5.788,2.1311,8.4913,0.5585,0.3263
8,HOT,19,13,0.6842,0.7895,0.6842,0,10.2675,0.9017,-1.0918,4.0154,-5.399,13.5689,0.0223,0.4168
