n_inject,group,n_seeds_with_group,group_excl_dir_harm_deg_mean,group_excl_dir_harm_deg_std,group_excl_speed_harm_pct_mean,group_excl_speed_harm_pct_std,group_excl_disp_harm_m_mean,group_excl_disp_harm_m_std
1,COOL,7,18.9184,11.6853,22.187,13.7161,1.4458,0.8256
1,WARM,2,1.0235,1.2179,13.9422,11.285,0.4681,0.3272
1,HOT,1,-3.1733,0.0,0.0465,0.0,0.38,0.0
2,COOL,14,6.8457,9.8184,23.4475,29.9998,1.7899,1.518
2,WARM,2,-0.2797,0.0,0.0465,0.0,0.195,0.0
2,HOT,5,-3.4996,5.0939,0.3159,0.6193,0.0193,0.053
4,COOL,16,7.8735,9.5443,35.4737,16.4711,2.1897,1.0073
4,WARM,2,0.0918,1.0364,1.2236,1.2236,0.26,0.065
4,HOT,10,-0.3165,1.4476,-1.3643,3.9091,-0.0013,0.1822
8,COOL,23,17.1365,16.7744,36.3006,38.0916,2.8559,1.4857
8,WARM,3,-3.8905,6.7437,7.7086,8.4876,0.8741,0.2147
8,HOT,11,-1.1884,5.1822,-4.173,12.6464,0.0229,0.4453
