level,n,n_sample_poor,min,p1,mean,std
S1,330,0,9.76,9.76,10.421,0.45
S2a_5,336,0,1.612,5.293,10.575,1.83
S2a_10,333,0,3.108,3.901,11.502,3.131
S2a_20,313,0,1.678,3.558,13.36,4.862
S2b_20,331,0,6.93,7.566,10.81,1.651
S2b_40,321,0,2.808,4.952,11.62,3.066
S4_10,333,0,9.658,9.67,10.377,0.521
S4_20,335,0,9.656,9.68,10.483,0.611
S4_40,326,0,9.664,9.7,10.446,0.637
S5_0.02,330,0,9.76,9.76,10.421,0.45
S5_0.05,330,0,9.76,9.76,10.421,0.45
S5_0.1,330,0,9.76,9.76,10.421,0.45
S5_0.2,331,1,9.76,9.76,10.421,0.45
S5_0.3,333,2,7.717,9.76,10.411,0.492
S6_n9,120,0,10.161,10.161,10.686,0.448
S6_n12,210,0,9.909,9.909,10.543,0.432
S6_n20,450,0,9.76,9.76,10.428,0.451
S6_n25,600,0,9.679,9.679,10.363,0.447
