file,scenario,level,metric,before,FixA_strict,FixB_dtdt
summary_S11_nonfire_after.csv,S11on,nonfire_2,dir_err_deg_mean,5.2479,2.0719,2.0719
summary_S11_nonfire_after.csv,S11on,nonfire_2,speed_err_pct_mean,11.0919,0.1467,0.1467
summary_S11_nonfire_after.csv,S11on,nonfire_2,eta_err_s_mean,8.8048,6.3069,6.3069
summary_S11_nonfire_after.csv,S11on,nonfire_2,nonfire_pollution_pooled,1.0,0.2174,0.2174
summary_S11_nonfire_after.csv,S11on,nonfire_4,dir_err_deg_mean,6.506,2.3009,2.3009
summary_S11_nonfire_after.csv,S11on,nonfire_4,speed_err_pct_mean,19.7648,0.7639,0.7639
summary_S11_nonfire_after.csv,S11on,nonfire_4,coverage_mean,0.9947,0.9909,0.9909
summary_S11_nonfire_after.csv,S11on,nonfire_4,eta_err_s_mean,9.5043,6.3498,6.3498
summary_S11_nonfire_after.csv,S11on,nonfire_4,nonfire_pollution_pooled,0.7955,0.2273,0.2273
summary_S11_nonfire_after.csv,S11on,nonfire_8,dir_err_deg_mean,15.735,2.6998,2.5191
summary_S11_nonfire_after.csv,S11on,nonfire_8,speed_err_pct_mean,31.8354,2.0841,2.438
summary_S11_nonfire_after.csv,S11on,nonfire_8,coverage_mean,0.9786,0.9668,0.9676
summary_S11_nonfire_after.csv,S11on,nonfire_8,eta_err_s_mean,10.0664,6.4436,6.4661
summary_S11_nonfire_after.csv,S11on,nonfire_8,nonfire_pollution_pooled,0.7439,0.1341,0.1585
summary_S5_dropout.csv,S5,drop_0.2,dir_err_deg_mean,3.0766,2.1167,2.1167
summary_S5_dropout.csv,S5,drop_0.2,speed_err_pct_mean,1.3103,0.0946,0.0946
summary_S5_dropout.csv,S5,drop_0.2,fp_rate_mean,0.0026,0.0,0.0
summary_S5_dropout.csv,S5,drop_0.2,eta_err_s_mean,6.8671,6.3337,6.3337
summary_S5_dropout.csv,S5,drop_0.3,dir_err_deg_mean,3.1258,2.1067,2.1742
summary_S5_dropout.csv,S5,drop_0.3,speed_err_pct_mean,1.3106,0.0946,0.0946
summary_S5_dropout.csv,S5,drop_0.3,fp_rate_mean,0.0051,0.0,0.0
summary_S5_dropout.csv,S5,drop_0.3,eta_err_s_mean,6.8664,6.3331,6.3331
