case,variant,dir_err_mean,dir_err_std,speed_err_mean,coverage_mean,delivery_mean,fp_rate_mean,confirmed_deaths_mean
S1,legacy_lenient,2.115,0.0,0.096,1.0,0.9697,0.0,13.0
S1,FixA_strict,2.115,0.0,0.096,1.0,0.9697,0.0,13.0
S1,FixB_dtdt,2.115,0.0,0.096,1.0,0.9697,0.0,13.0
S2a_10,legacy_lenient,4.7573,3.5354,16.3304,0.9876,0.967,0.0,13.1
S2a_10,FixA_strict,4.7573,3.5354,16.3304,0.9876,0.967,0.0,13.1
S2a_10,FixB_dtdt,4.7573,3.5354,16.3304,0.9876,0.967,0.0,13.1
S2b_40,legacy_lenient,2.0926,0.9432,21.7885,0.9948,0.9661,0.0,12.7
S2b_40,FixA_strict,2.0926,0.9432,21.7885,0.9948,0.9661,0.0,12.7
S2b_40,FixB_dtdt,2.0926,0.9432,21.7885,0.9948,0.9661,0.0,12.7
S3_radial,legacy_lenient,11.321,0.0,0.865,1.0,0.9508,0.0,13.0
S3_radial,FixA_strict,11.321,0.0,0.865,1.0,0.9508,0.0,13.0
S3_radial,FixB_dtdt,11.321,0.0,0.865,1.0,0.9508,0.0,13.0
S4_20,legacy_lenient,1.7208,0.6748,0.728,0.9972,0.9716,0.0,13.0333
S4_20,FixA_strict,1.7208,0.6748,0.728,0.9972,0.9716,0.0,13.0333
S4_20,FixB_dtdt,1.7208,0.6748,0.728,0.9972,0.9716,0.0,13.0333
S5_0.1,legacy_lenient,2.115,0.0,0.096,1.0,0.8182,0.0,13.0
S5_0.1,FixA_strict,2.115,0.0,0.096,1.0,0.8182,0.0,13.0
S5_0.1,FixB_dtdt,2.115,0.0,0.096,1.0,0.8182,0.0,13.0
S5_0.3,legacy_lenient,3.1258,5.1942,1.3106,1.0,0.5216,0.0051,13.1
S5_0.3,FixA_strict,2.1067,0.4326,0.0946,1.0,0.5216,0.0,13.0
S5_0.3,FixB_dtdt,2.1742,0.2171,0.0946,1.0,0.5216,0.0,13.0333
S6_n9,legacy_lenient,4.324,0.0,34.549,1.0,0.9383,0.0,6.0
S6_n9,FixA_strict,4.324,0.0,34.549,1.0,0.9383,0.0,6.0
S6_n9,FixB_dtdt,4.324,0.0,34.549,1.0,0.9383,0.0,6.0
S6_n12,legacy_lenient,2.868,0.0,0.558,1.0,0.917,0.0,9.0
S6_n12,FixA_strict,2.868,0.0,0.558,1.0,0.917,0.0,9.0
S6_n12,FixB_dtdt,2.868,0.0,0.558,1.0,0.917,0.0,9.0
S7_worst,legacy_lenient,4.4256,3.8951,25.9747,0.9846,0.825,0.0,12.7333
S7_worst,FixA_strict,4.4256,3.8951,25.9747,0.9846,0.825,0.0,12.7333
S7_worst,FixB_dtdt,4.4256,3.8951,25.9747,0.9846,0.825,0.0,12.7333
S8_300,legacy_lenient,2.1327,0.9532,2.8089,1.0,0.9697,0.0,13.0
S8_300,FixA_strict,2.1327,0.9532,2.8089,1.0,0.9697,0.0,13.0
S8_300,FixB_dtdt,2.1327,0.9532,2.8089,1.0,0.9697,0.0,13.0
S9_0.5,legacy_lenient,2.2989,1.2785,3.6572,1.0,0.9697,0.0,13.0
S9_0.5,FixA_strict,2.2989,1.2785,3.6572,1.0,0.9697,0.0,13.0
S9_0.5,FixB_dtdt,2.2989,1.2785,3.6572,1.0,0.9697,0.0,13.0
S10_2,legacy_lenient,8.9606,23.3081,16.8862,1.0,0.9629,0.0,12.8667
S10_2,FixA_strict,8.9606,23.3081,16.8862,1.0,0.9629,0.0,12.8667
S10_2,FixB_dtdt,8.9606,23.3081,16.8862,1.0,0.9629,0.0,12.8667
