speed_true,variant,dir_err_base,speed_err_base,confirmed_base,coverage_base,fp_base,dir_err_inj4,cool_n,cool_pass,cool_pass_rate,slope_mean,slope_std,slope_below_thr_pct
0.4,before,,,14.0,0.0,0.0,47.1654,76,40,0.5263,3.394,0.035,100.0
0.4,FixA_strict,,,14.0,0.0,0.0,13.794,76,0,0.0,,,
0.4,FixB_dtdt,,,14.0,0.0,0.0,13.794,76,0,0.0,,,
0.6,before,16.612,45.352,14.0,0.5,0.0,37.2659,67,45,0.6716,4.888,0.08,100.0
0.6,FixA_strict,16.612,45.352,14.0,0.5,0.0,18.02,67,0,0.0,,,
0.6,FixB_dtdt,16.612,45.352,14.0,0.5,0.0,18.02,67,0,0.0,,,
0.8,before,4.527,0.176,14.0,0.9286,0.0,11.2878,57,41,0.7193,6.244,0.127,0.0
0.8,FixA_strict,4.527,0.176,14.0,0.9286,0.0,5.7506,57,0,0.0,,,
0.8,FixB_dtdt,4.527,0.176,14.0,0.9286,0.0,5.7506,57,0,0.0,,,
1.0,before,4.493,0.089,14.0,0.9286,0.0,13.4613,44,39,0.8864,7.643,0.199,0.0
1.0,FixA_strict,4.493,0.089,14.0,0.9286,0.0,5.0954,44,0,0.0,,,
1.0,FixB_dtdt,4.493,0.089,14.0,0.9286,0.0,5.0954,44,0,0.0,,,
1.5,before,2.115,0.096,13.0,1.0,0.0,6.506,26,23,0.8846,10.421,0.45,0.0
1.5,FixA_strict,2.115,0.096,13.0,1.0,0.0,2.3009,26,0,0.0,,,
1.5,FixB_dtdt,2.115,0.096,13.0,1.0,0.0,2.3009,26,0,0.0,,,
2.5,before,1.542,0.726,12.0,1.0,0.0,4.9537,12,11,0.9167,15.819,2.008,0.0
2.5,FixA_strict,1.542,0.726,12.0,1.0,0.0,1.7683,12,0,0.0,,,
2.5,FixB_dtdt,1.542,0.726,12.0,1.0,0.0,2.1747,12,0,0.0,,,
