variant,n_inject,dir_err_deg_mean,dir_err_deg_std,speed_err_pct_mean,disp_m_mean,coverage_mean,fp_rate_mean,confirmed_deaths_mean
before,1,6.589,9.815,6.1947,9.643,0.9974,0.0,13.0667
before,2,5.248,7.6494,11.092,10.1468,1.0,0.0,13.0667
before,4,6.5061,8.0791,19.7649,10.509,0.9947,0.0,12.9333
before,8,15.735,16.2408,31.8355,11.6325,0.9786,0.0,12.8
FixA_strict,1,2.1065,0.2562,0.0883,9.2744,1.0,0.0,12.7667
FixA_strict,2,2.072,0.3769,0.1468,9.2985,1.0,0.0,12.4667
FixA_strict,4,2.3008,0.5494,0.764,9.3239,0.9909,0.0,12.1
FixA_strict,8,2.6997,0.9684,2.0842,9.3447,0.9668,0.0,11.1333
FixB_dtdt,1,2.1065,0.2562,0.0883,9.2744,1.0,0.0,12.7667
FixB_dtdt,2,2.072,0.3769,0.1468,9.2985,1.0,0.0,12.4667
FixB_dtdt,4,2.3008,0.5494,0.764,9.3239,0.9909,0.0,12.1
FixB_dtdt,8,2.5191,1.1223,2.4381,9.3623,0.9676,0.0,11.2
