scenario,mean,std,median,p10,p90,absmean,n,bias_abs,bias_over_std,verdict
S1,-0.096,0.0,-0.096,-0.096,-0.096,0.096,30,0.096,,deterministic
S2a_5,7.755,5.343,7.225,1.008,15.391,7.761,30,7.755,1.451,bias-dominant(구조)
S2a_10,16.313,8.628,14.241,5.771,26.816,16.33,30,16.313,1.891,bias-dominant(구조)
S2a_20,29.801,17.208,30.24,6.502,51.294,29.924,30,29.801,1.732,bias-dominant(구조)
S2b_20,7.212,12.612,8.159,-12.274,22.057,12.185,30,7.212,0.572,variance-dominant(노이즈)
S2b_40,19.899,19.276,16.621,-0.432,49.835,21.788,30,19.899,1.032,bias-dominant(구조)
S4_20,0.69,1.41,0.267,0.009,1.106,0.728,30,0.69,0.489,variance-dominant(노이즈)
S4_40,1.919,4.447,0.353,-0.127,5.895,1.996,30,1.919,0.432,variance-dominant(노이즈)
S6_n9,34.549,0.0,34.549,34.549,34.549,34.549,30,34.549,,deterministic
S6_n12,0.558,0.0,0.558,0.558,0.558,0.558,30,0.558,,deterministic
S6_n25,0.089,0.0,0.089,0.089,0.089,0.089,30,0.089,,deterministic
S7_worst,24.99,16.579,26.874,5.689,43.385,25.975,30,24.99,1.507,bias-dominant(구조)
