scenario,v_true_std_pct,v_true_range_pct,obs_abs_err_pct,obs_std,floor_abs_err_pct,floor_std,floor_share_pct,floor_dir_err_deg
S1,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0
S2a_5,0.0,0.0,7.761,5.335,1.111,0.931,14.3,2.22
S2a_10,0.0,0.0,16.33,8.596,2.103,2.075,12.9,5.021
S2a_20,0.0,0.0,29.924,16.994,6.242,4.88,20.9,8.983
S2b_20,16.795,54.204,12.185,7.913,8.192,6.612,67.2,0.437
S2b_40,32.428,106.07,21.788,17.111,17.57,13.729,80.6,0.931
S4_20,0.0,0.0,0.728,1.391,0.0,0.0,0.0,0.0
S4_40,0.0,0.0,1.996,4.414,0.0,0.0,0.0,0.0
S6_n9,0.0,0.0,34.549,0.0,0.0,0.0,0.0,0.0
S6_n12,0.0,0.0,0.558,0.0,0.0,0.0,0.0,0.0
S6_n25,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0
S7_worst,16.774,54.179,25.975,14.989,9.171,5.784,35.3,5.136
