scenario,observed,no_death_time_noise,no_placement_jitter,both_removed,global_fit_only,floor
S1,0.096,0.0,N/A(무지터),0.0,8.636,0.0
S2a_5,7.761,1.519,N/A(무지터),1.519,8.723,1.111
S2a_10,16.33,4.122,N/A(무지터),4.122,8.927,2.103
S2a_20,29.924,13.615,N/A(무지터),13.615,14.304,6.242
S2b_20,12.185,9.613,N/A(무지터),9.613,14.794,8.192
S2b_40,21.788,20.351,N/A(무지터),20.351,25.156,17.57
S4_20,0.728,0.0,0.096,0.0,9.155,0.0
S4_40,1.996,0.0,0.096,0.0,10.452,0.0
S6_n9,34.549,0.0,N/A(무지터),0.0,32.572,0.0
S6_n12,0.558,0.0,N/A(무지터),0.0,15.249,0.0
S6_n25,0.089,0.0,N/A(무지터),0.0,3.738,0.0
S7_worst,25.975,14.609,22.292,12.364,15.3,9.171
