scenario,dist_m,n_samples,eta_true_mean_s,err_mean_s,err_std_s,err_median_s,err_p10_s,err_p90_s,abs_err_mean_s,dangerous_share_pct,safe_share_pct,dangerous_p90_s
S1,30.0,480,20.0,-10.081,5.154,-6.621,-18.793,-6.261,10.081,0.0,100.0,-6.261
S1,60.0,480,40.0,-13.974,10.5,-6.862,-31.329,-6.167,13.974,0.0,100.0,-6.167
S1,100.0,480,66.67,-19.172,17.629,-7.183,-48.042,-6.042,19.172,0.0,100.0,-6.042
S2a_5,30.0,480,19.99,-10.58,5.405,-8.805,-19.055,-5.347,10.588,0.2,99.8,-5.347
S2a_5,60.0,480,39.74,-14.562,11.116,-11.058,-31.691,-3.612,14.923,5.2,94.8,-3.612
S2a_5,100.0,480,66.75,-21.147,18.438,-14.983,-49.353,-2.676,22.209,8.1,91.9,-2.676
S2a_10,30.0,490,19.96,-12.17,5.619,-11.583,-19.882,-5.664,12.183,0.4,99.6,-5.664
S2a_10,60.0,490,39.19,-17.755,11.276,-16.193,-32.375,-4.849,17.998,3.1,96.9,-4.849
S2a_10,100.0,490,66.64,-26.949,18.772,-24.636,-51.998,-5.603,27.685,4.7,95.3,-5.603
S2a_20,30.0,512,19.59,-15.322,6.245,-15.419,-23.017,-7.982,15.422,1.2,98.8,-7.982
S2a_20,60.0,512,37.78,-23.444,12.529,-22.886,-40.309,-7.908,23.918,4.1,95.9,-7.908
S2a_20,100.0,512,60.63,-32.782,21.13,-32.988,-60.577,-5.488,34.377,5.3,94.7,-5.488
S2b_20,30.0,452,20.08,-9.695,5.943,-8.706,-17.991,-1.787,9.765,4.0,96.0,-1.787
S2b_20,60.0,452,40.61,-13.637,12.62,-12.676,-31.137,4.001,15.601,16.4,83.6,4.001
S2b_20,100.0,452,66.82,-17.741,20.674,-16.303,-48.685,11.029,22.288,20.1,79.9,11.029
S2b_40,30.0,434,20.23,-9.772,8.824,-10.407,-19.58,1.613,11.645,14.1,85.9,1.613
S2b_40,60.0,434,40.83,-13.496,18.676,-16.988,-33.763,14.347,20.335,16.4,83.6,14.347
S2b_40,100.0,434,66.72,-16.833,29.82,-22.678,-48.877,28.203,29.342,18.9,81.1,28.203
S4_20,30.0,472,20.0,-10.38,14.166,-6.554,-18.254,-6.254,10.474,0.4,99.6,-6.254
S4_20,60.0,472,40.0,-14.444,27.027,-6.691,-30.707,-6.135,14.64,0.4,99.6,-6.135
S4_20,100.0,472,66.67,-19.718,44.157,-6.872,-47.069,-5.947,20.049,0.4,99.6,-5.947
S4_40,30.0,478,20.0,-11.179,10.241,-6.568,-18.297,-6.238,11.179,0.0,100.0,-6.238
S4_40,60.0,478,40.0,-15.237,19.646,-6.691,-30.47,-6.078,15.237,0.0,100.0,-6.078
S4_40,100.0,478,66.67,-20.685,32.32,-6.858,-47.119,-5.875,20.698,0.4,99.6,-5.875
S6_n9,30.0,210,20.0,-14.782,4.625,-17.54,-19.42,-6.191,14.782,0.0,100.0,-6.191
S6_n9,60.0,210,40.0,-23.638,9.264,-30.075,-31.955,-6.022,23.638,0.0,100.0,-6.022
S6_n9,100.0,210,66.67,-35.447,15.465,-46.789,-48.669,-5.797,35.447,0.0,100.0,-5.797
S6_n12,30.0,390,20.0,-10.958,5.346,-6.639,-18.793,-6.304,10.958,0.0,100.0,-6.304
S6_n12,60.0,390,40.0,-15.771,10.883,-6.88,-31.329,-6.286,15.771,0.0,100.0,-6.286
S6_n12,100.0,390,66.67,-22.198,18.266,-7.201,-48.042,-6.26,22.198,0.0,100.0,-6.26
S6_n25,30.0,750,20.0,-8.757,4.486,-6.496,-18.167,-6.266,8.757,0.0,100.0,-6.266
S6_n25,60.0,750,40.0,-11.255,9.15,-6.382,-30.702,-6.172,11.255,0.0,100.0,-6.172
S6_n25,100.0,750,66.67,-14.591,15.373,-6.357,-47.415,-6.047,14.591,0.0,100.0,-6.047
S7_worst,30.0,471,20.02,-12.306,9.865,-11.996,-20.22,-4.311,13.07,4.0,96.0,-4.311
S7_worst,60.0,471,40.01,-18.857,19.147,-18.195,-36.923,-1.747,21.291,8.3,91.7,-1.747
S7_worst,100.0,471,66.96,-27.777,31.026,-27.615,-53.1,1.495,32.224,10.2,89.8,1.495
