scenario,floor_reported_step1,floor_defn_corrected,floor_canonical_vs_bar,F_definition,F_metric,F_spatial,err_const_vs_inst,F_temporal_ramp,F_sampling_physics,F_residual_observable,obs_local_vs_bar,floor_share_same_estimator_pct,F_globalchoice,F_sampling_pct_fixedcut,quad_probe_vs_bar,cadence_s,cadence_lo_s,cadence_hi_s,w_cut_lo,w_cut_hi,unobservable_var_share_SIGNAL,F_sampling_eta_30m_s,F_sampling_eta_60m_s,F_sampling_eta_100m_s
S1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.096,0.0,-0.0,0.0,0.0,6.667,,,,,0.226,,,
S2a_5,1.111,1.107,1.107,-0.004,0.0,1.107,,,,,7.761,14.3,0.004,0.0,1.721,6.667,,,,,0.226,,,
S2a_10,2.103,3.872,3.872,1.769,0.0,3.872,,,,,16.33,23.7,-1.769,0.0,2.708,6.667,,,,,0.226,,,
S2a_20,6.242,11.692,11.692,5.45,0.0,11.692,,,,,29.924,39.1,-5.451,0.0,7.158,6.667,,,,,0.226,,,
S2b_20,8.192,9.548,4.585,1.356,4.963,0.0,15.462,2.649,6.618,6.195,9.045,50.7,-1.772,6.643,2.906,6.552,5.166,9.191,0.353,0.61,0.21,1.32,2.65,4.41
S2b_40,17.57,19.538,12.794,1.968,6.744,0.0,38.713,6.619,23.711,8.383,16.73,76.5,-7.158,14.769,5.979,6.465,4.189,18.005,0.254,0.756,0.196,4.74,9.48,15.81
S4_20,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.728,0.0,-0.0,0.0,0.0,6.667,,,,,0.226,,,
S6_n9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,34.549,0.0,-0.0,0.0,0.0,6.667,,,,,0.226,,,
S6_n25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.089,0.0,-0.0,0.0,0.0,6.667,,,,,0.226,,,
S7_worst,9.171,12.99,8.247,3.819,4.743,3.872,15.827,1.476,6.523,7.828,22.63,36.4,-4.368,6.581,4.391,6.547,5.156,9.168,0.354,0.611,0.21,1.3,2.61,4.35
