scenario,dist_m,n,base_mean_s,A_mean_s,base_abs_s,A_abs_s,base_std_s,A_std_s,base_danger_pct,A_danger_pct
S1,30.0,480,-10.08,-9.76,10.08,9.76,5.15,5.12,0.0,0.0
S1,60.0,480,-13.97,-13.3,13.97,13.3,10.5,10.41,0.0,0.0
S1,100.0,480,-19.17,-18.04,19.17,18.04,17.63,17.46,0.0,0.0
S2a_5,30.0,480,-10.58,-10.26,10.59,10.26,5.4,5.45,0.2,0.2
S2a_5,60.0,480,-14.56,-13.95,14.92,14.31,11.12,11.13,5.2,5.2
S2a_5,100.0,480,-21.15,-20.09,22.21,21.16,18.44,18.48,8.1,8.1
S2a_10,30.0,490,-12.17,-11.82,12.18,11.88,5.62,5.83,0.4,1.4
S2a_10,60.0,490,-17.76,-17.15,18.0,17.51,11.28,11.59,3.1,3.7
S2a_10,100.0,490,-26.95,-26.02,27.69,26.86,18.77,19.12,4.7,5.7
S2a_20,30.0,512,-15.32,-15.07,15.42,15.15,6.25,6.37,1.2,1.4
S2a_20,60.0,512,-23.44,-23.05,23.92,23.58,12.53,12.75,4.1,4.1
S2a_20,100.0,512,-32.78,-32.27,34.38,33.94,21.13,21.36,5.3,6.1
S2b_20,30.0,452,-9.69,-9.4,9.76,9.47,5.94,5.86,4.0,4.2
S2b_20,60.0,452,-13.64,-13.02,15.6,14.98,12.62,12.4,16.4,16.4
S2b_20,100.0,452,-17.74,-16.69,22.29,21.23,20.67,20.27,20.1,20.1
S2b_40,30.0,434,-9.77,-9.56,11.65,11.44,8.82,8.75,14.1,14.5
S2b_40,60.0,434,-13.5,-13.03,20.34,19.91,18.68,18.51,16.4,18.0
S2b_40,100.0,434,-16.83,-16.03,29.34,28.54,29.82,29.5,18.9,19.1
S4_20,30.0,472,-10.38,-10.02,10.47,10.11,14.17,14.16,0.4,0.4
S4_20,60.0,472,-14.44,-13.71,14.64,13.9,27.03,27.0,0.4,0.4
S4_20,100.0,472,-19.72,-18.5,20.05,18.83,44.16,44.11,0.4,0.4
S4_40,30.0,478,-11.18,-10.91,11.18,10.91,10.24,10.25,0.0,0.0
S4_40,60.0,478,-15.24,-14.74,15.24,14.74,19.65,19.64,0.0,0.0
S4_40,100.0,478,-20.69,-19.92,20.7,19.93,32.32,32.29,0.4,0.4
S6_n9,30.0,210,-14.78,-14.05,14.78,14.05,4.63,5.22,0.0,0.0
S6_n9,60.0,210,-23.64,-22.11,23.64,22.11,9.26,10.48,0.0,0.0
S6_n9,100.0,210,-35.45,-32.85,35.45,32.85,15.47,17.51,0.0,0.0
S6_n12,30.0,390,-10.96,-10.57,10.96,10.57,5.35,5.37,0.0,0.0
S6_n12,60.0,390,-15.77,-14.95,15.77,14.95,10.88,10.91,0.0,0.0
S6_n12,100.0,390,-22.2,-20.8,22.2,20.8,18.27,18.29,0.0,0.0
S6_n25,30.0,750,-8.76,-8.55,8.76,8.55,4.49,4.4,0.0,0.0
S6_n25,60.0,750,-11.26,-10.83,11.26,10.83,9.15,8.96,0.0,0.0
S6_n25,100.0,750,-14.59,-13.86,14.59,13.86,15.37,15.04,0.0,0.0
S7_worst,30.0,471,-12.31,-11.94,13.07,12.7,9.87,9.97,4.0,4.2
S7_worst,60.0,471,-18.86,-18.33,21.29,20.83,19.15,19.24,8.3,9.1
S7_worst,100.0,471,-27.78,-26.92,32.22,31.45,31.03,31.15,10.2,11.0
