scenario,dist_m,n,eta_true_mean_s,E1_cov_pct,E1_breach_early_pct,E1_breach_late_pct,E1_early_s,E1_late_s,E1_width_s,E2_cov_pct,E2_breach_early_pct,E2_breach_late_pct,E2_early_s,E2_late_s,E2_width_s,E3_cov_pct,E3_breach_early_pct,E3_breach_late_pct,E3_early_s,E3_late_s,E3_width_s
S1,30.0,480,20.0,0.0,0.0,100.0,6.5,10.8,4.3,0.0,0.0,100.0,6.5,10.8,4.3,100.0,0.0,0.0,12.9,30.3,17.4
S1,60.0,480,40.0,0.0,0.0,100.0,18.9,28.0,9.1,0.0,0.0,100.0,18.9,28.0,9.1,100.0,0.0,0.0,25.2,59.9,34.7
S1,100.0,480,66.7,0.0,0.0,100.0,35.3,50.8,15.5,0.0,0.0,100.0,35.3,50.8,15.5,100.0,0.0,0.0,41.7,99.5,57.8
S2a_5,30.0,474,20.0,2.1,0.0,97.9,6.4,11.7,5.3,2.1,0.0,97.9,6.4,11.7,5.3,99.2,0.0,0.8,12.7,31.2,18.4
S2a_5,60.0,474,39.7,13.9,0.0,86.1,18.7,29.9,11.2,13.9,0.0,86.1,18.7,29.9,11.3,98.7,0.0,1.3,25.0,61.9,36.9
S2a_5,100.0,474,66.8,22.8,0.0,77.2,35.0,54.1,19.1,22.8,0.0,77.2,34.9,54.2,19.2,96.0,0.0,4.0,41.2,102.8,61.6
S2a_10,30.0,476,20.0,1.5,0.0,98.5,5.3,10.5,5.3,1.5,0.0,98.5,5.2,10.6,5.4,94.1,0.0,5.9,11.5,30.0,18.5
S2a_10,60.0,476,39.2,13.2,0.0,86.8,16.4,27.5,11.1,13.2,0.0,86.8,16.3,27.6,11.3,94.5,0.0,5.5,22.6,59.5,36.9
S2a_10,100.0,476,66.6,16.8,0.0,83.2,31.4,50.3,18.9,16.8,0.0,83.2,31.1,50.4,19.3,91.4,0.0,8.6,37.4,99.1,61.6
S2a_20,30.0,494,19.6,1.6,0.0,98.4,2.0,7.4,5.4,1.6,0.0,98.4,1.8,7.5,5.7,85.0,1.0,14.0,8.1,26.9,18.8
S2a_20,60.0,494,37.8,8.1,0.2,91.7,10.2,21.4,11.2,8.1,0.2,91.7,9.8,21.7,11.8,87.4,0.8,11.7,16.2,53.6,37.4
S2a_20,100.0,494,60.7,13.6,0.6,85.8,21.2,40.0,18.8,13.6,0.6,85.8,20.6,40.4,19.8,89.1,2.0,8.9,26.9,89.1,62.2
S2b_20,30.0,452,20.1,7.1,0.0,92.9,6.0,11.6,5.6,7.7,0.0,92.3,5.9,11.7,5.9,95.4,0.2,4.4,12.2,31.2,19.0
S2b_20,60.0,452,40.6,18.6,0.0,81.4,17.8,29.6,11.8,18.6,0.0,81.4,17.4,29.8,12.4,94.0,0.0,6.0,23.7,61.8,38.0
S2b_20,100.0,452,66.8,25.4,0.0,74.6,33.4,53.5,20.1,25.4,0.0,74.6,32.7,53.9,21.2,96.9,0.0,3.1,39.0,102.6,63.5
S2b_40,30.0,434,20.2,18.2,0.0,81.8,5.5,12.3,6.8,19.8,0.0,80.2,4.7,13.5,8.7,88.9,5.1,6.0,11.1,32.9,21.8
S2b_40,60.0,434,40.8,22.6,2.1,75.3,16.8,31.1,14.3,25.8,2.1,72.1,15.2,33.6,18.4,86.9,4.6,8.5,21.5,65.5,44.0
S2b_40,100.0,434,66.7,24.9,0.9,74.2,31.8,56.2,24.4,34.3,0.9,64.7,29.1,60.4,31.3,93.1,1.4,5.5,35.4,109.1,73.7
S4_40,30.0,453,20.0,2.0,0.0,98.0,6.2,11.5,5.3,2.0,0.0,98.0,6.2,11.5,5.3,98.9,0.0,1.1,12.5,31.0,18.4
S4_40,60.0,453,40.0,2.0,0.0,98.0,18.4,29.5,11.2,2.0,0.0,98.0,18.4,29.5,11.2,98.5,0.0,1.5,24.7,61.5,36.8
S4_40,100.0,455,66.7,2.0,0.0,98.0,34.3,53.2,18.9,2.0,0.0,98.0,34.3,53.2,18.9,98.0,0.0,2.0,40.6,101.8,61.2
S6_n9,30.0,210,20.0,0.0,0.0,100.0,4.4,7.2,2.8,0.0,0.0,100.0,4.4,7.2,2.8,100.0,0.0,0.0,10.8,26.6,15.9
S6_n9,60.0,210,40.0,0.0,0.0,100.0,14.7,20.6,5.9,0.0,0.0,100.0,14.7,20.6,5.9,100.0,0.0,0.0,21.0,52.6,31.6
S6_n9,100.0,210,66.7,0.0,0.0,100.0,28.3,38.4,10.2,0.0,0.0,100.0,28.3,38.4,10.2,100.0,0.0,0.0,34.6,87.1,52.5
S6_n12,30.0,390,20.0,0.0,0.0,100.0,6.1,10.2,4.1,0.0,0.0,100.0,6.1,10.2,4.1,100.0,0.0,0.0,12.5,29.6,17.1
S6_n12,60.0,390,40.0,0.0,0.0,100.0,18.1,26.6,8.5,0.0,0.0,100.0,18.1,26.6,8.5,100.0,0.0,0.0,24.5,58.6,34.1
S6_n12,100.0,390,66.7,0.0,0.0,100.0,34.1,48.6,14.5,0.0,0.0,100.0,34.1,48.6,14.5,100.0,0.0,0.0,40.4,97.3,56.9
S6_n25,30.0,750,20.0,0.0,0.0,100.0,7.2,11.9,4.7,0.0,0.0,100.0,7.2,11.9,4.7,100.0,0.0,0.0,13.5,31.3,17.8
S6_n25,60.0,750,40.0,0.0,0.0,100.0,20.1,30.1,10.0,0.0,0.0,100.0,20.1,30.1,10.0,100.0,0.0,0.0,26.5,62.1,35.6
