dist_m,n,eta_true_mean_s,E3_cov_pct,E3_breach_early_pct,E3_breach_late_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_breach_late_pct,E3x_width_s,scenario,noise
30.0,476,20.0,94.1,0.0,5.9,18.5,100.0,0.0,0.0,31.3,S2a_10,clock_0ms
60.0,476,39.2,94.5,0.0,5.5,36.9,100.0,0.0,0.0,56.1,S2a_10,clock_0ms
100.0,476,66.6,91.4,0.0,8.6,61.6,100.0,0.0,0.0,89.1,S2a_10,clock_0ms
30.0,476,20.0,94.1,0.0,5.9,18.4,100.0,0.0,0.0,31.3,S2a_10,clock_100ms
60.0,476,39.2,94.1,0.0,5.9,36.8,100.0,0.0,0.0,55.9,S2a_10,clock_100ms
100.0,476,66.6,90.8,0.0,9.2,61.4,100.0,0.0,0.0,88.9,S2a_10,clock_100ms
30.0,476,20.0,92.2,0.0,7.8,18.4,100.0,0.0,0.0,31.3,S2a_10,clock_300ms
60.0,476,39.2,92.9,0.0,7.1,36.9,100.0,0.0,0.0,56.1,S2a_10,clock_300ms
100.0,476,66.6,89.7,0.0,10.3,61.6,100.0,0.0,0.0,89.1,S2a_10,clock_300ms
30.0,472,20.0,91.1,0.0,8.9,18.6,100.0,0.0,0.0,31.4,S2a_10,temp_0.5s
60.0,472,39.2,91.5,0.0,8.5,37.1,100.0,0.0,0.0,56.2,S2a_10,temp_0.5s
100.0,472,66.6,90.9,0.0,9.1,61.9,100.0,0.0,0.0,89.4,S2a_10,temp_0.5s
30.0,494,19.6,85.0,1.0,14.0,18.8,99.6,0.2,0.2,31.7,S2a_20,clock_0ms
60.0,494,37.8,87.4,0.8,11.7,37.4,99.4,0.6,0.0,56.6,S2a_20,clock_0ms
100.0,494,60.7,89.1,2.0,8.9,62.2,99.0,1.0,0.0,89.7,S2a_20,clock_0ms
30.0,493,19.6,83.6,1.0,15.4,19.1,99.6,0.2,0.2,32.0,S2a_20,clock_100ms
60.0,489,37.7,86.3,1.0,12.7,38.3,99.4,0.6,0.0,57.4,S2a_20,clock_100ms
100.0,489,60.6,88.3,2.0,9.6,63.7,98.8,1.0,0.2,91.2,S2a_20,clock_100ms
30.0,493,19.6,82.4,1.0,16.6,19.2,99.6,0.2,0.2,32.0,S2a_20,clock_300ms
60.0,489,37.7,86.5,1.0,12.5,38.4,99.6,0.2,0.2,57.5,S2a_20,clock_300ms
100.0,489,60.6,86.9,2.7,10.4,63.9,98.0,1.4,0.6,91.3,S2a_20,clock_300ms
30.0,481,19.6,85.7,1.0,13.3,19.6,99.0,0.2,0.8,32.5,S2a_20,temp_0.5s
60.0,474,37.7,86.1,0.6,13.3,39.1,99.2,0.2,0.6,58.2,S2a_20,temp_0.5s
100.0,472,60.8,86.4,2.1,11.4,65.1,97.7,1.3,1.1,92.6,S2a_20,temp_0.5s
