dist_m,n,eta_true_mean_s,E3_cov_pct,E3_breach_early_pct,E3_breach_late_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_breach_late_pct,E3x_width_s,scenario,warm_mult,warm_scale_m
30.0,477,19.9,63.9,36.1,0.0,19.5,96.4,3.6,0.0,32.4,S2a_10,0.5,3.0
60.0,477,39.1,77.4,22.4,0.2,38.0,95.4,4.6,0.0,57.1,S2a_10,0.5,3.0
100.0,477,66.8,89.5,10.5,0.0,62.7,97.7,2.3,0.0,90.2,S2a_10,0.5,3.0
30.0,485,19.9,98.6,1.4,0.0,19.0,100.0,0.0,0.0,31.9,S2a_10,0.7,4.2
60.0,485,39.2,99.4,0.6,0.0,37.4,100.0,0.0,0.0,56.5,S2a_10,0.7,4.2
100.0,485,66.7,100.0,0.0,0.0,62.0,100.0,0.0,0.0,89.5,S2a_10,0.7,4.2
30.0,478,19.9,99.6,0.4,0.0,18.5,100.0,0.0,0.0,31.4,S2a_10,0.8,4.8
60.0,478,39.2,100.0,0.0,0.0,36.7,100.0,0.0,0.0,55.8,S2a_10,0.8,4.8
100.0,478,66.7,100.0,0.0,0.0,60.9,100.0,0.0,0.0,88.4,S2a_10,0.8,4.8
30.0,476,20.0,94.1,0.0,5.9,18.5,100.0,0.0,0.0,31.3,S2a_10,1.0,6.0
60.0,476,39.2,94.5,0.0,5.5,36.9,100.0,0.0,0.0,56.1,S2a_10,1.0,6.0
100.0,476,66.6,91.4,0.0,8.6,61.6,100.0,0.0,0.0,89.1,S2a_10,1.0,6.0
30.0,475,20.0,78.9,0.0,21.1,18.7,100.0,0.0,0.0,31.6,S2a_10,1.2,7.2
60.0,475,39.2,78.7,0.0,21.3,38.0,100.0,0.0,0.0,57.1,S2a_10,1.2,7.2
100.0,475,66.6,78.5,0.0,21.5,63.7,100.0,0.0,0.0,91.2,S2a_10,1.2,7.2
30.0,453,20.0,81.2,0.0,18.8,19.3,100.0,0.0,0.0,32.1,S2a_10,1.3,7.8
60.0,453,39.2,81.2,0.0,18.8,39.4,100.0,0.0,0.0,58.6,S2a_10,1.3,7.8
100.0,453,66.6,81.2,0.0,18.8,66.4,100.0,0.0,0.0,93.9,S2a_10,1.3,7.8
30.0,383,20.0,91.1,0.0,8.9,20.9,100.0,0.0,0.0,33.8,S2a_10,1.5,9.0
60.0,383,39.3,93.7,0.0,6.3,43.8,100.0,0.0,0.0,62.9,S2a_10,1.5,9.0
100.0,383,66.7,91.9,0.0,8.1,74.4,100.0,0.0,0.0,101.9,S2a_10,1.5,9.0
30.0,511,19.3,85.3,12.9,1.8,22.3,93.7,6.1,0.2,35.2,S2a_20,0.5,3.0
60.0,511,37.2,90.0,9.0,1.0,43.1,94.7,5.3,0.0,62.3,S2a_20,0.5,3.0
100.0,511,60.0,87.1,11.9,1.0,70.8,92.2,7.8,0.0,98.3,S2a_20,0.5,3.0
30.0,503,19.4,94.6,3.0,2.4,20.1,98.8,1.2,0.0,33.0,S2a_20,0.7,4.2
60.0,503,37.4,95.2,3.0,1.8,39.5,97.8,2.2,0.0,58.6,S2a_20,0.7,4.2
100.0,503,60.1,92.0,6.8,1.2,65.3,95.6,4.4,0.0,92.8,S2a_20,0.7,4.2
30.0,505,19.5,95.0,1.6,3.4,19.8,98.8,1.2,0.0,32.7,S2a_20,0.8,4.8
60.0,505,37.5,95.4,1.8,2.8,39.1,98.8,1.2,0.0,58.3,S2a_20,0.8,4.8
100.0,505,60.4,94.5,4.6,1.0,64.8,97.0,3.0,0.0,92.3,S2a_20,0.8,4.8
30.0,494,19.6,85.0,1.0,14.0,18.8,99.6,0.2,0.2,31.7,S2a_20,1.0,6.0
60.0,494,37.8,87.4,0.8,11.7,37.4,99.4,0.6,0.0,56.6,S2a_20,1.0,6.0
100.0,494,60.7,89.1,2.0,8.9,62.2,99.0,1.0,0.0,89.7,S2a_20,1.0,6.0
30.0,495,19.7,73.7,0.0,26.3,18.5,100.0,0.0,0.0,31.4,S2a_20,1.2,7.2
60.0,495,38.0,75.8,0.0,24.2,37.4,100.0,0.0,0.0,56.5,S2a_20,1.2,7.2
100.0,495,61.0,80.6,0.6,18.8,62.4,99.8,0.0,0.2,89.9,S2a_20,1.2,7.2
30.0,464,19.7,72.0,0.0,28.0,18.8,99.6,0.0,0.4,31.7,S2a_20,1.3,7.8
60.0,465,38.2,71.0,0.0,29.0,38.1,99.4,0.0,0.6,57.3,S2a_20,1.3,7.8
100.0,463,61.2,75.8,0.0,24.2,63.6,97.8,0.0,2.2,91.1,S2a_20,1.3,7.8
