dir_mean,dir_std,speed_mean,speed_std,lead_mean,lead_std,scenario,tau_s,mode
4.757,3.535,16.313,8.628,-6.425,2.2,S2a_10,0.0,uniform
4.357,3.442,14.657,7.482,-4.84,2.018,S2a_10,2.0,uniform
4.311,3.39,13.852,7.36,-4.871,2.023,S2a_10,2.0,variable
4.459,3.124,11.399,6.435,-3.174,1.798,S2a_10,5.0,uniform
4.45,3.218,10.898,6.722,-3.246,1.836,S2a_10,5.0,variable
4.396,3.258,8.884,4.469,-1.425,1.512,S2a_10,10.0,uniform
4.309,3.436,8.311,6.516,-1.503,1.595,S2a_10,10.0,variable
10.581,8.733,29.801,17.208,-7.095,3.909,S2a_20,0.0,uniform
13.287,19.163,24.092,14.25,-5.237,3.572,S2a_20,2.0,uniform
20.344,30.221,23.928,13.419,-5.233,3.532,S2a_20,2.0,variable
26.393,37.403,19.783,13.662,-3.473,3.288,S2a_20,5.0,uniform
21.002,29.235,21.353,15.543,-3.498,3.284,S2a_20,5.0,variable
16.767,24.689,15.266,10.025,-1.579,2.803,S2a_20,10.0,uniform
16.849,25.024,15.226,12.246,-1.637,2.819,S2a_20,10.0,variable
1.633,1.021,1.919,4.447,-6.092,0.87,S4_40,0.0,uniform
0.844,0.48,3.382,4.119,-4.553,0.719,S4_40,2.0,uniform
1.159,0.817,5.0,3.997,-4.58,0.743,S4_40,2.0,variable
0.44,0.272,3.451,3.055,-2.941,0.566,S4_40,5.0,uniform
1.282,0.943,6.089,4.349,-2.993,0.67,S4_40,5.0,variable
0.288,0.156,2.75,1.882,-1.219,0.404,S4_40,10.0,uniform
1.427,1.065,6.14,4.767,-1.285,0.635,S4_40,10.0,variable
4.324,0.0,34.549,0.0,-5.871,1.135,S6_n9,0.0,uniform
2.121,0.0,29.472,0.0,-4.288,0.906,S6_n9,2.0,uniform
2.009,1.209,27.11,5.491,-4.369,0.925,S6_n9,2.0,variable
1.171,0.0,21.043,0.0,-2.688,0.68,S6_n9,5.0,uniform
1.81,1.43,21.623,6.487,-2.818,0.802,S6_n9,5.0,variable
0.866,0.0,13.96,0.0,-1.021,0.473,S6_n9,10.0,uniform
1.975,1.368,15.86,7.505,-1.168,0.724,S6_n9,10.0,variable
4.426,3.895,21.876,13.682,-6.17,2.343,S7_worst,0.0,uniform
4.329,3.572,18.076,12.261,-4.619,2.192,S7_worst,2.0,uniform
4.311,3.59,17.595,13.077,-4.662,2.209,S7_worst,2.0,variable
4.368,3.338,14.106,10.07,-3.004,1.915,S7_worst,5.0,uniform
4.778,3.441,13.37,11.022,-3.082,1.972,S7_worst,5.0,variable
4.407,2.889,10.197,8.988,-1.26,1.538,S7_worst,10.0,uniform
4.384,3.212,11.143,10.293,-1.327,1.637,S7_worst,10.0,variable
