dist_m,n,E3_cov_pct,E3_breach_early_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_width_s,E3x2_cov_pct,E3x2_breach_early_pct,E3x2_width_s,scenario,tau_s,mode,warm_mult
30.0,476,94.1,0.0,18.5,100.0,0.0,31.3,100.0,0.0,34.5,S2a_10,0.0,uniform,1.0
60.0,476,94.5,0.0,36.9,100.0,0.0,56.1,100.0,0.0,59.2,S2a_10,0.0,uniform,1.0
100.0,476,91.4,0.0,61.6,100.0,0.0,89.1,100.0,0.0,92.3,S2a_10,0.0,uniform,1.0
30.0,473,100.0,0.0,18.2,100.0,0.0,31.1,100.0,0.0,34.3,S2a_10,2.0,uniform,1.0
60.0,473,100.0,0.0,36.0,100.0,0.0,55.2,100.0,0.0,58.3,S2a_10,2.0,uniform,1.0
100.0,473,100.0,0.0,59.8,100.0,0.0,87.3,100.0,0.0,90.4,S2a_10,2.0,uniform,1.0
30.0,475,100.0,0.0,18.3,100.0,0.0,31.2,100.0,0.0,34.4,S2a_10,2.0,variable,1.0
60.0,475,100.0,0.0,36.2,100.0,0.0,55.4,100.0,0.0,58.5,S2a_10,2.0,variable,1.0
100.0,475,100.0,0.0,60.2,100.0,0.0,87.6,100.0,0.0,90.8,S2a_10,2.0,variable,1.0
30.0,465,96.6,3.4,18.2,100.0,0.0,31.1,100.0,0.0,34.2,S2a_10,5.0,uniform,1.0
60.0,465,100.0,0.0,35.5,100.0,0.0,54.6,100.0,0.0,57.8,S2a_10,5.0,uniform,1.0
100.0,465,99.8,0.0,58.6,100.0,0.0,86.0,100.0,0.0,89.2,S2a_10,5.0,uniform,1.0
30.0,476,96.8,3.2,18.6,100.0,0.0,31.5,100.0,0.0,34.6,S2a_10,5.0,variable,1.0
60.0,476,99.4,0.4,36.3,100.0,0.0,55.4,100.0,0.0,58.6,S2a_10,5.0,variable,1.0
100.0,476,99.6,0.0,59.8,100.0,0.0,87.3,100.0,0.0,90.5,S2a_10,5.0,variable,1.0
30.0,466,63.1,36.5,18.2,99.1,0.9,31.1,100.0,0.0,34.2,S2a_10,10.0,uniform,1.0
60.0,466,95.3,4.5,35.1,100.0,0.0,54.3,100.0,0.0,57.4,S2a_10,10.0,uniform,1.0
100.0,466,99.8,0.0,57.7,100.0,0.0,85.2,100.0,0.0,88.4,S2a_10,10.0,uniform,1.0
30.0,474,71.5,27.8,19.1,97.7,2.3,32.0,100.0,0.0,35.1,S2a_10,10.0,variable,1.0
60.0,474,93.0,6.5,36.7,99.2,0.8,55.9,100.0,0.0,59.1,S2a_10,10.0,variable,1.0
100.0,474,98.9,0.8,60.3,99.4,0.6,87.8,100.0,0.0,91.0,S2a_10,10.0,variable,1.0
30.0,478,21.8,78.2,19.3,57.5,42.5,32.1,98.3,1.7,35.3,S2a_10,10.0,uniform,0.5
60.0,478,49.2,50.6,36.7,76.6,23.4,55.9,97.3,2.7,59.0,S2a_10,10.0,uniform,0.5
100.0,478,78.9,21.1,60.0,92.9,7.1,87.5,99.4,0.6,90.7,S2a_10,10.0,uniform,0.5
30.0,480,31.0,69.0,20.2,65.6,34.4,33.0,96.0,4.0,36.2,S2a_10,10.0,variable,0.5
60.0,480,57.1,42.7,38.3,78.8,21.2,57.4,97.1,2.9,60.6,S2a_10,10.0,variable,0.5
100.0,480,82.9,17.1,62.7,91.7,8.3,90.1,97.3,2.7,93.3,S2a_10,10.0,variable,0.5
30.0,494,85.0,1.0,18.8,99.6,0.2,31.7,99.8,0.0,34.8,S2a_20,0.0,uniform,1.0
60.0,494,87.4,0.8,37.4,99.4,0.6,56.6,99.8,0.2,59.7,S2a_20,0.0,uniform,1.0
100.0,494,89.1,2.0,62.2,99.0,1.0,89.7,99.4,0.6,92.8,S2a_20,0.0,uniform,1.0
30.0,482,96.9,1.9,19.6,98.8,1.2,32.5,100.0,0.0,35.6,S2a_20,2.0,uniform,1.0
60.0,477,96.4,1.5,38.5,99.4,0.6,57.7,99.4,0.6,60.8,S2a_20,2.0,uniform,1.0
100.0,477,93.7,5.2,63.8,96.6,3.4,91.3,98.7,1.3,94.4,S2a_20,2.0,uniform,1.0
