scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S2a_10,0.0,0.0,1.0,0.0,30.0,476,4.757,100.0,0.0,31.3,100.0,0.0,34.5
S2a_10,0.0,0.0,1.0,0.0,60.0,476,4.757,100.0,0.0,56.1,100.0,0.0,59.2
S2a_10,0.0,0.0,1.0,0.0,100.0,476,4.757,100.0,0.0,89.1,100.0,0.0,92.3
S2a_10,5.0,0.0,1.0,0.0,30.0,465,4.459,100.0,0.0,31.1,100.0,0.0,34.2
S2a_10,5.0,0.0,1.0,0.0,60.0,465,4.459,100.0,0.0,54.6,100.0,0.0,57.8
S2a_10,5.0,0.0,1.0,0.0,100.0,465,4.459,100.0,0.0,86.0,100.0,0.0,89.2
S2a_10,5.0,0.0,1.0,0.5,30.0,465,4.791,100.0,0.0,32.0,100.0,0.0,35.2
S2a_10,5.0,0.0,1.0,0.5,60.0,465,4.791,100.0,0.0,56.5,100.0,0.0,59.7
S2a_10,5.0,0.0,1.0,0.5,100.0,465,4.791,100.0,0.0,89.2,100.0,0.0,92.4
S2a_10,5.0,0.0,1.0,0.8,30.0,465,4.822,100.0,0.0,33.1,100.0,0.0,36.3
S2a_10,5.0,0.0,1.0,0.8,60.0,465,4.822,100.0,0.0,58.7,100.0,0.0,61.8
S2a_10,5.0,0.0,1.0,0.8,100.0,465,4.822,100.0,0.0,92.8,100.0,0.0,95.9
S2a_10,5.0,0.0,1.0,1.0,30.0,465,4.774,99.6,0.0,33.7,99.6,0.0,36.9
S2a_10,5.0,0.0,1.0,1.0,60.0,465,4.774,99.6,0.0,59.8,99.6,0.0,63.0
S2a_10,5.0,0.0,1.0,1.0,100.0,465,4.774,99.1,0.0,94.7,99.1,0.0,97.8
S2a_10,5.0,0.0,1.0,1.5,30.0,416,5.184,98.3,0.0,35.8,98.3,0.0,38.9
