scenario,L_mult,geo_signed,geo_abs,C_signed,C_abs,C_std,n_nodes
S1,0.5,-0.096,0.096,-49.478,49.478,0.0,12.0
S1,0.7,-0.096,0.096,-29.269,29.269,0.0,12.0
S1,0.8,-0.096,0.096,-19.164,19.164,0.0,12.0
S1,1.0,-0.096,0.096,1.045,1.045,0.0,12.0
S1,1.2,-0.096,0.096,21.254,21.254,0.0,12.0
S1,1.3,-0.096,0.096,31.358,31.358,0.0,12.0
S1,1.5,-0.096,0.096,51.567,51.567,0.0,12.0
S2a_10,0.5,16.313,16.33,-47.218,47.218,2.865,11.8
S2a_10,0.7,16.313,16.33,-26.105,26.105,4.011,11.8
S2a_10,0.8,16.313,16.33,-15.549,15.549,4.583,11.8
S2a_10,1.0,16.313,16.33,5.564,6.534,5.729,11.8
S2a_10,1.2,16.313,16.33,26.677,26.677,6.875,11.8
S2a_10,1.3,16.313,16.33,37.234,37.234,7.448,11.8
S2a_10,1.5,16.313,16.33,58.346,58.346,8.594,11.8
S2a_20,0.5,29.801,29.924,-34.477,35.317,15.208,11.4
S2a_20,0.7,29.801,29.924,-8.268,20.055,21.292,11.4
S2a_20,0.8,29.801,29.924,4.836,18.459,24.334,11.4
S2a_20,1.0,29.801,29.924,31.045,31.111,30.417,11.4
S2a_20,1.2,29.801,29.924,57.255,57.255,36.5,11.4
S2a_20,1.3,29.801,29.924,70.359,70.359,39.542,11.4
S2a_20,1.5,29.801,29.924,96.568,96.568,45.625,11.4
S6_n9,0.5,34.549,34.549,-49.478,49.478,0.0,5.0
S6_n9,0.7,34.549,34.549,-29.269,29.269,0.0,5.0
S6_n9,0.8,34.549,34.549,-19.164,19.164,0.0,5.0
S6_n9,1.0,34.549,34.549,1.045,1.045,0.0,5.0
S6_n9,1.2,34.549,34.549,21.254,21.254,0.0,5.0
S6_n9,1.3,34.549,34.549,31.358,31.358,0.0,5.0
S6_n9,1.5,34.549,34.549,51.567,51.567,0.0,5.0
S7_worst,0.5,21.876,22.63,-45.344,45.344,7.523,11.8
S7_worst,0.7,21.876,22.63,-23.482,24.112,10.532,11.8
S7_worst,0.8,21.876,22.63,-12.551,14.624,12.037,11.8
S7_worst,1.0,21.876,22.63,9.312,13.328,15.046,11.8
S7_worst,1.2,21.876,22.63,31.174,31.174,18.055,11.8
S7_worst,1.3,21.876,22.63,42.105,42.105,19.56,11.8
S7_worst,1.5,21.876,22.63,63.968,63.968,22.569,11.8
