scenario,tau_s,mode,dir_deg,dir_std,speed_pct
S1,0.0,uniform,2.115,0.0,-0.096
S1,2.0,uniform,0.723,0.0,1.005
S1,2.0,variable,0.95,0.718,2.863
S1,5.0,uniform,0.416,0.0,2.17
S1,5.0,variable,1.115,0.911,5.511
S1,10.0,uniform,0.235,0.0,1.219
S1,10.0,variable,1.291,1.092,5.703
S2a_5,0.0,uniform,2.311,1.9,7.755
S2a_5,2.0,uniform,2.202,1.666,7.104
S2a_5,2.0,variable,2.195,1.577,8.348
S2a_5,5.0,uniform,2.226,1.583,6.475
S2a_5,5.0,variable,2.187,1.663,8.062
S2a_5,10.0,uniform,2.253,1.63,5.595
S2a_5,10.0,variable,2.21,1.809,6.977
