scenario,tau_s,resid_raw_abs,resid_rec_abs,dir_recon
S1,2.0,1.562,0.279,1.896
S1,5.0,3.185,0.276,1.936
S1,10.0,4.915,0.277,1.99
S2a_5,2.0,1.554,0.276,2.292
S2a_5,5.0,3.161,0.273,2.299
S2a_5,10.0,4.89,0.299,2.218
S2a_10,2.0,1.584,0.326,4.558
S2a_10,5.0,3.185,0.374,4.774
S2a_10,10.0,4.886,0.465,4.668
S2a_20,2.0,1.799,0.658,10.008
S2a_20,5.0,3.467,0.89,8.979
S2a_20,10.0,5.299,1.277,9.29
S6_n9,2.0,1.583,0.409,4.447
S6_n9,5.0,3.183,0.404,4.507
S6_n9,10.0,4.85,0.409,4.611
S7_worst,2.0,1.537,0.308,4.844
S7_worst,5.0,3.108,0.353,5.192
S7_worst,10.0,4.838,0.48,6.008
