scenario,noise_c,smooth,resid_raw_abs,resid_rec_abs,dir_raw,dir_rec
S1,0.0,0,3.185,0.275,0.529,1.942
S1,0.0,3,3.185,2.808,0.529,1.957
S1,0.25,0,3.185,0.272,0.523,1.909
S1,0.25,3,3.185,2.808,0.523,1.957
S1,0.5,0,3.185,0.277,0.509,1.882
S1,0.5,3,3.185,2.808,0.509,1.957
S1,1.0,0,3.185,0.314,0.493,1.811
S1,1.0,3,3.185,2.808,0.493,1.957
S1,2.0,0,3.185,0.484,0.47,1.779
S1,2.0,3,3.185,2.808,0.47,1.957
S2a_5,0.0,0,3.161,0.273,2.219,2.3
S2a_5,0.0,3,3.161,2.749,2.219,3.967
S2a_5,0.25,0,3.161,0.267,2.231,2.3
S2a_5,0.25,3,3.161,2.757,2.231,3.714
S2a_5,0.5,0,3.161,0.268,2.245,2.298
S2a_5,0.5,3,3.161,2.757,2.245,3.716
S2a_5,1.0,0,3.161,0.302,2.259,2.282
S2a_5,1.0,3,3.161,2.758,2.259,3.678
S2a_5,2.0,0,3.161,0.471,2.273,2.288
S2a_5,2.0,3,3.161,2.708,2.273,3.976
S2a_10,0.0,0,3.185,0.374,4.473,4.774
S2a_10,0.0,3,3.185,2.611,4.473,6.214
S2a_10,0.25,0,3.185,0.374,4.473,4.82
S2a_10,0.25,3,3.185,2.624,4.473,6.015
S2a_10,0.5,0,3.185,0.379,4.468,4.865
S2a_10,0.5,3,3.185,2.625,4.468,6.015
S2a_10,1.0,0,3.185,0.424,4.463,4.891
S2a_10,1.0,3,3.185,2.626,4.463,6.234
S2a_10,2.0,0,3.185,0.573,4.463,4.527
S2a_10,2.0,3,3.185,2.558,4.463,6.545
S2a_20,0.0,0,3.467,0.889,26.52,8.984
S2a_20,0.0,3,3.467,2.409,26.52,8.86
S2a_20,0.25,0,3.467,0.89,26.576,8.978
S2a_20,0.25,3,3.467,2.421,26.576,8.896
S2a_20,0.5,0,3.467,0.894,24.607,9.113
S2a_20,0.5,3,3.467,2.422,24.607,8.724
S2a_20,1.0,0,3.467,0.912,24.562,9.403
S2a_20,1.0,3,3.467,2.432,24.562,8.238
S2a_20,2.0,0,3.467,1.043,24.695,9.575
S2a_20,2.0,3,3.467,2.418,24.695,8.277
