scenario,mult,resid_raw_abs,resid_rec_abs,dir_raw,dir_rec
S1,0.5,3.185,1.202,0.531,1.382
S1,0.7,3.185,0.637,0.531,2.413
S1,0.8,3.185,0.406,0.531,2.375
S1,1.0,3.185,0.276,0.531,1.936
S1,1.2,3.185,0.651,0.531,1.126
S1,1.3,3.185,0.836,0.531,0.362
S1,1.5,3.185,1.184,0.531,1.335
S2a_5,0.5,3.161,1.189,2.219,2.29
S2a_5,0.7,3.161,0.642,2.219,2.403
S2a_5,0.8,3.161,0.405,2.219,2.374
S2a_5,1.0,3.161,0.273,2.219,2.299
S2a_5,1.2,3.161,0.659,2.219,2.363
S2a_5,1.3,3.161,0.835,2.219,2.508
S2a_5,1.5,3.161,1.159,2.219,2.53
S2a_10,0.5,3.185,1.218,4.473,4.791
S2a_10,0.7,3.185,0.693,4.473,4.866
S2a_10,0.8,3.185,0.465,4.473,4.822
S2a_10,1.0,3.185,0.374,4.473,4.774
S2a_10,1.2,3.185,0.702,4.473,4.606
S2a_10,1.3,3.185,0.866,4.473,4.811
S2a_10,1.5,3.185,1.153,4.473,5.184
S2a_20,0.5,3.467,1.617,26.519,8.891
S2a_20,0.7,3.467,1.152,26.519,8.873
S2a_20,0.8,3.467,0.961,26.519,9.007
S2a_20,1.0,3.467,0.89,26.519,8.979
S2a_20,1.2,3.467,1.149,26.519,9.283
S2a_20,1.3,3.467,1.273,26.519,9.278
S2a_20,1.5,3.467,1.463,26.519,9.278
S6_n9,0.5,3.183,1.262,1.379,3.161
S6_n9,0.7,3.183,0.713,1.379,5.015
S6_n9,0.8,3.183,0.517,1.379,5.069
S6_n9,1.0,3.183,0.404,1.379,4.507
S6_n9,1.2,3.183,0.717,1.379,3.884
S6_n9,1.3,3.183,0.89,1.379,2.994
S6_n9,1.5,3.183,1.208,1.379,0.924
S7_worst,0.5,3.108,1.164,4.45,4.39
S7_worst,0.7,3.108,0.662,4.45,4.798
S7_worst,0.8,3.108,0.449,4.45,4.967
S7_worst,1.0,3.108,0.353,4.45,5.192
S7_worst,1.2,3.108,0.684,4.45,5.246
S7_worst,1.3,3.108,0.829,4.45,5.461
S7_worst,1.5,3.108,1.099,4.45,5.958
