phase,scenario,tau_s,t_max,burn,miss_rate,sensor_peak,delay,recon_rate,confirmed,speed
a_noburn,S1,0.0,120.0,0.0,0.0,90.041,-5.856,,13.0,
a_noburn,S2a_10,0.0,120.0,0.0,0.0,91.772,-6.029,,13.1,
a_noburn,S6_n9,0.0,120.0,0.0,0.0,94.071,-5.677,,6.0,
a_noburn,S7_worst,0.0,120.0,0.0,0.0,92.449,-5.832,,12.733,
a_noburn,S1,2.0,120.0,0.0,0.0,86.605,-4.296,93.333,13.0,
a_noburn,S2a_10,2.0,120.0,0.0,0.0,87.326,-4.457,93.333,13.1,
a_noburn,S6_n9,2.0,120.0,0.0,0.0,87.583,-4.102,87.5,6.0,
a_noburn,S7_worst,2.0,120.0,0.0,0.0,87.67,-4.3,93.111,12.867,
a_noburn,S1,5.0,120.0,0.0,0.0,85.956,-2.683,100.0,13.0,
a_noburn,S2a_10,5.0,120.0,0.0,0.0,86.469,-2.85,100.0,13.267,
a_noburn,S6_n9,5.0,120.0,0.0,0.0,86.491,-2.502,100.0,6.0,
a_noburn,S7_worst,5.0,120.0,0.0,0.0,86.799,-2.701,99.778,12.867,
a_noburn,S1,10.0,120.0,0.0,0.0,85.637,-0.943,100.0,13.0,
a_noburn,S2a_10,10.0,120.0,0.0,0.0,85.915,-1.112,100.0,13.3,
a_noburn,S6_n9,10.0,120.0,0.0,0.0,86.001,-0.789,100.0,6.0,
a_noburn,S7_worst,10.0,120.0,0.0,0.0,86.084,-0.958,100.0,12.967,
a_noburn,S1,20.0,120.0,0.0,0.0,83.967,1.297,100.0,13.0,
a_noburn,S2a_10,20.0,120.0,0.0,0.0,83.952,1.254,100.0,13.167,
a_noburn,S6_n9,20.0,120.0,0.0,0.0,83.924,1.436,100.0,6.0,
a_noburn,S7_worst,20.0,120.0,0.0,0.0,84.019,1.395,100.0,13.0,
a_noburn,S1,30.0,120.0,0.0,0.0,82.814,3.464,100.0,13.0,
a_noburn,S2a_10,30.0,120.0,0.0,0.0,82.749,3.43,100.0,13.133,
a_noburn,S6_n9,30.0,120.0,0.0,0.0,82.738,3.611,100.0,6.033,
a_noburn,S7_worst,30.0,120.0,0.0,0.0,82.699,3.57,100.0,12.933,
a_noburn,S1,45.0,120.0,0.0,0.0,81.785,6.73,100.0,13.0,
a_noburn,S2a_10,45.0,120.0,0.0,0.0,81.795,6.703,100.0,13.133,
a_noburn,S6_n9,45.0,120.0,0.0,0.0,81.721,6.886,100.0,6.0,
a_noburn,S7_worst,45.0,120.0,0.0,0.0,81.801,6.861,100.0,12.933,
a_noburn,S1,60.0,120.0,0.0,0.0,81.379,10.057,100.0,13.0,
a_noburn,S2a_10,60.0,120.0,0.0,0.0,81.351,10.016,100.0,13.1,
a_noburn,S6_n9,60.0,120.0,0.0,0.0,81.35,10.223,100.0,6.0,
a_noburn,S7_worst,60.0,120.0,0.0,0.0,81.346,10.171,100.0,12.933,
a_noburn,S1,0.0,300.0,0.0,0.0,90.041,-5.856,,13.0,
a_noburn,S2a_10,0.0,300.0,0.0,0.0,91.772,-6.029,,13.1,
a_noburn,S6_n9,0.0,300.0,0.0,0.0,94.071,-5.677,,6.0,
a_noburn,S7_worst,0.0,300.0,0.0,0.0,92.449,-5.832,,12.733,
a_noburn,S1,2.0,300.0,0.0,0.0,86.605,-4.296,93.333,13.0,
a_noburn,S2a_10,2.0,300.0,0.0,0.0,87.326,-4.457,93.333,13.1,
a_noburn,S6_n9,2.0,300.0,0.0,0.0,87.583,-4.102,87.5,6.0,
a_noburn,S7_worst,2.0,300.0,0.0,0.0,87.67,-4.3,93.111,12.867,
a_noburn,S1,5.0,300.0,0.0,0.0,85.956,-2.683,100.0,13.0,
a_noburn,S2a_10,5.0,300.0,0.0,0.0,86.469,-2.85,100.0,13.267,
a_noburn,S6_n9,5.0,300.0,0.0,0.0,86.491,-2.502,100.0,6.0,
a_noburn,S7_worst,5.0,300.0,0.0,0.0,86.799,-2.701,99.778,12.867,
a_noburn,S1,10.0,300.0,0.0,0.0,85.637,-0.943,100.0,13.0,
a_noburn,S2a_10,10.0,300.0,0.0,0.0,85.915,-1.112,100.0,13.3,
a_noburn,S6_n9,10.0,300.0,0.0,0.0,86.001,-0.789,100.0,6.0,
a_noburn,S7_worst,10.0,300.0,0.0,0.0,86.084,-0.958,100.0,12.967,
a_noburn,S1,20.0,300.0,0.0,0.0,83.967,1.297,100.0,13.0,
a_noburn,S2a_10,20.0,300.0,0.0,0.0,83.952,1.254,100.0,13.167,
a_noburn,S6_n9,20.0,300.0,0.0,0.0,83.924,1.436,100.0,6.0,
a_noburn,S7_worst,20.0,300.0,0.0,0.0,84.019,1.395,100.0,13.0,
a_noburn,S1,30.0,300.0,0.0,0.0,82.814,3.464,100.0,13.0,
a_noburn,S2a_10,30.0,300.0,0.0,0.0,82.749,3.43,100.0,13.133,
a_noburn,S6_n9,30.0,300.0,0.0,0.0,82.738,3.611,100.0,6.033,
a_noburn,S7_worst,30.0,300.0,0.0,0.0,82.699,3.57,100.0,12.933,
a_noburn,S1,45.0,300.0,0.0,0.0,81.785,6.73,100.0,13.0,
a_noburn,S2a_10,45.0,300.0,0.0,0.0,81.795,6.703,100.0,13.133,
a_noburn,S6_n9,45.0,300.0,0.0,0.0,81.721,6.886,100.0,6.0,
a_noburn,S7_worst,45.0,300.0,0.0,0.0,81.801,6.861,100.0,12.933,
a_noburn,S1,60.0,300.0,0.0,0.0,81.379,10.057,100.0,13.0,
a_noburn,S2a_10,60.0,300.0,0.0,0.0,81.351,10.016,100.0,13.1,
a_noburn,S6_n9,60.0,300.0,0.0,0.0,81.35,10.223,100.0,6.0,
a_noburn,S7_worst,60.0,300.0,0.0,0.0,81.346,10.171,100.0,12.933,
b_pulse,S1,0.0,300.0,10.0,0.0,90.041,-5.856,,13.0,
b_pulse,S2a_10,0.0,300.0,10.0,0.0,91.772,-6.029,,13.1,
b_pulse,S6_n9,0.0,300.0,10.0,0.0,94.071,-5.677,,6.0,
b_pulse,S7_worst,0.0,300.0,10.0,0.0,92.449,-5.832,,12.733,
b_pulse,S1,2.0,300.0,10.0,0.0,86.605,-4.296,93.333,13.0,
b_pulse,S2a_10,2.0,300.0,10.0,0.0,87.326,-4.457,93.333,13.1,
b_pulse,S6_n9,2.0,300.0,10.0,0.0,87.583,-4.102,87.5,6.0,
b_pulse,S7_worst,2.0,300.0,10.0,0.0,87.67,-4.3,93.111,12.867,
b_pulse,S1,5.0,300.0,10.0,0.0,85.956,-2.683,100.0,13.0,
b_pulse,S2a_10,5.0,300.0,10.0,0.0,86.468,-2.85,100.0,13.267,
b_pulse,S6_n9,5.0,300.0,10.0,0.0,86.491,-2.502,100.0,6.0,
b_pulse,S7_worst,5.0,300.0,10.0,0.0,86.791,-2.701,99.778,12.867,
b_pulse,S1,10.0,300.0,10.0,0.0,85.624,-0.943,100.0,13.0,
b_pulse,S2a_10,10.0,300.0,10.0,0.0,85.793,-1.111,100.0,13.3,
b_pulse,S6_n9,10.0,300.0,10.0,0.0,85.975,-0.789,100.0,6.0,
b_pulse,S7_worst,10.0,300.0,10.0,0.0,85.912,-0.954,100.0,12.967,
b_pulse,S1,20.0,300.0,10.0,0.0,83.231,1.437,100.0,13.0,
b_pulse,S2a_10,20.0,300.0,10.0,0.222,82.972,1.579,99.778,13.167,
b_pulse,S6_n9,20.0,300.0,10.0,0.0,83.192,1.636,100.0,6.0,
b_pulse,S7_worst,20.0,300.0,10.0,0.0,82.793,1.822,100.0,12.9,
b_pulse,S1,30.0,300.0,10.0,6.667,80.81,4.921,93.333,14.0,
b_pulse,S2a_10,30.0,300.0,10.0,15.111,80.592,5.131,84.889,12.667,
b_pulse,S6_n9,30.0,300.0,10.0,12.5,80.609,5.16,87.5,7.0,
b_pulse,S7_worst,30.0,300.0,10.0,25.111,79.806,5.236,74.889,11.233,
b_pulse,S1,45.0,300.0,10.0,100.0,70.026,,0.0,0.0,
b_pulse,S2a_10,45.0,300.0,10.0,96.0,70.712,8.662,4.0,0.6,
b_pulse,S6_n9,45.0,300.0,10.0,100.0,69.298,,0.0,0.0,
b_pulse,S7_worst,45.0,300.0,10.0,91.778,70.035,8.646,8.222,1.233,
b_pulse,S1,60.0,300.0,10.0,100.0,60.886,,0.0,0.0,
b_pulse,S2a_10,60.0,300.0,10.0,100.0,61.581,,0.0,0.0,
b_pulse,S6_n9,60.0,300.0,10.0,100.0,60.286,,0.0,0.0,
b_pulse,S7_worst,60.0,300.0,10.0,100.0,61.093,,0.0,0.0,
c_speed,S1,0.0,300.0,10.0,0.0,86.967,,,,0.75
c_speed,S1,2.0,300.0,10.0,0.0,83.384,,,,0.75
c_speed,S1,5.0,300.0,10.0,0.0,82.91,,,,0.75
c_speed,S1,10.0,300.0,10.0,0.0,83.016,,,,0.75
c_speed,S1,20.0,300.0,10.0,0.0,82.635,,,,0.75
c_speed,S1,30.0,300.0,10.0,0.0,82.5,,,,0.75
c_speed,S1,45.0,300.0,10.0,0.0,81.159,,,,0.75
c_speed,S1,60.0,300.0,10.0,6.667,80.31,,,,0.75
c_speed,S1,0.0,300.0,10.0,0.0,90.041,,,,1.5
c_speed,S1,2.0,300.0,10.0,0.0,86.605,,,,1.5
c_speed,S1,5.0,300.0,10.0,0.0,85.956,,,,1.5
c_speed,S1,10.0,300.0,10.0,0.0,85.624,,,,1.5
c_speed,S1,20.0,300.0,10.0,0.0,83.231,,,,1.5
c_speed,S1,30.0,300.0,10.0,6.667,80.81,,,,1.5
c_speed,S1,45.0,300.0,10.0,100.0,70.026,,,,1.5
c_speed,S1,60.0,300.0,10.0,100.0,60.886,,,,1.5
c_speed,S1,0.0,300.0,10.0,0.0,96.1,,,,3.0
c_speed,S1,2.0,300.0,10.0,0.0,91.979,,,,3.0
c_speed,S1,5.0,300.0,10.0,0.0,92.136,,,,3.0
c_speed,S1,10.0,300.0,10.0,0.0,86.158,,,,3.0
c_speed,S1,20.0,300.0,10.0,100.0,74.32,,,,3.0
c_speed,S1,30.0,300.0,10.0,100.0,60.92,,,,3.0
c_speed,S1,45.0,300.0,10.0,100.0,50.674,,,,3.0
c_speed,S1,60.0,300.0,10.0,100.0,45.038,,,,3.0
