t_max,front,mode,tau_s,dir_err_mean,dir_err_std,speed_err_mean,n_missed_mean,n_confirmed_mean,n_valid
120.0,straight_S1,uniform,0.0,2.1152,0.0,-0.0961,0.0,13.0,30
120.0,straight_S1,uniform,2.0,0.7234,0.0,1.0049,0.0,13.0,30
120.0,straight_S1,uniform,5.0,0.4165,0.0,2.1702,0.0,13.0,30
120.0,straight_S1,uniform,10.0,0.2351,0.0,1.2194,0.0,13.0,30
120.0,straight_S1,uniform,11.0,0.3813,0.0,1.2194,0.0,13.0,30
120.0,straight_S1,uniform,20.0,0.4033,0.0,2.28,0.0,13.0,30
120.0,straight_S1,uniform,30.0,0.1678,0.0,2.1702,0.0,13.0,30
120.0,straight_S1,uniform,50.0,0.3132,0.0,2.6516,0.0,13.0,30
120.0,straight_S1,uniform,78.5,0.3453,0.0,3.1372,0.0,13.0,30
120.0,straight_S1,uniform,100.0,0.5453,0.0,3.3623,0.0,13.0,30
120.0,straight_S1,jitter,11.0,2.0756,1.4654,10.3904,0.0,13.3,30
120.0,straight_S1,jitter,30.0,7.7643,7.1329,33.6163,0.0,13.1333,30
120.0,straight_S1,jitter,78.5,67.7092,47.5807,71.7168,0.0,13.2,30
120.0,curved_S2a10,uniform,0.0,4.7572,3.5354,16.3133,0.0,13.1,30
120.0,curved_S2a10,uniform,2.0,4.357,3.4415,14.6572,0.0,13.1,30
120.0,curved_S2a10,uniform,5.0,4.4586,3.1241,11.399,0.0,13.2667,30
120.0,curved_S2a10,uniform,10.0,4.3958,3.258,8.8845,0.0,13.3,30
120.0,curved_S2a10,uniform,11.0,4.396,3.2178,8.0935,0.0,13.3,30
120.0,curved_S2a10,uniform,20.0,4.3354,3.2747,7.2944,0.0,13.1667,30
120.0,curved_S2a10,uniform,30.0,4.3202,3.2743,7.7796,0.0,13.1333,30
120.0,curved_S2a10,uniform,50.0,4.2769,3.242,8.0581,0.0,13.1,30
120.0,curved_S2a10,uniform,78.5,4.274,3.2281,8.4935,0.0,13.1333,30
120.0,curved_S2a10,uniform,100.0,4.2762,3.2665,8.3842,0.0,13.1,30
120.0,curved_S2a10,jitter,11.0,4.7733,3.9402,12.2343,0.0,13.4,30
120.0,curved_S2a10,jitter,30.0,10.371,9.9573,31.5346,0.0,13.2333,30
120.0,curved_S2a10,jitter,78.5,66.7211,51.1506,76.5117,0.0,13.2333,30
120.0,curved_S2a20,uniform,0.0,10.5806,8.7327,29.8012,0.0,13.2,30
120.0,curved_S2a20,uniform,2.0,13.2867,19.1625,24.0918,0.0,13.1667,30
120.0,curved_S2a20,uniform,5.0,26.3933,37.4031,19.7833,0.0,13.0333,30
120.0,curved_S2a20,uniform,10.0,16.7673,24.6887,15.2659,0.0,13.1333,30
120.0,curved_S2a20,uniform,11.0,12.5708,16.3492,15.6399,0.0,13.1,30
120.0,curved_S2a20,uniform,20.0,8.9037,6.9828,11.5222,0.0,13.2,30
120.0,curved_S2a20,uniform,30.0,8.724,6.5302,8.9067,0.0,13.2,30
120.0,curved_S2a20,uniform,50.0,7.9641,6.461,5.9523,0.0,13.2,30
120.0,curved_S2a20,uniform,78.5,7.9723,6.4356,5.8729,0.0,13.2,30
120.0,curved_S2a20,uniform,100.0,7.9657,6.4829,6.0879,0.0,13.2,30
120.0,curved_S2a20,jitter,11.0,11.9988,9.923,18.9277,0.0,13.3,30
120.0,curved_S2a20,jitter,30.0,17.5576,15.4663,33.5536,0.0,13.2,30
120.0,curved_S2a20,jitter,78.5,66.2682,54.8464,73.904,0.0,13.3,30
400.0,straight_S1,uniform,0.0,2.1152,0.0,-0.0961,0.0,13.0,30
400.0,straight_S1,uniform,2.0,0.7234,0.0,1.0049,0.0,13.0,30
400.0,straight_S1,uniform,5.0,0.4165,0.0,2.1702,0.0,13.0,30
