scenario,peak_C,tau_s,miss_rate_mean,miss_rate_std,sensor_peak_mean,margin_vs_thr,exposed_mean
S1,100.0,11.0,100.0,0.0,56.23,-23.77,15.0
S1,100.0,30.0,100.0,0.0,41.6,-38.4,15.0
S1,100.0,50.0,100.0,0.0,36.31,-43.69,15.0
S1,100.0,78.5,100.0,0.0,32.85,-47.15,15.0
S1,100.0,100.0,100.0,0.0,31.4,-48.6,15.0
S1,150.0,11.0,100.0,0.0,77.05,-2.95,15.0
S1,150.0,30.0,100.0,0.0,52.66,-27.34,15.0
S1,150.0,50.0,100.0,0.0,43.86,-36.14,15.0
S1,150.0,78.5,100.0,0.0,38.08,-41.92,15.0
S1,150.0,100.0,100.0,0.0,35.66,-44.34,15.0
S1,200.0,11.0,0.0,0.0,83.14,3.14,15.0
S1,200.0,30.0,100.0,0.0,63.73,-16.27,15.0
S1,200.0,50.0,100.0,0.0,51.4,-28.6,15.0
S1,200.0,78.5,100.0,0.0,43.32,-36.68,15.0
S1,200.0,100.0,100.0,0.0,39.92,-40.08,15.0
S1,300.0,11.0,0.0,0.0,85.69,5.69,15.0
S1,300.0,30.0,6.67,0.0,80.81,0.81,15.0
S1,300.0,50.0,100.0,0.0,66.48,-13.52,15.0
S1,300.0,78.5,100.0,0.0,53.78,-26.22,15.0
S1,300.0,100.0,100.0,0.0,48.45,-31.55,15.0
S1,500.0,11.0,0.0,0.0,85.94,5.94,15.0
S1,500.0,30.0,0.0,0.0,85.19,5.19,15.0
S1,500.0,50.0,0.0,0.0,81.73,1.73,15.0
S1,500.0,78.5,100.0,0.0,74.72,-5.28,15.0
S1,500.0,100.0,100.0,0.0,65.5,-14.5,15.0
S2a_10,100.0,11.0,100.0,0.0,56.31,-23.69,15.0
S2a_10,100.0,30.0,100.0,0.0,41.8,-38.2,15.0
S2a_10,100.0,50.0,100.0,0.0,36.47,-43.53,15.0
S2a_10,100.0,78.5,100.0,0.0,32.97,-47.03,15.0
S2a_10,100.0,100.0,100.0,0.0,31.49,-48.51,15.0
S2a_10,150.0,11.0,76.0,7.42,76.3,-3.7,15.0
S2a_10,150.0,30.0,100.0,0.0,53.0,-27.0,15.0
S2a_10,150.0,50.0,100.0,0.0,44.12,-35.88,15.0
S2a_10,150.0,78.5,100.0,0.0,38.28,-41.72,15.0
S2a_10,150.0,100.0,100.0,0.0,35.82,-44.18,15.0
S2a_10,200.0,11.0,2.0,3.06,82.69,2.69,15.0
S2a_10,200.0,30.0,99.33,2.0,64.18,-15.82,15.0
S2a_10,200.0,50.0,100.0,0.0,51.76,-28.24,15.0
S2a_10,200.0,78.5,100.0,0.0,43.59,-36.41,15.0
S2a_10,200.0,100.0,100.0,0.0,40.15,-39.85,15.0
S2a_10,300.0,11.0,0.0,0.0,85.58,5.58,15.0
S2a_10,300.0,30.0,16.67,4.47,80.51,0.51,15.0
S2a_10,300.0,50.0,98.33,3.57,67.02,-12.98,15.0
S2a_10,300.0,78.5,100.0,0.0,54.21,-25.79,15.0
S2a_10,300.0,100.0,100.0,0.0,48.81,-31.19,15.0
S2a_10,500.0,11.0,0.0,0.0,86.4,6.4,15.0
S2a_10,500.0,30.0,0.0,0.0,84.35,4.35,15.0
S2a_10,500.0,50.0,1.0,2.38,81.69,1.69,15.0
S2a_10,500.0,78.5,85.67,8.24,74.94,-5.06,15.0
S2a_10,500.0,100.0,99.0,2.38,66.11,-13.89,15.0
S7_worst,100.0,11.0,100.0,0.0,55.83,-24.17,15.0
S7_worst,100.0,30.0,100.0,0.0,41.5,-38.5,15.0
S7_worst,100.0,50.0,100.0,0.0,36.26,-43.74,15.0
S7_worst,100.0,78.5,100.0,0.0,32.83,-47.17,15.0
S7_worst,100.0,100.0,100.0,0.0,31.38,-48.62,15.0
S7_worst,150.0,11.0,74.0,13.65,75.27,-4.73,15.0
S7_worst,150.0,30.0,100.0,0.0,52.51,-27.49,15.0
S7_worst,150.0,50.0,100.0,0.0,43.77,-36.23,15.0
S7_worst,150.0,78.5,100.0,0.0,38.04,-41.96,15.0
S7_worst,150.0,100.0,100.0,0.0,35.64,-44.36,15.0
S7_worst,200.0,11.0,2.33,4.36,82.52,2.52,15.0
S7_worst,200.0,30.0,100.0,0.0,63.51,-16.49,15.0
S7_worst,200.0,50.0,100.0,0.0,51.28,-28.72,15.0
S7_worst,200.0,78.5,100.0,0.0,43.26,-36.74,15.0
S7_worst,200.0,100.0,100.0,0.0,39.89,-40.11,15.0
S7_worst,300.0,11.0,0.0,0.0,85.72,5.72,15.0
S7_worst,300.0,30.0,28.0,20.61,79.62,-0.38,15.0
S7_worst,300.0,50.0,98.67,3.4,66.29,-13.71,15.0
S7_worst,300.0,78.5,100.0,0.0,53.7,-26.3,15.0
S7_worst,300.0,100.0,100.0,0.0,48.4,-31.6,15.0
S7_worst,500.0,11.0,0.0,0.0,86.56,6.56,15.0
S7_worst,500.0,30.0,0.0,0.0,84.18,4.18,15.0
S7_worst,500.0,50.0,3.67,5.36,81.49,1.49,15.0
S7_worst,500.0,78.5,78.0,18.39,73.68,-6.32,15.0
S7_worst,500.0,100.0,99.33,2.0,65.41,-14.59,15.0
