arm,scenario,threshold_C,benign_c,benign_node_temp_C,benign_fp_rate_mean,confirmed_fp_rate_mean,n_confirmed_mean
warn_fixed,S1,40.0,0.0,25.0,0.0,0.0,0.0
warn_fixed,S1,40.0,20.0,45.0,2.44,0.0,0.0
warn_fixed,S1,40.0,30.0,55.0,10.0,0.0,0.0
warn_fixed,S1,40.0,40.0,65.0,11.56,0.0,0.0
warn_fixed,S1,45.0,0.0,25.0,0.0,0.0,0.0
warn_fixed,S1,45.0,20.0,45.0,0.0,0.0,0.0
warn_fixed,S1,45.0,30.0,55.0,6.67,0.0,0.0
warn_fixed,S1,45.0,40.0,65.0,11.56,0.0,0.0
warn_fixed,S1,50.0,0.0,25.0,0.0,0.0,0.0
warn_fixed,S1,50.0,20.0,45.0,0.0,0.0,0.0
warn_fixed,S1,50.0,30.0,55.0,0.0,0.0,0.0
warn_fixed,S1,50.0,40.0,65.0,10.0,0.0,0.0
warn_fixed,S1,60.0,0.0,25.0,0.0,0.0,13.0
warn_fixed,S1,60.0,20.0,45.0,0.0,0.0,13.03
warn_fixed,S1,60.0,30.0,55.0,0.0,0.0,13.03
warn_fixed,S1,60.0,40.0,65.0,0.0,0.0,12.97
warn_fixed,S1,70.0,0.0,25.0,0.0,0.0,13.0
warn_fixed,S1,70.0,20.0,45.0,0.0,0.0,13.27
warn_fixed,S1,70.0,30.0,55.0,0.0,0.0,13.03
warn_fixed,S1,70.0,40.0,65.0,0.0,0.0,13.03
warn_fixed,S1,80.0,0.0,25.0,0.0,0.0,13.0
warn_fixed,S1,80.0,20.0,45.0,0.0,0.0,13.27
warn_fixed,S1,80.0,30.0,55.0,0.0,0.0,13.03
warn_fixed,S1,80.0,40.0,65.0,0.0,0.0,13.03
warn_fixed,S2a_10,40.0,0.0,25.0,0.0,0.0,0.0
warn_fixed,S2a_10,40.0,20.0,45.0,2.44,0.0,0.0
warn_fixed,S2a_10,40.0,30.0,55.0,10.0,0.0,0.0
warn_fixed,S2a_10,40.0,40.0,65.0,12.67,0.0,0.0
warn_fixed,S2a_10,45.0,0.0,25.0,0.0,0.0,0.0
warn_fixed,S2a_10,45.0,20.0,45.0,0.0,0.0,0.0
warn_fixed,S2a_10,45.0,30.0,55.0,6.44,0.0,0.0
warn_fixed,S2a_10,45.0,40.0,65.0,10.89,0.0,0.0
warn_fixed,S2a_10,50.0,0.0,25.0,0.0,0.0,0.0
warn_fixed,S2a_10,50.0,20.0,45.0,0.0,0.0,0.0
warn_fixed,S2a_10,50.0,30.0,55.0,0.0,0.0,0.0
warn_fixed,S2a_10,50.0,40.0,65.0,9.33,0.0,0.0
warn_fixed,S2a_10,60.0,0.0,25.0,0.0,0.0,13.23
warn_fixed,S2a_10,60.0,20.0,45.0,0.0,0.0,13.1
warn_fixed,S2a_10,60.0,30.0,55.0,0.0,0.0,13.07
