arm,scenario,threshold_C,tau_s,nonfire_actual_total,nonfire_polluted_total,pollution_rate_pooled,pollution_rate_mean,fp_verifier_total,n_confirmed_mean
warn_fixed,S1,40.0,11.0,83,0,0.0,0.0,0,0.0
warn_fixed,S1,40.0,78.5,153,0,0.0,0.0,0,0.0
warn_fixed,S1,45.0,11.0,90,0,0.0,0.0,0,0.0
warn_fixed,S1,45.0,78.5,181,0,0.0,0.0,0,0.0
warn_fixed,S1,50.0,11.0,98,0,0.0,0.0,0,0.0
warn_fixed,S1,50.0,78.5,208,0,0.0,0.0,0,0.0
warn_fixed,S1,60.0,11.0,114,15,13.16,14.67,0,10.03
warn_fixed,S1,60.0,78.5,240,0,0.0,0.0,0,0.0
warn_fixed,S1,70.0,11.0,126,17,13.49,12.8,0,9.73
warn_fixed,S1,70.0,78.5,240,0,0.0,0.0,0,0.0
warn_fixed,S1,80.0,11.0,132,19,14.39,14.9,0,9.6
warn_fixed,S1,80.0,78.5,240,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,40.0,11.0,82,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,40.0,78.5,157,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,45.0,11.0,92,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,45.0,78.5,181,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,50.0,11.0,97,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,50.0,78.5,203,0,0.0,0.0,0,0.0
warn_fixed,S2a_10,60.0,11.0,115,11,9.57,9.0,0,10.0
warn_fixed,S2a_10,60.0,78.5,239,0,0.0,0.0,0,0.27
warn_fixed,S2a_10,70.0,11.0,128,15,11.72,14.31,0,9.67
warn_fixed,S2a_10,70.0,78.5,240,1,0.42,0.42,0,0.03
warn_fixed,S2a_10,80.0,11.0,136,22,16.18,18.15,0,9.57
warn_fixed,S2a_10,80.0,78.5,240,1,0.42,0.42,0,0.03
warn_fixed,S7_worst,40.0,11.0,79,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,40.0,78.5,157,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,45.0,11.0,91,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,45.0,78.5,182,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,50.0,11.0,99,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,50.0,78.5,209,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,60.0,11.0,111,11,9.91,8.4,0,9.97
warn_fixed,S7_worst,60.0,78.5,240,0,0.0,0.0,0,0.7
warn_fixed,S7_worst,70.0,11.0,124,16,12.9,13.45,0,9.77
warn_fixed,S7_worst,70.0,78.5,240,0,0.0,0.0,0,0.0
warn_fixed,S7_worst,80.0,11.0,134,21,15.67,16.58,0,9.7
warn_fixed,S7_worst,80.0,78.5,240,0,0.0,0.0,0,0.0
warn_coupled,S1,40.0,11.0,83,73,87.95,83.06,0,13.2
warn_coupled,S1,40.0,78.5,153,153,100.0,100.0,0,13.37
warn_coupled,S1,45.0,11.0,90,78,86.67,83.17,0,13.03
warn_coupled,S1,45.0,78.5,181,181,100.0,100.0,0,13.37
warn_coupled,S1,50.0,11.0,98,35,35.71,30.28,0,11.3
warn_coupled,S1,50.0,78.5,208,105,50.48,50.93,0,10.2
warn_coupled,S1,60.0,11.0,114,27,23.68,23.33,0,10.43
warn_coupled,S1,60.0,78.5,240,88,36.67,36.67,0,2.93
warn_coupled,S1,70.0,11.0,126,26,20.63,20.13,0,10.03
warn_coupled,S1,70.0,78.5,240,31,12.92,12.92,0,1.03
warn_coupled,S1,80.0,11.0,132,19,14.39,14.9,0,9.6
warn_coupled,S1,80.0,78.5,240,0,0.0,0.0,0,0.0
warn_coupled,S2a_10,40.0,11.0,82,72,87.8,83.22,0,13.37
warn_coupled,S2a_10,40.0,78.5,157,157,100.0,100.0,0,13.43
warn_coupled,S2a_10,45.0,11.0,92,82,89.13,84.0,0,13.23
warn_coupled,S2a_10,45.0,78.5,181,181,100.0,100.0,0,13.37
warn_coupled,S2a_10,50.0,11.0,97,34,35.05,29.44,0,11.43
warn_coupled,S2a_10,50.0,78.5,203,98,48.28,48.52,0,9.97
warn_coupled,S2a_10,60.0,11.0,115,27,23.48,21.28,0,10.53
warn_coupled,S2a_10,60.0,78.5,239,83,34.73,34.76,0,3.03
warn_coupled,S2a_10,70.0,11.0,128,31,24.22,25.48,0,10.2
warn_coupled,S2a_10,70.0,78.5,240,35,14.58,14.58,0,1.17
warn_coupled,S2a_10,80.0,11.0,136,22,16.18,18.15,0,9.57
warn_coupled,S2a_10,80.0,78.5,240,1,0.42,0.42,0,0.03
warn_coupled,S7_worst,40.0,11.0,79,73,92.41,88.33,0,13.2
warn_coupled,S7_worst,40.0,78.5,157,154,98.09,98.22,0,13.33
warn_coupled,S7_worst,45.0,11.0,91,84,92.31,87.56,0,13.17
warn_coupled,S7_worst,45.0,78.5,182,182,100.0,100.0,0,13.23
warn_coupled,S7_worst,50.0,11.0,99,45,45.45,38.82,0,11.63
warn_coupled,S7_worst,50.0,78.5,209,107,51.2,51.76,0,9.57
warn_coupled,S7_worst,60.0,11.0,111,29,26.13,21.75,0,10.57
warn_coupled,S7_worst,60.0,78.5,240,82,34.17,34.17,0,3.43
warn_coupled,S7_worst,70.0,11.0,124,24,19.35,20.35,0,10.03
warn_coupled,S7_worst,70.0,78.5,240,31,12.92,12.92,0,1.03
warn_coupled,S7_worst,80.0,11.0,134,21,15.67,16.58,0,9.7
warn_coupled,S7_worst,80.0,78.5,240,0,0.0,0.0,0,0.0
