arm,tau_s,peak_C,threshold_C,miss_rate,blind_rate,blind_baseline_80C,fp_pollution,fp_baseline_80C,pass_miss,pass_both,pass_blind
warn_fixed,11.0,150.0,40.0,0.0,100.0,83.33,0.0,15.42,1,1,0
warn_fixed,11.0,150.0,45.0,0.0,100.0,83.33,0.0,15.42,1,1,0
warn_fixed,11.0,150.0,50.0,0.0,100.0,83.33,0.0,15.42,1,1,0
warn_fixed,11.0,150.0,60.0,0.11,13.33,83.33,10.88,15.42,1,1,1
warn_fixed,11.0,150.0,70.0,8.78,14.11,83.33,12.7,15.42,0,0,0
warn_fixed,11.0,150.0,80.0,83.33,83.33,83.33,15.42,15.42,0,0,0
warn_fixed,11.0,200.0,40.0,0.0,100.0,12.33,0.0,15.42,1,1,0
warn_fixed,11.0,200.0,45.0,0.0,100.0,12.33,0.0,15.42,1,1,0
warn_fixed,11.0,200.0,50.0,0.0,100.0,12.33,0.0,15.42,1,1,0
warn_fixed,11.0,200.0,60.0,0.0,13.0,12.33,10.88,15.42,1,1,0
warn_fixed,11.0,200.0,70.0,0.0,13.22,12.33,12.7,15.42,1,1,0
warn_fixed,11.0,200.0,80.0,1.44,12.33,12.33,15.42,15.42,1,1,1
warn_fixed,11.0,300.0,40.0,0.0,100.0,13.0,0.0,15.42,1,1,0
warn_fixed,11.0,300.0,45.0,0.0,100.0,13.0,0.0,15.42,1,1,0
warn_fixed,11.0,300.0,50.0,0.0,100.0,13.0,0.0,15.42,1,1,0
warn_fixed,11.0,300.0,60.0,0.0,12.89,13.0,10.88,15.42,1,1,1
warn_fixed,11.0,300.0,70.0,0.0,13.0,13.0,12.7,15.42,1,1,1
warn_fixed,11.0,300.0,80.0,0.0,13.0,13.0,15.42,15.42,1,1,1
warn_fixed,11.0,500.0,40.0,0.0,100.0,12.89,0.0,15.42,1,1,0
warn_fixed,11.0,500.0,45.0,0.0,100.0,12.89,0.0,15.42,1,1,0
warn_fixed,11.0,500.0,50.0,0.0,100.0,12.89,0.0,15.42,1,1,0
warn_fixed,11.0,500.0,60.0,0.0,13.22,12.89,10.88,15.42,1,1,0
warn_fixed,11.0,500.0,70.0,0.0,13.22,12.89,12.7,15.42,1,1,0
warn_fixed,11.0,500.0,80.0,0.0,12.89,12.89,15.42,15.42,1,1,1
warn_fixed,78.5,150.0,40.0,92.11,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,150.0,45.0,100.0,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,150.0,50.0,100.0,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,150.0,60.0,100.0,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,150.0,70.0,100.0,100.0,100.0,0.14,0.14,0,0,0
warn_fixed,78.5,150.0,80.0,100.0,100.0,100.0,0.14,0.14,0,0,0
warn_fixed,78.5,200.0,40.0,4.22,100.0,100.0,0.0,0.14,1,1,1
warn_fixed,78.5,200.0,45.0,85.78,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,200.0,50.0,99.44,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,200.0,60.0,100.0,100.0,100.0,0.0,0.14,0,0,0
warn_fixed,78.5,200.0,70.0,100.0,100.0,100.0,0.14,0.14,0,0,0
warn_fixed,78.5,200.0,80.0,100.0,100.0,100.0,0.14,0.14,0,0,0
warn_fixed,78.5,300.0,40.0,0.0,100.0,100.0,0.0,0.14,1,1,1
warn_fixed,78.5,300.0,45.0,0.0,100.0,100.0,0.0,0.14,1,1,1
warn_fixed,78.5,300.0,50.0,11.22,100.0,100.0,0.0,0.14,0,0,0
