t_max,tau_s,dist_m,eta_bias_s
120.0,0.0,30.0,-10.586
120.0,0.0,60.0,-15.07
120.0,0.0,100.0,-21.051
120.0,2.0,30.0,-8.349
120.0,2.0,60.0,-11.906
120.0,2.0,100.0,-16.652
120.0,5.0,30.0,-6.126
120.0,5.0,60.0,-8.875
120.0,5.0,100.0,-12.539
120.0,10.0,30.0,-3.697
120.0,10.0,60.0,-5.71
120.0,10.0,100.0,-8.394
120.0,11.0,30.0,-3.361
120.0,11.0,60.0,-5.298
120.0,11.0,100.0,-7.88
120.0,20.0,30.0,-1.554
120.0,20.0,60.0,-3.455
120.0,20.0,100.0,-5.989
120.0,30.0,30.0,0.064
120.0,30.0,60.0,-2.077
120.0,30.0,100.0,-4.932
120.0,50.0,30.0,3.726
120.0,50.0,60.0,1.411
120.0,50.0,100.0,-1.675
120.0,78.5,30.0,9.426
120.0,78.5,60.0,7.178
120.0,78.5,100.0,4.18
120.0,100.0,30.0,13.279
120.0,100.0,60.0,10.861
120.0,100.0,100.0,7.637
400.0,0.0,30.0,-10.586
400.0,0.0,60.0,-15.07
400.0,0.0,100.0,-21.051
400.0,2.0,30.0,-8.349
400.0,2.0,60.0,-11.906
400.0,2.0,100.0,-16.652
400.0,5.0,30.0,-6.126
400.0,5.0,60.0,-8.875
400.0,5.0,100.0,-12.539
400.0,10.0,30.0,-3.697
400.0,10.0,60.0,-5.71
400.0,10.0,100.0,-8.394
400.0,11.0,30.0,-3.361
400.0,11.0,60.0,-5.298
400.0,11.0,100.0,-7.88
400.0,20.0,30.0,-1.554
400.0,20.0,60.0,-3.455
400.0,20.0,100.0,-5.989
400.0,30.0,30.0,0.064
400.0,30.0,60.0,-2.077
400.0,30.0,100.0,-4.932
400.0,50.0,30.0,3.726
400.0,50.0,60.0,1.411
400.0,50.0,100.0,-1.675
400.0,78.5,30.0,9.426
400.0,78.5,60.0,7.178
400.0,78.5,100.0,4.18
400.0,100.0,30.0,13.279
400.0,100.0,60.0,10.861
400.0,100.0,100.0,7.637
