t_max,front,mode,tau_s,n_seeds_valid_speed,n_eta_samples,speed_err_nominal_mean,speed_err_nominal_std,speed_err_nominal_absmean,speed_err_realized_mean,speed_err_realized_std,speed_err_realized_absmean,eta_bias_30_s,eta_mae_30_s,E3x2_cov_30,E3x2_breach_early_30,E3x2_width_30,E3x2_point_mae_30,E3x2c_cov_30,E3x2c_breach_early_30,E3x2c_width_30,E3x2c_point_mae_30,eta_bias_60_s,eta_mae_60_s,E3x2_cov_60,E3x2_breach_early_60,E3x2_width_60,E3x2_point_mae_60,E3x2c_cov_60,E3x2c_breach_early_60,E3x2c_width_60,E3x2c_point_mae_60,eta_bias_100_s,eta_mae_100_s,E3x2_cov_100,E3x2_breach_early_100,E3x2_width_100,E3x2_point_mae_100,E3x2c_cov_100,E3x2c_breach_early_100,E3x2c_width_100,E3x2c_point_mae_100
120.0,straight_S1,uniform,0.0,30,1440,-0.096,0.0,0.096,-0.096,0.0,0.096,-10.586,10.586,100.0,0.0,33.4,10.59,100.0,0.0,33.4,4.24,-15.07,15.07,100.0,0.0,57.0,15.07,100.0,0.0,57.0,8.73,-21.051,21.051,100.0,0.0,88.5,21.05,100.0,0.0,88.5,14.71
120.0,straight_S1,uniform,2.0,30,1350,1.005,0.0,1.005,1.005,0.0,1.005,-8.349,8.349,100.0,0.0,33.0,8.35,100.0,0.0,33.0,2.88,-11.906,11.906,100.0,0.0,55.7,11.91,100.0,0.0,55.7,5.77,-16.652,16.652,100.0,0.0,86.0,16.65,100.0,0.0,86.0,9.63
120.0,straight_S1,uniform,5.0,30,1350,2.17,0.0,2.17,2.17,0.0,2.17,-6.126,6.126,100.0,0.0,32.1,6.13,100.0,0.0,32.1,2.14,-8.875,8.875,100.0,0.0,53.8,8.87,100.0,0.0,53.8,4.15,-12.539,12.539,100.0,0.0,82.6,12.54,100.0,0.0,82.6,6.84
120.0,straight_S1,uniform,10.0,30,1440,1.219,0.0,1.219,1.219,0.0,1.219,-3.697,3.697,100.0,0.0,31.2,3.7,100.0,0.0,31.2,1.59,-5.71,5.71,100.0,0.0,51.8,5.71,100.0,0.0,51.8,3.0,-8.394,8.394,100.0,0.0,79.3,8.39,100.0,0.0,79.3,4.88
120.0,straight_S1,uniform,11.0,30,1350,1.219,0.0,1.219,1.219,0.0,1.219,-3.361,3.361,100.0,0.0,31.3,3.36,100.0,0.0,31.3,1.48,-5.298,5.298,100.0,0.0,52.0,5.3,100.0,0.0,52.0,2.79,-7.88,7.88,100.0,0.0,79.7,7.88,100.0,0.0,79.7,4.52
120.0,straight_S1,uniform,20.0,30,1350,2.28,0.0,2.28,2.28,0.0,2.28,-1.554,1.676,100.0,0.0,31.4,1.68,100.0,0.0,31.4,1.44,-3.455,3.455,100.0,0.0,52.1,3.45,100.0,0.0,52.1,2.61,-5.989,5.989,100.0,0.0,79.6,5.99,100.0,0.0,79.6,4.17
120.0,straight_S1,uniform,30.0,30,1350,2.17,0.0,2.17,2.17,0.0,2.17,0.064,1.79,100.0,0.0,31.9,1.79,100.0,0.0,31.9,1.78,-2.077,3.18,100.0,0.0,52.7,3.18,100.0,0.0,52.7,3.11,-4.932,5.599,100.0,0.0,80.5,5.6,100.0,0.0,80.5,4.89
120.0,straight_S1,uniform,50.0,30,1350,2.652,0.0,2.652,2.652,0.0,2.652,3.726,3.757,13.3,86.7,32.1,3.76,100.0,0.0,32.1,2.01,1.411,3.473,100.0,0.0,52.8,3.47,100.0,0.0,52.8,3.32,-1.675,4.951,100.0,0.0,80.3,4.95,100.0,0.0,80.3,5.06
120.0,straight_S1,uniform,78.5,30,1350,3.137,0.0,3.137,3.137,0.0,3.137,9.426,9.426,0.0,100.0,33.1,9.43,100.0,0.0,33.1,2.51,7.178,7.204,6.7,93.3,54.0,7.2,100.0,0.0,54.0,3.84,4.18,6.699,93.3,6.7,81.8,6.7,100.0,0.0,81.8,5.62
120.0,straight_S1,uniform,100.0,30,1440,3.362,0.0,3.362,3.362,0.0,3.362,13.279,13.279,0.0,100.0,33.3,13.28,100.0,0.0,33.3,3.09,10.861,10.861,0.0,100.0,54.1,10.86,100.0,0.0,54.1,4.57,7.637,9.244,25.0,75.0,81.8,9.24,100.0,0.0,81.8,6.53
