scenario,wind_u,c_spread,peak_C,tau_s,v_spread,pulse_width_s,tau_over_width,miss_rate_mean,miss_rate_std,dir_err_mean,dir_err_std,speed_err_mean,n_valid_dir,t_max,dt,exposed_mean
S1,0.1,0.05,150.0,77.792,0.005,2627.14,0.0296,0.0,0.0,,,,0,10819.0,0.2705,15.0
S1,0.1,0.05,300.0,77.792,0.005,5150.2,0.0151,0.0,0.0,,,,0,10819.0,0.2705,15.0
S1,0.1,0.05,500.0,77.792,0.005,6899.14,0.0113,0.0,0.0,,,,0,10819.0,0.2705,15.0
S1,0.1,0.1,150.0,77.792,0.01,1313.57,0.0592,0.0,0.0,,,,0,5531.2,0.1383,15.0
S1,0.1,0.1,300.0,77.792,0.01,2575.1,0.0302,0.0,0.0,,,,0,5531.2,0.1383,15.0
S1,0.1,0.1,500.0,77.792,0.01,3449.57,0.0226,0.0,0.0,,,,0,5531.2,0.1383,15.0
S1,0.1,0.15,150.0,77.792,0.015,875.71,0.0888,0.0,0.0,,,,0,3768.6,0.1,15.0
S1,0.1,0.15,300.0,77.792,0.015,1716.73,0.0453,0.0,0.0,,,,0,3768.6,0.1,15.0
S1,0.1,0.15,500.0,77.792,0.015,2299.71,0.0338,0.0,0.0,,,,0,3768.6,0.1,15.0
S1,0.5,0.05,150.0,34.79,0.025,525.43,0.0662,0.0,0.0,,,,0,2229.5,0.1,15.0
S1,0.5,0.05,300.0,34.79,0.025,1030.04,0.0338,0.0,0.0,,,,0,2229.5,0.1,15.0
S1,0.5,0.05,500.0,34.79,0.025,1379.83,0.0252,0.0,0.0,,,,0,2229.5,0.1,15.0
S1,0.5,0.1,150.0,34.79,0.05,262.71,0.1324,0.0,0.0,,,,0,1171.9,0.1,15.0
S1,0.5,0.1,300.0,34.79,0.05,515.02,0.0676,0.0,0.0,,,,0,1171.9,0.1,15.0
S1,0.5,0.1,500.0,34.79,0.05,689.91,0.0504,0.0,0.0,,,,0,1171.9,0.1,15.0
S1,0.5,0.15,150.0,34.79,0.075,175.14,0.1986,0.0,0.0,,,,0,819.4,0.1,15.0
S1,0.5,0.15,300.0,34.79,0.075,343.35,0.1013,0.0,0.0,,,,0,819.4,0.1,15.0
S1,0.5,0.15,500.0,34.79,0.075,459.94,0.0756,0.0,0.0,,,,0,819.4,0.1,15.0
S1,1.0,0.05,150.0,24.6,0.05,262.71,0.0936,0.0,0.0,,,,0,1141.4,0.1,15.0
S1,1.0,0.05,300.0,24.6,0.05,515.02,0.0478,0.0,0.0,,,,0,1141.4,0.1,15.0
S1,1.0,0.05,500.0,24.6,0.05,689.91,0.0357,0.0,0.0,,,,0,1141.4,0.1,15.0
S1,1.0,0.1,150.0,24.6,0.1,131.36,0.1873,0.0,0.0,,,,0,612.6,0.1,15.0
S1,1.0,0.1,300.0,24.6,0.1,257.51,0.0955,0.0,0.0,,,,0,612.6,0.1,15.0
S1,1.0,0.1,500.0,24.6,0.1,344.96,0.0713,0.0,0.0,,,,0,612.6,0.1,15.0
S1,1.0,0.15,150.0,24.6,0.15,87.57,0.2809,0.0,0.0,,,,0,436.3,0.1,15.0
S1,1.0,0.15,300.0,24.6,0.15,171.67,0.1433,0.0,0.0,,,,0,436.3,0.1,15.0
S1,1.0,0.15,500.0,24.6,0.15,229.97,0.107,0.0,0.0,,,,0,436.3,0.1,15.0
S1,2.0,0.05,150.0,17.395,0.1,131.36,0.1324,0.0,0.0,,,,0,591.0,0.1,15.0
S1,2.0,0.05,300.0,17.395,0.1,257.51,0.0676,0.0,0.0,,,,0,591.0,0.1,15.0
S1,2.0,0.05,500.0,17.395,0.1,344.96,0.0504,0.0,0.0,,,,0,591.0,0.1,15.0
S1,2.0,0.1,150.0,17.395,0.2,65.68,0.2648,0.0,0.0,,,,0,326.6,0.1,15.0
S1,2.0,0.1,300.0,17.395,0.2,128.76,0.1351,0.0,0.0,,,,0,326.6,0.1,15.0
S1,2.0,0.1,500.0,17.395,0.2,172.48,0.1009,0.0,0.0,,,,0,326.6,0.1,15.0
S1,2.0,0.15,150.0,17.395,0.3,43.79,0.3973,0.0,0.0,,,,0,238.4,0.1,15.0
S1,2.0,0.15,300.0,17.395,0.3,85.84,0.2027,0.0,0.0,,,,0,238.4,0.1,15.0
S1,2.0,0.15,500.0,17.395,0.3,114.99,0.1513,0.0,0.0,6.236,0.0,127.665,15,238.4,0.1,15.0
S1,5.0,0.05,150.0,11.001,0.25,52.54,0.2094,0.0,0.0,,,,0,254.5,0.1,15.0
S1,5.0,0.05,300.0,11.001,0.25,103.0,0.1068,0.0,0.0,,,,0,254.5,0.1,15.0
S1,5.0,0.05,500.0,11.001,0.25,137.98,0.0797,0.0,0.0,8.931,0.0,205.95,15,254.5,0.1,15.0
S1,5.0,0.1,150.0,11.001,0.5,26.27,0.4188,0.0,0.0,2.419,0.0,-15.246,15,148.8,0.1,15.0
S1,5.0,0.1,300.0,11.001,0.5,51.5,0.2136,0.0,0.0,1.532,0.0,3.871,15,148.8,0.1,15.0
S1,5.0,0.1,500.0,11.001,0.5,68.99,0.1595,0.0,0.0,2.303,0.0,29.077,15,148.8,0.1,15.0
S1,5.0,0.15,150.0,11.001,0.75,17.51,0.6281,0.0,0.0,0.055,0.0,0.558,15,113.5,0.1,15.0
S1,5.0,0.15,300.0,11.001,0.75,34.33,0.3204,0.0,0.0,0.108,0.0,0.723,15,113.5,0.1,15.0
S1,5.0,0.15,500.0,11.001,0.75,45.99,0.2392,0.0,0.0,0.687,0.0,2.564,15,113.5,0.1,15.0
S1,10.0,0.05,150.0,7.779,0.5,26.27,0.2961,0.0,0.0,1.889,0.0,-12.109,15,139.1,0.1,15.0
S1,10.0,0.05,300.0,7.779,0.5,51.5,0.151,0.0,0.0,2.342,0.0,8.425,15,139.1,0.1,15.0
S1,10.0,0.05,500.0,7.779,0.5,68.99,0.1128,0.0,0.0,4.844,0.0,44.937,15,139.1,0.1,15.0
S1,10.0,0.1,150.0,7.779,1.0,13.14,0.5922,0.0,0.0,0.177,0.0,0.524,15,86.2,0.1,15.0
S1,10.0,0.1,300.0,7.779,1.0,25.75,0.3021,0.0,0.0,0.529,0.0,1.924,15,86.2,0.1,15.0
S1,10.0,0.1,500.0,7.779,1.0,34.5,0.2255,0.0,0.0,1.201,0.0,6.573,15,86.2,0.1,15.0
S1,10.0,0.15,150.0,7.779,1.5,8.76,0.8883,0.0,0.0,0.784,0.0,1.219,15,68.6,0.1,15.0
S1,10.0,0.15,300.0,7.779,1.5,17.17,0.4531,0.0,0.0,0.295,0.0,2.17,15,68.6,0.1,15.0
S1,10.0,0.15,500.0,7.779,1.5,23.0,0.3383,0.0,0.0,0.612,0.0,5.086,15,68.6,0.1,15.0
S1,15.0,0.05,150.0,6.352,0.75,17.51,0.3627,0.0,0.0,0.048,0.0,0.18,15,99.6,0.1,15.0
S1,15.0,0.05,300.0,6.352,0.75,34.33,0.185,0.0,0.0,0.557,0.0,1.219,15,99.6,0.1,15.0
S1,15.0,0.05,500.0,6.352,0.75,45.99,0.1381,0.0,0.0,0.905,0.0,1.888,15,99.6,0.1,15.0
S1,15.0,0.1,150.0,6.352,1.5,8.76,0.7253,0.0,0.0,0.335,0.0,0.791,15,64.3,0.1,15.0
S1,15.0,0.1,300.0,6.352,1.5,17.17,0.37,0.0,0.0,0.505,0.0,1.219,15,64.3,0.1,15.0
S1,15.0,0.1,500.0,6.352,1.5,23.0,0.2762,0.0,0.0,0.607,0.0,5.086,15,64.3,0.1,15.0
S1,15.0,0.15,150.0,6.352,2.25,5.84,1.088,13.33,0.0,0.129,0.0,2.423,15,52.6,0.1,15.0
S1,15.0,0.15,300.0,6.352,2.25,11.44,0.555,0.0,0.0,0.208,0.0,3.062,15,52.6,0.1,15.0
S1,15.0,0.15,500.0,6.352,2.25,15.33,0.4143,0.0,0.0,0.423,0.0,6.207,15,52.6,0.1,15.0
S2a_10,0.1,0.05,150.0,77.792,0.005,2627.14,0.0296,0.0,0.0,,,,0,10819.0,0.2705,15.0
S2a_10,0.1,0.05,300.0,77.792,0.005,5150.2,0.0151,0.0,0.0,,,,0,10819.0,0.2705,15.0
S2a_10,0.1,0.05,500.0,77.792,0.005,6899.14,0.0113,0.0,0.0,,,,0,10819.0,0.2705,15.0
S2a_10,0.1,0.1,150.0,77.792,0.01,1313.57,0.0592,0.0,0.0,,,,0,5531.2,0.1383,15.0
S2a_10,0.1,0.1,300.0,77.792,0.01,2575.1,0.0302,0.0,0.0,,,,0,5531.2,0.1383,15.0
S2a_10,0.1,0.1,500.0,77.792,0.01,3449.57,0.0226,0.0,0.0,,,,0,5531.2,0.1383,15.0
S2a_10,0.1,0.15,150.0,77.792,0.015,875.71,0.0888,0.0,0.0,,,,0,3768.6,0.1,15.0
S2a_10,0.1,0.15,300.0,77.792,0.015,1716.73,0.0453,0.0,0.0,,,,0,3768.6,0.1,15.0
S2a_10,0.1,0.15,500.0,77.792,0.015,2299.71,0.0338,0.0,0.0,,,,0,3768.6,0.1,15.0
S2a_10,0.5,0.05,150.0,34.79,0.025,525.43,0.0662,0.0,0.0,,,,0,2229.5,0.1,15.0
S2a_10,0.5,0.05,300.0,34.79,0.025,1030.04,0.0338,0.0,0.0,,,,0,2229.5,0.1,15.0
S2a_10,0.5,0.05,500.0,34.79,0.025,1379.83,0.0252,0.0,0.0,,,,0,2229.5,0.1,15.0
S2a_10,0.5,0.1,150.0,34.79,0.05,262.71,0.1324,0.0,0.0,,,,0,1171.9,0.1,15.0
S2a_10,0.5,0.1,300.0,34.79,0.05,515.02,0.0676,0.0,0.0,,,,0,1171.9,0.1,15.0
S2a_10,0.5,0.1,500.0,34.79,0.05,689.91,0.0504,0.0,0.0,,,,0,1171.9,0.1,15.0
S2a_10,0.5,0.15,150.0,34.79,0.075,175.14,0.1986,0.0,0.0,,,,0,819.4,0.1,15.0
S2a_10,0.5,0.15,300.0,34.79,0.075,343.35,0.1013,0.0,0.0,,,,0,819.4,0.1,15.0
S2a_10,0.5,0.15,500.0,34.79,0.075,459.94,0.0756,0.0,0.0,,,,0,819.4,0.1,15.0
S2a_10,1.0,0.05,150.0,24.6,0.05,262.71,0.0936,0.0,0.0,,,,0,1141.4,0.1,15.0
S2a_10,1.0,0.05,300.0,24.6,0.05,515.02,0.0478,0.0,0.0,,,,0,1141.4,0.1,15.0
S2a_10,1.0,0.05,500.0,24.6,0.05,689.91,0.0357,0.0,0.0,,,,0,1141.4,0.1,15.0
S2a_10,1.0,0.1,150.0,24.6,0.1,131.36,0.1873,0.0,0.0,,,,0,612.6,0.1,15.0
S2a_10,1.0,0.1,300.0,24.6,0.1,257.51,0.0955,0.0,0.0,,,,0,612.6,0.1,15.0
S2a_10,1.0,0.1,500.0,24.6,0.1,344.96,0.0713,0.0,0.0,,,,0,612.6,0.1,15.0
S2a_10,1.0,0.15,150.0,24.6,0.15,87.57,0.2809,0.0,0.0,,,,0,436.3,0.1,15.0
S2a_10,1.0,0.15,300.0,24.6,0.15,171.67,0.1433,0.0,0.0,,,,0,436.3,0.1,15.0
S2a_10,1.0,0.15,500.0,24.6,0.15,229.97,0.107,0.0,0.0,,,,0,436.3,0.1,15.0
S2a_10,2.0,0.05,150.0,17.395,0.1,131.36,0.1324,0.0,0.0,,,,0,591.0,0.1,15.0
S2a_10,2.0,0.05,300.0,17.395,0.1,257.51,0.0676,0.0,0.0,,,,0,591.0,0.1,15.0
S2a_10,2.0,0.05,500.0,17.395,0.1,344.96,0.0504,0.0,0.0,,,,0,591.0,0.1,15.0
S2a_10,2.0,0.1,150.0,17.395,0.2,65.68,0.2648,0.0,0.0,,,,0,326.6,0.1,15.0
S2a_10,2.0,0.1,300.0,17.395,0.2,128.76,0.1351,0.0,0.0,,,,0,326.6,0.1,15.0
S2a_10,2.0,0.1,500.0,17.395,0.2,172.48,0.1009,0.0,0.0,24.021,25.529,364.539,3,326.6,0.1,15.0
S2a_10,2.0,0.15,150.0,17.395,0.3,43.79,0.3973,0.0,0.0,,,,0,238.4,0.1,15.0
S2a_10,2.0,0.15,300.0,17.395,0.3,85.84,0.2027,0.0,0.0,27.12,23.25,433.111,3,238.4,0.1,15.0
S2a_10,2.0,0.15,500.0,17.395,0.3,114.99,0.1513,0.0,0.0,13.968,20.906,210.364,15,238.4,0.1,15.0
S2a_10,5.0,0.05,150.0,11.001,0.25,52.54,0.2094,0.0,0.0,3.268,0.0,160.765,1,254.5,0.1,15.0
S2a_10,5.0,0.05,300.0,11.001,0.25,103.0,0.1068,0.0,0.0,60.0,0.0,779.121,1,254.5,0.1,15.0
S2a_10,5.0,0.05,500.0,11.001,0.25,137.98,0.0797,0.0,0.0,13.911,20.111,327.104,13,254.5,0.1,15.0
S2a_10,5.0,0.1,150.0,11.001,0.5,26.27,0.4188,0.0,0.0,5.807,6.512,69.462,15,148.8,0.1,15.0
S2a_10,5.0,0.1,300.0,11.001,0.5,51.5,0.2136,0.0,0.0,9.648,11.319,68.163,15,148.8,0.1,15.0
S2a_10,5.0,0.1,500.0,11.001,0.5,68.99,0.1595,0.0,0.0,6.259,5.44,95.193,15,148.8,0.1,15.0
S2a_10,5.0,0.15,150.0,11.001,0.75,17.51,0.6281,1.33,2.67,10.805,16.938,11.608,15,113.5,0.1,15.0
S2a_10,5.0,0.15,300.0,11.001,0.75,34.33,0.3204,0.0,0.0,2.609,1.683,20.575,15,113.5,0.1,15.0
S2a_10,5.0,0.15,500.0,11.001,0.75,45.99,0.2392,0.0,0.0,3.058,2.51,30.338,15,113.5,0.1,15.0
S2a_10,10.0,0.05,150.0,7.779,0.5,26.27,0.2961,0.0,0.0,7.034,8.758,93.241,15,139.1,0.1,15.0
S2a_10,10.0,0.05,300.0,7.779,0.5,51.5,0.151,0.0,0.0,5.484,8.495,87.736,15,139.1,0.1,15.0
S2a_10,10.0,0.05,500.0,7.779,0.5,68.99,0.1128,0.0,0.0,6.83,4.908,117.983,15,139.1,0.1,15.0
S2a_10,10.0,0.1,150.0,7.779,1.0,13.14,0.5922,0.44,1.66,11.036,14.37,11.95,15,86.2,0.1,15.0
S2a_10,10.0,0.1,300.0,7.779,1.0,25.75,0.3021,0.0,0.0,3.212,1.799,16.815,15,86.2,0.1,15.0
S2a_10,10.0,0.1,500.0,7.779,1.0,34.5,0.2255,0.0,0.0,3.895,2.675,19.046,15,86.2,0.1,15.0
S2a_10,10.0,0.15,150.0,7.779,1.5,8.76,0.8883,11.11,6.29,5.113,3.411,6.002,15,68.6,0.1,15.0
S2a_10,10.0,0.15,300.0,7.779,1.5,17.17,0.4531,0.0,0.0,4.048,3.062,11.047,15,68.6,0.1,15.0
S2a_10,10.0,0.15,500.0,7.779,1.5,23.0,0.3383,0.0,0.0,4.584,3.808,14.059,15,68.6,0.1,15.0
S2a_10,15.0,0.05,150.0,6.352,0.75,17.51,0.3627,0.0,0.0,5.051,9.721,14.323,15,99.6,0.1,15.0
S2a_10,15.0,0.05,300.0,6.352,0.75,34.33,0.185,0.0,0.0,3.256,2.428,28.703,15,99.6,0.1,15.0
S2a_10,15.0,0.05,500.0,6.352,0.75,45.99,0.1381,0.0,0.0,4.043,2.961,40.42,15,99.6,0.1,15.0
S2a_10,15.0,0.1,150.0,6.352,1.5,8.76,0.7253,5.33,5.55,5.066,2.951,6.259,15,64.3,0.1,15.0
