t_max,front,mode,tau_s,n_seeds,dir_err_deg_mean,dir_err_deg_std,dir_err_deg_n,speed_err_pct_mean,speed_err_pct_std,speed_err_pct_n,speed_err_ms_mean,speed_err_ms_std,speed_err_ms_n,speed_est_ms_mean,speed_est_ms_std,speed_est_ms_n,eta_err_30_s_mean,eta_err_30_s_std,eta_err_30_s_n,eta_err_60_s_mean,eta_err_60_s_std,eta_err_60_s_n,eta_err_100_s_mean,eta_err_100_s_std,eta_err_100_s_n,dir_err_deg_absmean,speed_err_pct_absmean,eta_err_100_s_absmean
120.0,straight_S1,uniform,0.0,30,2.1152,0.0,30,-0.0961,0.0,30,-0.0014,0.0,30,1.4986,0.0,30,-10.5856,0.0,30,-15.0704,0.0,30,-21.0506,0.0,30,2.1152,0.0961,21.0506
120.0,straight_S1,uniform,2.0,30,0.7234,0.0,30,1.0049,0.0,30,0.0151,0.0,30,1.5151,0.0,30,-8.3495,0.0,30,-11.9058,0.0,30,-16.6518,0.0,30,0.7234,1.0049,16.6518
120.0,straight_S1,uniform,5.0,30,0.4165,0.0,30,2.1702,0.0,30,0.0326,0.0,30,1.5326,0.0,30,-6.1265,0.0,30,-8.8745,0.0,30,-12.5385,0.0,30,0.4165,2.1702,12.5385
120.0,straight_S1,uniform,10.0,30,0.2351,0.0,30,1.2194,0.0,30,0.0183,0.0,30,1.5183,0.0,30,-3.697,0.0,30,-5.71,0.0,30,-8.3941,0.0,30,0.2351,1.2194,8.3941
120.0,straight_S1,uniform,11.0,30,0.3813,0.0,30,1.2194,0.0,30,0.0183,0.0,30,1.5183,0.0,30,-3.3612,0.0,30,-5.298,0.0,30,-7.8803,0.0,30,0.3813,1.2194,7.8803
120.0,straight_S1,uniform,20.0,30,0.4033,0.0,30,2.28,0.0,30,0.0342,0.0,30,1.5342,0.0,30,-1.5536,0.0,30,-3.4547,0.0,30,-5.9894,0.0,30,0.4033,2.28,5.9894
120.0,straight_S1,uniform,30.0,30,0.1678,0.0,30,2.1702,0.0,30,0.0326,0.0,30,1.5326,0.0,30,0.0643,0.0,30,-2.0769,0.0,30,-4.932,0.0,30,0.1678,2.1702,4.932
120.0,straight_S1,uniform,50.0,30,0.3132,0.0,30,2.6516,0.0,30,0.0398,0.0,30,1.5398,0.0,30,3.7257,0.0,30,1.411,0.0,30,-1.6753,0.0,30,0.3132,2.6516,1.6753
120.0,straight_S1,uniform,78.5,30,0.3453,0.0,30,3.1372,0.0,30,0.0471,0.0,30,1.5471,0.0,30,9.4263,0.0,30,7.1779,0.0,30,4.18,0.0,30,0.3453,3.1372,4.18
120.0,straight_S1,uniform,100.0,30,0.5453,0.0,30,3.3623,0.0,30,0.0504,0.0,30,1.5504,0.0,30,13.2789,0.0,30,10.8607,0.0,30,7.6366,0.0,30,0.5453,3.3623,7.6366
