metric,t_max,front,mode,tau_s,ref,mine,abs_diff
방향(°) vs 2.J-A,120.0,straight_S1,uniform,0.0,2.115247,2.1152,4.7425e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,2.0,0.723437,0.7234,3.6913e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,5.0,0.416459,0.4165,4.0773e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,10.0,0.235079,0.2351,2.1191e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,11.0,0.381335,0.3813,3.5436e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,20.0,0.403306,0.4033,6.088e-06
방향(°) vs 2.J-A,120.0,straight_S1,uniform,30.0,0.167835,0.1678,3.497e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,50.0,0.313212,0.3132,1.2109e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,78.5,0.345314,0.3453,1.4388e-05
방향(°) vs 2.J-A,120.0,straight_S1,uniform,100.0,0.545254,0.5453,4.6363e-05
방향(°) vs 2.J-A,120.0,straight_S1,jitter,11.0,2.075579,2.0756,2.1248e-05
방향(°) vs 2.J-A,120.0,straight_S1,jitter,30.0,7.764306,7.7643,6.088e-06
방향(°) vs 2.J-A,120.0,straight_S1,jitter,78.5,67.70917,67.7092,3.0348e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,0.0,4.75724,4.7572,4.0338e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,2.0,4.35701,4.357,1.0096e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,5.0,4.458646,4.4586,4.5741e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,10.0,4.39578,4.3958,1.9994e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,11.0,4.395952,4.396,4.7802e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,20.0,4.335385,4.3354,1.5486e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,30.0,4.320228,4.3202,2.8218e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,50.0,4.276948,4.2769,4.7852e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,78.5,4.273955,4.274,4.5281e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,uniform,100.0,4.276157,4.2762,4.3162e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,jitter,11.0,4.773346,4.7733,4.563e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,jitter,30.0,10.371028,10.371,2.76e-05
방향(°) vs 2.J-A,120.0,curved_S2a10,jitter,78.5,66.721144,66.7211,4.4066e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,0.0,10.580552,10.5806,4.7582e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,2.0,13.286696,13.2867,4.004e-06
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,5.0,26.393296,26.3933,4.128e-06
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,10.0,16.767296,16.7673,4.1e-06
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,11.0,12.57081,12.5708,1.0326e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,20.0,8.903717,8.9037,1.6553e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,30.0,8.724045,8.724,4.5499e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,50.0,7.964134,7.9641,3.4416e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,78.5,7.972262,7.9723,3.7946e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,uniform,100.0,7.965656,7.9657,4.3693e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,jitter,11.0,11.998759,11.9988,4.0941e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,jitter,30.0,17.557649,17.5576,4.9123e-05
방향(°) vs 2.J-A,120.0,curved_S2a20,jitter,78.5,66.26815,66.2682,4.9997e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,0.0,2.115247,2.1152,4.7425e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,2.0,0.723437,0.7234,3.6913e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,5.0,0.416459,0.4165,4.0773e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,10.0,0.235079,0.2351,2.1191e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,11.0,0.381335,0.3813,3.5436e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,20.0,0.403306,0.4033,6.088e-06
방향(°) vs 2.J-A,400.0,straight_S1,uniform,30.0,0.167835,0.1678,3.497e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,50.0,0.313212,0.3132,1.2109e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,78.5,0.345314,0.3453,1.4388e-05
방향(°) vs 2.J-A,400.0,straight_S1,uniform,100.0,0.545254,0.5453,4.6363e-05
방향(°) vs 2.J-A,400.0,straight_S1,jitter,11.0,2.075579,2.0756,2.1248e-05
방향(°) vs 2.J-A,400.0,straight_S1,jitter,30.0,7.764306,7.7643,6.088e-06
방향(°) vs 2.J-A,400.0,straight_S1,jitter,78.5,67.70917,67.7092,3.0348e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,0.0,4.75724,4.7572,4.0338e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,2.0,4.35701,4.357,1.0096e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,5.0,4.458646,4.4586,4.5741e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,10.0,4.39578,4.3958,1.9994e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,11.0,4.395952,4.396,4.7802e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,20.0,4.335385,4.3354,1.5486e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,30.0,4.320228,4.3202,2.8218e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,50.0,4.276948,4.2769,4.7852e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,78.5,4.273955,4.274,4.5281e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,uniform,100.0,4.276157,4.2762,4.3162e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,jitter,11.0,4.773346,4.7733,4.563e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,jitter,30.0,10.371028,10.371,2.76e-05
방향(°) vs 2.J-A,400.0,curved_S2a10,jitter,78.5,66.721144,66.7211,4.4066e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,0.0,10.580552,10.5806,4.7582e-05
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,2.0,13.286696,13.2867,4.004e-06
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,5.0,26.393296,26.3933,4.128e-06
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,10.0,16.767296,16.7673,4.1e-06
방향(°) vs 2.J-A,400.0,curved_S2a20,uniform,11.0,12.57081,12.5708,1.0326e-05
