geom,wind_kmh,LB,ignition_d_m,neighbor_gap_s,dt_window_s,starved,per_node_mean,n_nonsink,per_node_frac,dir_err_local_mean
head,10.0,1.171,30.0,4.66,8.0,0,13.0,15,86.7,1.99
head,10.0,1.171,60.0,4.75,8.0,0,13.0,15,86.7,0.94
head,10.0,1.171,120.0,4.75,8.0,0,13.0,15,86.7,0.35
head,20.0,1.761,30.0,5.41,8.0,0,11.0,15,73.3,18.05
head,20.0,1.761,60.0,5.1,8.0,0,13.0,15,86.7,5.43
head,20.0,1.761,120.0,4.76,8.0,0,13.0,15,86.7,2.69
head,30.0,2.823,30.0,12.4,8.0,1,13.0,15,86.7,44.73
head,30.0,2.823,60.0,7.7,8.0,0,14.0,15,93.3,19.16
head,30.0,2.823,120.0,5.23,8.0,0,11.0,15,73.3,16.68
head,50.0,6.48,30.0,55.69,8.0,1,5.0,15,33.3,129.98
head,50.0,6.48,60.0,35.1,8.0,1,7.0,15,46.7,129.33
head,50.0,6.48,120.0,20.31,8.0,1,11.0,15,73.3,2.12
flank,10.0,1.171,30.0,9.78,8.0,1,9.0,15,60.0,81.81
flank,10.0,1.171,60.0,9.91,8.0,1,3.0,15,20.0,85.72
flank,10.0,1.171,120.0,10.14,8.0,1,3.0,15,20.0,82.08
flank,20.0,1.761,30.0,25.16,8.0,1,0.0,15,0.0,
flank,20.0,1.761,60.0,27.82,8.0,1,0.0,15,0.0,
flank,20.0,1.761,120.0,29.59,8.0,1,0.0,15,0.0,
flank,30.0,2.823,30.0,70.72,8.0,1,0.0,15,0.0,
flank,30.0,2.823,60.0,77.97,8.0,1,0.0,15,0.0,
flank,30.0,2.823,120.0,82.82,8.0,1,0.0,15,0.0,
flank,50.0,6.48,30.0,388.02,8.0,1,0.0,15,0.0,
flank,50.0,6.48,60.0,427.26,8.0,1,0.0,15,0.0,
flank,50.0,6.48,120.0,453.47,8.0,1,0.0,15,0.0,
