model,geom,wind_kmh,LB,ignition_d_m,kappa_h_med,kappa_h_p95,kappa_h_head,kappa_h_flank,n_all,n_head,n_flank
ellipse,head,10.0,1.171,30.0,0.3505,0.5603,0.3505,,16,16,0
ellipse,head,10.0,1.171,60.0,0.2412,0.3162,0.2412,,16,16,0
ellipse,head,10.0,1.171,120.0,0.1435,0.1669,0.1435,,16,16,0
ellipse,head,20.0,1.761,30.0,0.4764,1.264,0.4764,,16,16,0
ellipse,head,20.0,1.761,60.0,0.4862,0.7652,0.4862,,16,16,0
ellipse,head,20.0,1.761,120.0,0.3494,0.4308,0.3494,,16,16,0
ellipse,head,30.0,2.823,30.0,0.1767,3.106,0.1767,,16,16,0
ellipse,head,30.0,2.823,60.0,0.2679,1.9376,0.2679,,16,16,0
ellipse,head,30.0,2.823,120.0,0.4102,1.1119,0.4102,,16,16,0
ellipse,head,50.0,6.48,30.0,0.0318,7.9585,0.0318,,16,16,0
ellipse,head,50.0,6.48,60.0,0.0264,5.1185,0.0264,,16,16,0
ellipse,head,50.0,6.48,120.0,0.0438,3.908,0.0438,,16,16,0
ellipse,flank,10.0,1.171,30.0,0.143,0.216,,0.143,16,0,16
ellipse,flank,10.0,1.171,60.0,0.0889,0.1129,,0.0889,16,0,16
ellipse,flank,10.0,1.171,120.0,0.0505,0.0574,,0.0505,16,0,16
ellipse,flank,20.0,1.761,30.0,0.0821,0.1197,,0.0821,16,0,16
ellipse,flank,20.0,1.761,60.0,0.0539,0.0681,,0.0539,16,0,16
ellipse,flank,20.0,1.761,120.0,0.0318,0.0362,,0.0318,16,0,16
ellipse,flank,30.0,2.823,30.0,0.0631,0.0927,,0.0631,16,0,16
ellipse,flank,30.0,2.823,60.0,0.0438,0.0547,,0.0438,16,0,16
ellipse,flank,30.0,2.823,120.0,0.0263,0.0299,,0.0263,16,0,16
ellipse,flank,50.0,6.48,30.0,0.0549,0.0845,,0.0549,16,0,16
ellipse,flank,50.0,6.48,60.0,0.0391,0.0498,,0.0391,16,0,16
ellipse,flank,50.0,6.48,120.0,0.024,0.0274,,0.024,16,0,16
straight_S1,-,,,,0.0,0.0,,,480,0,0
curved_S2a10,-,,,,0.0033,0.0811,,,480,0,0
curved_S2a20,-,,,,0.0071,0.1775,,,480,0,0
