model,geom,wind_kmh,LB,ignition_d_m,tau_s,estimable_pct,died_frac,dir_err_nominal_mean,dir_err_nominal_std,dir_err_local_mean,dir_err_local_std,speed_err_nominal_pct_mean,speed_err_nominal_pct_std,speed_err_local_pct_mean,speed_err_local_pct_std,speed_true_local_mean,speed_true_local_std
ellipse,head,10.0,1.171,30.0,0.0,100.0,100.0,9.4248,0.0,1.993,0.0,-5.5108,0.0,0.1209,0.0,1.4156,0.0
ellipse,head,10.0,1.171,30.0,11.0,100.0,100.0,10.1134,0.0,1.3044,0.0,-5.7396,0.0,-0.1216,0.0,1.4156,0.0
ellipse,head,10.0,1.171,30.0,78.5,100.0,100.0,10.1948,0.0,1.223,0.0,-5.7396,0.0,-0.1216,0.0,1.4156,0.0
ellipse,head,10.0,1.171,60.0,0.0,100.0,100.0,6.5456,0.0,0.9399,0.0,-3.3004,0.0,-0.8038,0.0,1.4622,0.0
ellipse,head,10.0,1.171,60.0,11.0,100.0,100.0,6.9658,0.0,0.5198,0.0,-3.5184,0.0,-1.0275,0.0,1.4622,0.0
ellipse,head,10.0,1.171,60.0,78.5,100.0,100.0,6.9179,0.0,0.5676,0.0,-3.2189,0.0,-0.7202,0.0,1.4622,0.0
ellipse,head,10.0,1.171,120.0,0.0,100.0,100.0,4.0181,0.0,0.3522,0.0,-1.916,0.0,-1.0445,0.0,1.4868,0.0
ellipse,head,10.0,1.171,120.0,11.0,100.0,100.0,4.1313,0.0,0.239,0.0,-1.699,0.0,-0.8255,0.0,1.4868,0.0
ellipse,head,10.0,1.171,120.0,78.5,100.0,100.0,4.2025,0.0,0.1678,0.0,-1.7961,0.0,-0.9235,0.0,1.4868,0.0
ellipse,head,20.0,1.761,30.0,0.0,100.0,100.0,3.6082,0.0,18.0491,0.0,-0.3309,0.0,37.8802,0.0,1.0843,0.0
ellipse,head,20.0,1.761,30.0,11.0,100.0,100.0,5.05,0.0,16.6073,0.0,-0.633,0.0,37.4622,0.0,1.0843,0.0
ellipse,head,20.0,1.761,30.0,78.5,100.0,100.0,13.7047,0.0,7.9525,0.0,-2.9686,0.0,34.2312,0.0,1.0843,0.0
ellipse,head,20.0,1.761,60.0,0.0,100.0,100.0,10.3819,0.0,5.4291,0.0,-7.6653,0.0,11.1973,0.0,1.2456,0.0
ellipse,head,20.0,1.761,60.0,11.0,100.0,100.0,4.7258,0.0,11.0853,0.0,-7.8018,0.0,11.0329,0.0,1.2456,0.0
ellipse,head,20.0,1.761,60.0,78.5,100.0,100.0,4.7959,0.0,11.0152,0.0,-7.021,0.0,11.9732,0.0,1.2456,0.0
ellipse,head,20.0,1.761,120.0,0.0,100.0,100.0,7.7616,0.0,2.686,0.0,-4.6952,0.0,3.4743,0.0,1.3816,0.0
ellipse,head,20.0,1.761,120.0,11.0,100.0,100.0,8.2427,0.0,2.2049,0.0,-5.4449,0.0,2.6603,0.0,1.3816,0.0
ellipse,head,20.0,1.761,120.0,78.5,100.0,100.0,8.5587,0.0,1.8889,0.0,-5.6681,0.0,2.4179,0.0,1.3816,0.0
ellipse,head,30.0,2.823,30.0,0.0,100.0,100.0,7.2202,0.0,44.7314,0.0,10.9187,0.0,147.2143,0.0,0.673,0.0
ellipse,head,30.0,2.823,30.0,11.0,100.0,100.0,9.1921,0.0,28.3191,0.0,6.848,0.0,138.1416,0.0,0.673,0.0
ellipse,head,30.0,2.823,30.0,78.5,100.0,100.0,11.2398,0.0,26.2714,0.0,10.7961,0.0,146.941,0.0,0.673,0.0
ellipse,head,30.0,2.823,60.0,0.0,100.0,100.0,8.3224,0.0,19.1634,0.0,-0.8093,0.0,75.4649,0.0,0.848,0.0
ellipse,head,30.0,2.823,60.0,11.0,100.0,100.0,18.1001,0.0,9.3857,0.0,2.6527,0.0,81.589,0.0,0.848,0.0
ellipse,head,30.0,2.823,60.0,78.5,100.0,100.0,18.6667,0.0,8.8191,0.0,-4.0456,0.0,69.7401,0.0,0.848,0.0
ellipse,head,30.0,2.823,120.0,0.0,100.0,100.0,2.9875,0.0,16.6849,0.0,-2.6697,0.0,36.72,0.0,1.0678,0.0
ellipse,head,30.0,2.823,120.0,11.0,100.0,100.0,3.5943,0.0,16.078,0.0,-0.5175,0.0,39.7431,0.0,1.0678,0.0
ellipse,head,30.0,2.823,120.0,78.5,100.0,100.0,3.8997,0.0,15.7727,0.0,0.3934,0.0,41.0227,0.0,1.0678,0.0
ellipse,head,50.0,6.48,30.0,0.0,100.0,100.0,54.4255,0.0,129.9808,0.0,29.8039,0.0,668.853,0.0,0.2532,0.0
ellipse,head,50.0,6.48,30.0,11.0,100.0,100.0,15.6737,0.0,59.8816,0.0,43.0579,0.0,747.3586,0.0,0.2532,0.0
ellipse,head,50.0,6.48,30.0,78.5,100.0,100.0,18.7347,0.0,56.8206,0.0,19.0002,0.0,604.8606,0.0,0.2532,0.0
ellipse,head,50.0,6.48,60.0,0.0,100.0,100.0,69.2872,0.0,129.3308,0.0,15.8239,0.0,427.9333,0.0,0.3291,0.0
ellipse,head,50.0,6.48,60.0,11.0,100.0,100.0,13.3546,0.0,46.689,0.0,21.9053,0.0,455.6531,0.0,0.3291,0.0
ellipse,head,50.0,6.48,60.0,78.5,100.0,100.0,30.2762,0.0,29.7675,0.0,125.6971,0.0,928.7433,0.0,0.3291,0.0
ellipse,head,50.0,6.48,120.0,0.0,100.0,100.0,47.7981,0.0,2.1231,0.0,42.2308,0.0,367.0986,0.0,0.4567,0.0
ellipse,head,50.0,6.48,120.0,11.0,100.0,100.0,89.5035,0.0,135.1785,0.0,49.2444,0.0,390.1317,0.0,0.4567,0.0
ellipse,head,50.0,6.48,120.0,78.5,100.0,100.0,19.05,0.0,26.6249,0.0,34.6148,0.0,342.0867,0.0,0.4567,0.0
ellipse,flank,10.0,1.171,30.0,0.0,100.0,100.0,174.0069,0.0,81.8134,0.0,-42.6755,0.0,17.3376,0.0,0.7328,0.0
ellipse,flank,10.0,1.171,30.0,11.0,100.0,100.0,179.7565,0.0,75.5768,0.0,-43.3684,0.0,15.9193,0.0,0.7328,0.0
ellipse,flank,10.0,1.171,30.0,78.5,100.0,100.0,175.8099,0.0,71.6302,0.0,-43.9062,0.0,14.8185,0.0,0.7328,0.0
ellipse,flank,10.0,1.171,60.0,0.0,100.0,100.0,164.8494,0.0,85.7232,0.0,-93.9657,0.0,-86.9046,0.0,0.6912,0.0
ellipse,flank,10.0,1.171,60.0,11.0,100.0,100.0,164.8578,0.0,85.7148,0.0,-94.4721,0.0,-88.0036,0.0,0.6912,0.0
ellipse,flank,10.0,1.171,60.0,78.5,100.0,100.0,164.8832,0.0,85.6894,0.0,-95.3558,0.0,-89.9213,0.0,0.6912,0.0
ellipse,flank,10.0,1.171,120.0,0.0,100.0,100.0,164.934,0.0,82.0838,0.0,-97.0707,0.0,-93.4047,0.0,0.6662,0.0
ellipse,flank,10.0,1.171,120.0,11.0,100.0,100.0,164.9382,0.0,82.0796,0.0,-97.1946,0.0,-93.6837,0.0,0.6662,0.0
ellipse,flank,10.0,1.171,120.0,78.5,100.0,100.0,164.945,0.0,82.0729,0.0,-97.4423,0.0,-94.2414,0.0,0.6662,0.0
ellipse,flank,20.0,1.761,30.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,30.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,30.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,60.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,60.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,60.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,120.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,120.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,20.0,1.761,120.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,30.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,30.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,30.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,60.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,60.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,60.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,120.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,120.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,30.0,2.823,120.0,78.5,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,30.0,0.0,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,30.0,11.0,0.0,100.0,,,,,,,,,,
ellipse,flank,50.0,6.48,30.0,78.5,0.0,100.0,,,,,,,,,,
