label,set,n_seeds,dir_err_mean,estimable_pct,per_node_frac,flagged_pct,dphi_hat_mean,s2_med,count_flagged_pct
타원[head] W10 d30 τ0,ellipse,10,1.993,100.0,86.7,0.0,4.669,0.4472,0.0
타원[head] W10 d30 τ11,ellipse,10,1.304,100.0,86.7,100.0,5.043,0.4472,0.0
타원[head] W10 d30 τ78,ellipse,10,1.223,100.0,86.7,100.0,5.083,0.4472,0.0
타원[head] W10 d60 τ0,ellipse,10,0.94,100.0,86.7,0.0,3.215,0.4472,0.0
타원[head] W10 d60 τ11,ellipse,10,0.52,100.0,86.7,0.0,3.363,0.4472,0.0
타원[head] W10 d60 τ78,ellipse,10,0.568,100.0,86.7,0.0,3.402,0.4472,0.0
타원[head] W10 d120 τ0,ellipse,10,0.352,100.0,86.7,0.0,1.938,0.4472,0.0
타원[head] W10 d120 τ11,ellipse,10,0.239,100.0,86.7,0.0,2.041,0.4472,0.0
타원[head] W10 d120 τ78,ellipse,10,0.168,100.0,86.7,0.0,1.989,0.4472,0.0
타원[head] W20 d30 τ0,ellipse,10,18.049,100.0,73.3,0.0,3.769,0.4472,0.0
타원[head] W20 d30 τ11,ellipse,10,16.607,100.0,73.3,0.0,4.582,0.4472,0.0
타원[head] W20 d30 τ78,ellipse,10,7.953,100.0,93.3,100.0,5.957,0.4472,0.0
타원[head] W20 d60 τ0,ellipse,10,5.429,100.0,86.7,100.0,5.016,0.4472,0.0
타원[head] W20 d60 τ11,ellipse,10,11.085,100.0,73.3,100.0,5.356,0.4472,0.0
타원[head] W20 d60 τ78,ellipse,10,11.015,100.0,73.3,100.0,5.27,0.4472,0.0
타원[head] W20 d120 τ0,ellipse,10,2.686,100.0,86.7,0.0,4.051,0.4472,0.0
타원[head] W20 d120 τ11,ellipse,10,2.205,100.0,86.7,0.0,4.479,0.4472,0.0
타원[head] W20 d120 τ78,ellipse,10,1.889,100.0,86.7,0.0,4.612,0.4472,0.0
타원[head] W30 d30 τ0,ellipse,10,44.731,100.0,86.7,100.0,6.663,0.4472,0.0
타원[head] W30 d30 τ11,ellipse,10,28.319,100.0,86.7,0.0,4.558,0.4472,0.0
타원[head] W30 d30 τ78,ellipse,10,26.271,100.0,66.7,100.0,7.461,0.4472,100.0
타원[head] W30 d60 τ0,ellipse,10,19.163,100.0,93.3,0.0,4.221,0.4472,100.0
타원[head] W30 d60 τ11,ellipse,10,9.386,100.0,86.7,0.0,4.296,0.4472,0.0
타원[head] W30 d60 τ78,ellipse,10,8.819,100.0,73.3,100.0,6.323,0.4472,0.0
타원[head] W30 d120 τ0,ellipse,10,16.685,100.0,73.3,0.0,3.746,0.4472,0.0
타원[head] W30 d120 τ11,ellipse,10,16.078,100.0,73.3,0.0,4.072,0.4472,100.0
타원[head] W30 d120 τ78,ellipse,10,15.773,100.0,80.0,0.0,4.909,0.4472,0.0
타원[head] W50 d30 τ0,ellipse,10,129.981,100.0,33.3,100.0,21.252,0.4656,100.0
타원[head] W50 d30 τ11,ellipse,10,59.882,100.0,66.7,100.0,8.638,0.4656,100.0
타원[head] W50 d30 τ78,ellipse,10,56.821,100.0,60.0,100.0,22.571,0.4472,100.0
타원[head] W50 d60 τ0,ellipse,10,129.331,100.0,46.7,100.0,65.287,0.4656,100.0
타원[head] W50 d60 τ11,ellipse,10,46.689,100.0,60.0,100.0,48.11,0.3333,100.0
타원[head] W50 d60 τ78,ellipse,10,29.767,100.0,60.0,100.0,11.824,0.4472,100.0
타원[head] W50 d120 τ0,ellipse,10,2.123,100.0,73.3,100.0,31.512,0.433,100.0
타원[head] W50 d120 τ11,ellipse,10,135.178,100.0,73.3,100.0,27.25,0.3333,100.0
타원[head] W50 d120 τ78,ellipse,10,26.625,100.0,66.7,100.0,7.968,0.4736,100.0
타원[flank] W10 d30 τ0,ellipse,10,81.813,100.0,60.0,0.0,3.519,0.2916,100.0
타원[flank] W10 d30 τ11,ellipse,10,75.577,100.0,60.0,0.0,3.402,0.2916,100.0
타원[flank] W10 d30 τ78,ellipse,10,71.63,100.0,46.7,0.0,3.361,0.2916,100.0
타원[flank] W10 d60 τ0,ellipse,10,85.723,100.0,20.0,100.0,,0.0,100.0
타원[flank] W10 d60 τ11,ellipse,10,85.715,100.0,20.0,100.0,,0.0,100.0
타원[flank] W10 d60 τ78,ellipse,10,85.689,100.0,20.0,100.0,,0.0,100.0
타원[flank] W10 d120 τ0,ellipse,10,82.084,100.0,20.0,100.0,,0.0,100.0
타원[flank] W10 d120 τ11,ellipse,10,82.08,100.0,20.0,100.0,,0.0,100.0
타원[flank] W10 d120 τ78,ellipse,10,82.073,100.0,20.0,100.0,,0.0,100.0
타원[flank] W20 d30 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d30 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d30 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d60 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d60 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d60 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d120 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d120 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W20 d120 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d30 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d30 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d30 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d60 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d60 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d60 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d120 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d120 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W30 d120 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d30 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d30 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d30 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d60 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d60 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d60 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d120 τ0,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d120 τ11,ellipse,10,,0.0,0.0,100.0,,,100.0
타원[flank] W50 d120 τ78,ellipse,10,,0.0,0.0,100.0,,,100.0
straight_S1 τ0 균일,tau,10,2.115,100.0,86.7,0.0,1.849,0.4472,0.0
straight_S1 τ0 지터,tau,10,2.115,100.0,86.7,0.0,1.849,0.4472,0.0
straight_S1 τ11 균일,tau,10,0.381,100.0,86.7,0.0,0.404,0.4472,0.0
straight_S1 τ11 지터,tau,10,2.099,100.0,88.7,0.0,2.052,0.4732,0.0
