label,group,kappa_h_med,kappa_h_p95,gap_s,dtw_scaled,window_mode,dt_window,n_seeds,dir_err_mean,dir_err_std,estimable_pct,per_node_frac,n_obs_mean,sigma_t_mean,s2_med,flagged_pct
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,base,8.0,15,1.993,0.0,100.0,86.7,5.0,0.9108,0.4472,0.0
타원[head] W10 d30,ellipse_head,0.3505,0.5603,4.66,13.98,scaled,13.98,15,2.351,0.0,100.0,86.7,5.92,0.7866,0.5,0.0
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,15,0.94,0.0,100.0,86.7,5.0,0.6041,0.4472,0.0
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,15,1.154,0.0,100.0,86.7,5.92,0.5182,0.5,0.0
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,base,8.0,15,0.352,0.0,100.0,86.7,5.0,0.3635,0.4472,0.0
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,15,0.461,0.0,100.0,86.7,5.92,0.3108,0.5,0.0
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,15,18.049,0.0,100.0,73.3,4.64,0.9873,0.4472,0.0
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,15,17.938,0.0,100.0,73.3,5.73,1.0265,0.5,0.0
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,15,5.429,0.0,100.0,86.7,4.85,1.1297,0.4472,100.0
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,15,6.098,0.0,100.0,86.7,5.92,1.0005,0.5,100.0
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,15,2.686,0.0,100.0,86.7,5.0,0.7874,0.4472,0.0
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,15,2.993,0.0,100.0,86.7,5.92,0.671,0.5,0.0
타원[head] W30 d30,ellipse_head,0.1767,3.106,12.4,37.21,base,8.0,15,44.731,0.0,100.0,86.7,4.46,2.1863,0.4472,100.0
타원[head] W30 d30,ellipse_head,0.1767,3.106,12.4,37.21,scaled,37.21,15,28.13,0.0,100.0,93.3,6.14,3.2277,0.5,100.0
타원[head] W30 d60,ellipse_head,0.2679,1.9376,7.7,23.1,base,8.0,15,19.163,0.0,100.0,93.3,4.57,1.5161,0.4472,0.0
타원[head] W30 d60,ellipse_head,0.2679,1.9376,7.7,23.1,scaled,23.1,15,18.482,0.0,100.0,93.3,6.14,1.6783,0.5,0.0
타원[head] W30 d120,ellipse_head,0.4102,1.1119,5.23,15.69,base,8.0,15,16.685,0.0,100.0,73.3,4.82,0.9687,0.4472,0.0
타원[head] W30 d120,ellipse_head,0.4102,1.1119,5.23,15.69,scaled,15.69,15,16.602,0.0,100.0,73.3,5.73,0.832,0.5,0.0
타원[head] W50 d30,ellipse_head,0.0318,7.9585,55.69,167.07,base,8.0,15,129.981,0.0,100.0,33.3,3.8,2.1798,0.4656,100.0
타원[head] W50 d30,ellipse_head,0.0318,7.9585,55.69,167.07,scaled,167.07,15,104.11,0.0,100.0,93.3,6.14,13.5148,0.5,100.0
타원[head] W50 d60,ellipse_head,0.0264,5.1185,35.1,105.29,base,8.0,15,129.331,0.0,100.0,46.7,3.43,4.0394,0.4656,100.0
타원[head] W50 d60,ellipse_head,0.0264,5.1185,35.1,105.29,scaled,105.29,15,28.169,0.0,100.0,93.3,6.14,13.4696,0.5,100.0
타원[head] W50 d120,ellipse_head,0.0438,3.908,20.31,60.92,base,8.0,15,2.123,0.0,100.0,73.3,4.09,4.3449,0.433,100.0
타원[head] W50 d120,ellipse_head,0.0438,3.908,20.31,60.92,scaled,60.92,15,33.033,0.0,100.0,93.3,6.14,6.9617,0.5,100.0
타원[flank] W10 d30,ellipse_flank,0.143,0.216,9.78,29.35,base,8.0,15,81.813,0.0,100.0,60.0,3.11,1.4289,0.2916,0.0
타원[flank] W10 d30,ellipse_flank,0.143,0.216,9.78,29.35,scaled,29.35,15,5.627,0.0,100.0,93.3,6.14,0.6659,0.5,0.0
타원[flank] W10 d60,ellipse_flank,0.0889,0.1129,9.91,29.73,base,8.0,15,85.723,0.0,100.0,20.0,3.0,,0.0,100.0
타원[flank] W10 d60,ellipse_flank,0.0889,0.1129,9.91,29.73,scaled,29.73,15,3.056,0.0,100.0,93.3,6.14,0.4653,0.5,0.0
타원[flank] W10 d120,ellipse_flank,0.0505,0.0574,10.14,30.41,base,8.0,15,82.084,0.0,100.0,20.0,3.0,,0.0,100.0
타원[flank] W10 d120,ellipse_flank,0.0505,0.0574,10.14,30.41,scaled,30.41,15,1.613,0.0,100.0,93.3,6.14,0.2947,0.5,0.0
타원[flank] W20 d30,ellipse_flank,0.0821,0.1197,25.16,75.47,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W20 d30,ellipse_flank,0.0821,0.1197,25.16,75.47,scaled,75.47,15,5.965,0.0,100.0,93.3,6.14,1.8955,0.5,0.0
타원[flank] W20 d60,ellipse_flank,0.0539,0.0681,27.82,83.45,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W20 d60,ellipse_flank,0.0539,0.0681,27.82,83.45,scaled,83.45,15,3.227,0.0,100.0,93.3,6.14,1.2398,0.5,0.0
타원[flank] W20 d120,ellipse_flank,0.0318,0.0362,29.59,88.77,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W20 d120,ellipse_flank,0.0318,0.0362,29.59,88.77,scaled,88.77,15,1.669,0.0,100.0,93.3,6.14,0.7789,0.5,0.0
타원[flank] W30 d30,ellipse_flank,0.0631,0.0927,70.72,212.16,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W30 d30,ellipse_flank,0.0631,0.0927,70.72,212.16,scaled,212.16,15,5.556,0.0,100.0,93.3,6.14,5.2086,0.5,0.0
타원[flank] W30 d60,ellipse_flank,0.0438,0.0547,77.97,233.91,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W30 d60,ellipse_flank,0.0438,0.0547,77.97,233.91,scaled,233.91,15,3.028,0.0,100.0,93.3,6.14,3.3686,0.5,0.0
타원[flank] W30 d120,ellipse_flank,0.0263,0.0299,82.82,248.45,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W30 d120,ellipse_flank,0.0263,0.0299,82.82,248.45,scaled,248.45,15,1.593,0.0,100.0,93.3,6.14,2.1052,0.5,0.0
타원[flank] W50 d30,ellipse_flank,0.0549,0.0845,388.02,1164.07,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W50 d30,ellipse_flank,0.0549,0.0845,388.02,1164.07,scaled,1164.07,15,5.302,0.0,100.0,93.3,6.14,28.3088,0.5,0.0
타원[flank] W50 d60,ellipse_flank,0.0391,0.0498,427.26,1281.77,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W50 d60,ellipse_flank,0.0391,0.0498,427.26,1281.77,scaled,1281.77,15,2.916,0.0,100.0,93.3,6.14,18.2805,0.5,0.0
타원[flank] W50 d120,ellipse_flank,0.024,0.0274,453.47,1360.41,base,8.0,15,,,0.0,0.0,,,,100.0
타원[flank] W50 d120,ellipse_flank,0.024,0.0274,453.47,1360.41,scaled,1360.41,15,1.55,0.0,100.0,93.3,6.14,11.3957,0.5,0.0
