scenario,residual_min_samples,dir_err_mean,first_dir_t,n_confirmed,n_excluded,n_residual_fits,n_dof0,n_sample_poor,pollution_pct
S1,3,2.115,5.8,13.0,0.0,6.0,1.0,0.0,
S1,4,2.115,5.8,13.0,0.0,5.0,0.0,0.0,
S1,5,2.115,5.8,13.0,0.0,0.0,0.0,0.0,
S1,6,2.115,5.8,13.0,0.0,0.0,0.0,0.0,
S2a_10,3,4.757,5.25,13.1,0.0,6.1,1.4,0.0,
S2a_10,4,4.757,5.25,13.1,0.0,4.7,0.0,0.0,
S2a_10,5,4.757,5.25,13.1,0.0,0.1,0.0,0.0,
S2a_10,6,4.757,5.25,13.1,0.0,0.0,0.0,0.0,
S11_nonfire4,3,2.301,5.8,12.1,1.0,5.23,1.57,0.83,27.24
S11_nonfire4,4,2.301,5.8,12.1,1.0,3.67,0.0,0.9,27.24
S11_nonfire4,5,2.301,5.8,12.1,1.0,0.0,0.0,0.9,27.24
S11_nonfire4,6,2.301,5.8,12.1,1.0,0.0,0.0,0.9,27.24
S11_nonfire8,3,2.7,5.78,11.13,2.07,4.13,1.3,1.8,12.01
S11_nonfire8,4,2.7,5.78,11.13,2.07,2.83,0.0,1.83,12.01
S11_nonfire8,5,2.752,5.78,11.1,2.1,0.0,0.0,1.87,10.29
S11_nonfire8,6,2.752,5.78,11.1,2.1,0.0,0.0,1.87,10.29
